MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,3,1,0,3,0,0,0,0,7,2,0,,0.1,,,,,,1,,,
SimpleGumtree,3,1,0,3,0,0,0,0,6,2,0,,0.3,,,,,,1,,,
SimpleGumtree,3,1,0,3,0,0,0,0,19,2,0,,0.5,,,,,,1,,,
SimpleGumtree,3,1,0,3,0,0,0,0,7,2,0,,0.7,,,,,,1,,,
SimpleGumtree,3,1,0,3,0,0,0,0,7,2,0,,0.899,,,,,,1,,,
SimpleGumtree,3,1,0,3,0,0,0,0,7,2,0,,0.1,,,,,,2,,,
SimpleGumtree,3,1,0,3,0,0,0,0,7,2,0,,0.3,,,,,,2,,,
SimpleGumtree,3,1,0,3,0,0,0,0,6,2,0,,0.5,,,,,,2,,,
SimpleGumtree,3,1,0,3,0,0,0,0,6,2,0,,0.7,,,,,,2,,,
SimpleGumtree,3,1,0,3,0,0,0,0,7,2,0,,0.899,,,,,,2,,,
SimpleGumtree,3,1,0,3,0,0,0,0,7,2,0,,0.1,,,,,,3,,,
SimpleGumtree,3,1,0,3,0,0,0,0,6,2,0,,0.3,,,,,,3,,,
SimpleGumtree,3,1,0,3,0,0,0,0,6,2,0,,0.5,,,,,,3,,,
SimpleGumtree,3,1,0,3,0,0,0,0,7,2,0,,0.7,,,,,,3,,,
SimpleGumtree,3,1,0,3,0,0,0,0,6,2,0,,0.899,,,,,,3,,,
SimpleGumtree,45,2,21,24,0,0,0,0,6,2,0,,0.1,,,,,,4,,,
SimpleGumtree,45,2,21,24,0,0,0,0,6,2,0,,0.3,,,,,,4,,,
SimpleGumtree,45,2,21,24,0,0,0,0,13,2,0,,0.5,,,,,,4,,,
SimpleGumtree,45,2,21,24,0,0,0,0,13,2,0,,0.7,,,,,,4,,,
SimpleGumtree,45,2,21,24,0,0,0,0,6,2,0,,0.899,,,,,,4,,,
SimpleGumtree,253,2,125,128,0,0,0,0,7,2,0,,0.1,,,,,,5,,,
SimpleGumtree,253,2,125,128,0,0,0,0,6,2,0,,0.3,,,,,,5,,,
SimpleGumtree,253,2,125,128,0,0,0,0,7,2,0,,0.5,,,,,,5,,,
SimpleGumtree,253,2,125,128,0,0,0,0,7,2,0,,0.7,,,,,,5,,,
SimpleGumtree,253,2,125,128,0,0,0,0,7,2,0,,0.899,,,,,,5,,,
ClassicGumtree,3,1,0,3,0,0,0,0,7,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,43,19,20,23,0,0,0,0,6,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,303,69,150,153,0,0,0,0,6,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,659,118,328,331,0,0,0,0,6,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,807,90,402,405,0,0,0,0,6,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,3,1,0,3,0,0,0,0,89,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,9,3,3,6,0,0,0,0,88,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,269,53,133,136,0,0,0,0,89,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,471,81,234,237,0,0,0,0,125,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,807,90,402,405,0,0,0,0,6,3,0,0.1,,200,,,,,5,,,
ClassicGumtree,3,1,0,3,0,0,0,0,98,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,9,3,3,6,0,0,0,0,74,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,269,53,133,136,0,0,0,0,114,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,471,81,234,237,0,0,0,0,96,3,0,0.1,,300,,,,,4,,,
ClassicGumtree,807,90,402,405,0,0,0,0,6,3,0,0.1,,300,,,,,5,,,
ClassicGumtree,3,1,0,3,0,0,0,0,86,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,9,3,3,6,0,0,0,0,90,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,269,53,133,136,0,0,0,0,83,3,0,0.1,,400,,,,,3,,,
ClassicGumtree,471,81,234,237,0,0,0,0,74,3,0,0.1,,400,,,,,4,,,
ClassicGumtree,807,90,402,405,0,0,0,0,22,3,0,0.1,,400,,,,,5,,,
ClassicGumtree,3,1,0,3,0,0,0,0,103,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,9,3,3,6,0,0,0,0,132,3,0,0.1,,500,,,,,2,,,
ClassicGumtree,269,53,133,136,0,0,0,0,123,3,0,0.1,,500,,,,,3,,,
ClassicGumtree,471,81,234,237,0,0,0,0,90,3,0,0.1,,500,,,,,4,,,
ClassicGumtree,807,90,402,405,0,0,0,0,5,3,0,0.1,,500,,,,,5,,,
ClassicGumtree,3,1,0,3,0,0,0,0,91,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,9,3,3,6,0,0,0,0,76,3,0,0.1,,600,,,,,2,,,
ClassicGumtree,269,53,133,136,0,0,0,0,134,3,0,0.1,,600,,,,,3,,,
ClassicGumtree,471,81,234,237,0,0,0,0,140,3,0,0.1,,600,,,,,4,,,
ClassicGumtree,807,90,402,405,0,0,0,0,6,3,0,0.1,,600,,,,,5,,,
ClassicGumtree,3,1,0,3,0,0,0,0,239,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,9,3,3,6,0,0,0,0,127,3,0,0.1,,700,,,,,2,,,
ClassicGumtree,269,53,133,136,0,0,0,0,197,3,0,0.1,,700,,,,,3,,,
ClassicGumtree,471,81,234,237,0,0,0,0,189,3,0,0.1,,700,,,,,4,,,
ClassicGumtree,807,90,402,405,0,0,0,0,5,3,0,0.1,,700,,,,,5,,,
