MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,29,7,27,0,0,2,0,0,2,2,0,,0.1,,,,,,1,,,
SimpleGumtree,43,10,35,8,0,0,0,0,2,2,0,,0.1,,,,,,2,,,
SimpleGumtree,43,10,35,8,0,0,0,0,2,2,0,,0.1,,,,,,3,,,
SimpleGumtree,81,11,54,27,0,0,0,0,2,2,0,,0.1,,,,,,4,,,
SimpleGumtree,81,11,54,27,0,0,0,0,2,2,0,,0.1,,,,,,5,,,
SimpleGumtree,29,7,27,0,0,2,0,0,2,2,0,,0.3,,,,,,1,,,
SimpleGumtree,43,10,35,8,0,0,0,0,2,2,0,,0.3,,,,,,2,,,
SimpleGumtree,43,10,35,8,0,0,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,81,11,54,27,0,0,0,0,2,2,0,,0.3,,,,,,4,,,
SimpleGumtree,81,11,54,27,0,0,0,0,2,2,0,,0.3,,,,,,5,,,
SimpleGumtree,29,7,27,0,0,2,0,0,2,2,0,,0.5,,,,,,1,,,
SimpleGumtree,43,10,35,8,0,0,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,43,10,35,8,0,0,0,0,2,2,0,,0.5,,,,,,3,,,
SimpleGumtree,81,11,54,27,0,0,0,0,2,2,0,,0.5,,,,,,4,,,
SimpleGumtree,81,11,54,27,0,0,0,0,2,2,0,,0.5,,,,,,5,,,
SimpleGumtree,29,7,27,0,0,2,0,0,2,2,0,,0.7,,,,,,1,,,
SimpleGumtree,43,10,35,8,0,0,0,0,2,2,0,,0.7,,,,,,2,,,
SimpleGumtree,43,10,35,8,0,0,0,0,2,2,0,,0.7,,,,,,3,,,
SimpleGumtree,81,11,54,27,0,0,0,0,2,2,0,,0.7,,,,,,4,,,
SimpleGumtree,81,11,54,27,0,0,0,0,2,2,0,,0.7,,,,,,5,,,
SimpleGumtree,29,7,27,0,0,2,0,0,2,2,0,,0.899,,,,,,1,,,
SimpleGumtree,43,10,35,8,0,0,0,0,2,2,0,,0.899,,,,,,2,,,
SimpleGumtree,43,10,35,8,0,0,0,0,2,2,0,,0.899,,,,,,3,,,
SimpleGumtree,81,11,54,27,0,0,0,0,2,2,0,,0.899,,,,,,4,,,
SimpleGumtree,81,11,54,27,0,0,0,0,2,2,0,,0.899,,,,,,5,,,
ClassicGumtree,35,13,30,3,0,2,0,0,2,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,35,13,30,3,0,2,0,0,2,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,35,13,30,3,0,2,0,0,4,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,35,13,30,3,0,2,0,0,4,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,41,13,33,6,0,2,0,0,4,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,41,13,33,6,0,2,0,0,3,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,41,13,33,6,0,2,0,0,4,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,41,13,33,6,0,2,0,0,4,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,61,22,37,10,0,14,0,0,1,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,107,58,39,12,0,56,0,0,2,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,123,43,75,48,0,0,0,0,3,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,123,43,75,48,0,0,0,0,3,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,123,43,75,48,0,0,0,0,3,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,123,43,75,48,0,0,0,0,2,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,123,43,75,48,0,0,0,0,2,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,123,43,75,48,0,0,0,0,4,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,138,45,82,55,0,1,0,0,3,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,138,45,82,55,0,1,0,0,3,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,147,43,83,56,0,8,0,0,3,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,180,39,85,58,0,37,0,0,3,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,339,77,183,156,0,0,0,0,2,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,339,77,183,156,0,0,0,0,2,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,339,77,183,156,0,0,0,0,2,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,339,77,183,156,0,0,0,0,2,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,339,77,183,156,0,0,0,0,2,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,339,77,183,156,0,0,0,0,4,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,354,79,190,163,0,1,0,0,2,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,379,22,193,166,0,20,0,0,3,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,379,22,193,166,0,20,0,0,3,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,379,22,193,166,0,20,0,0,2,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,613,96,320,293,0,0,0,0,2,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,613,96,320,293,0,0,0,0,2,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,613,96,320,293,0,0,0,0,2,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,613,96,320,293,0,0,0,0,2,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,613,96,320,293,0,0,0,0,3,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,618,68,321,294,0,3,0,0,1,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,624,26,322,295,0,7,0,0,2,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,629,12,323,296,0,10,0,0,2,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,629,12,323,296,0,10,0,0,2,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,629,12,323,296,0,10,0,0,2,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,655,98,341,314,0,0,0,0,3,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,655,98,341,314,0,0,0,0,2,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,655,98,341,314,0,0,0,0,2,3,0,0.3,,100,,,,,5,,,
