MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,8,2,7,0,0,1,0,0,3,2,0,,0.1,,,,,,1,,,
SimpleGumtree,8,2,7,0,0,1,0,0,3,2,0,,0.3,,,,,,1,,,
SimpleGumtree,8,2,7,0,0,1,0,0,3,2,0,,0.5,,,,,,1,,,
SimpleGumtree,8,2,7,0,0,1,0,0,3,2,0,,0.7,,,,,,1,,,
SimpleGumtree,8,2,7,0,0,1,0,0,3,2,0,,0.899,,,,,,1,,,
SimpleGumtree,8,2,7,0,0,1,0,0,2,2,0,,0.1,,,,,,2,,,
SimpleGumtree,8,2,7,0,0,1,0,0,2,2,0,,0.3,,,,,,2,,,
SimpleGumtree,8,2,7,0,0,1,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,8,2,7,0,0,1,0,0,2,2,0,,0.7,,,,,,2,,,
SimpleGumtree,8,2,7,0,0,1,0,0,2,2,0,,0.899,,,,,,2,,,
SimpleGumtree,8,2,7,0,0,1,0,0,2,2,0,,0.1,,,,,,3,,,
SimpleGumtree,8,2,7,0,0,1,0,0,3,2,0,,0.3,,,,,,3,,,
SimpleGumtree,8,2,7,0,0,1,0,0,3,2,0,,0.5,,,,,,3,,,
SimpleGumtree,8,2,7,0,0,1,0,0,3,2,0,,0.7,,,,,,3,,,
SimpleGumtree,8,2,7,0,0,1,0,0,4,2,0,,0.899,,,,,,3,,,
SimpleGumtree,8,2,7,0,0,1,0,0,3,2,0,,0.1,,,,,,4,,,
SimpleGumtree,8,2,7,0,0,1,0,0,3,2,0,,0.3,,,,,,4,,,
SimpleGumtree,8,2,7,0,0,1,0,0,3,2,0,,0.5,,,,,,4,,,
SimpleGumtree,8,2,7,0,0,1,0,0,3,2,0,,0.7,,,,,,4,,,
SimpleGumtree,8,2,7,0,0,1,0,0,3,2,0,,0.899,,,,,,4,,,
SimpleGumtree,292,3,149,142,0,1,0,0,2,2,0,,0.1,,,,,,5,,,
SimpleGumtree,292,3,149,142,0,1,0,0,2,2,0,,0.3,,,,,,5,,,
SimpleGumtree,292,3,149,142,0,1,0,0,2,2,0,,0.5,,,,,,5,,,
SimpleGumtree,292,3,149,142,0,1,0,0,2,2,0,,0.7,,,,,,5,,,
SimpleGumtree,292,3,149,142,0,1,0,0,2,2,0,,0.899,,,,,,5,,,
ClassicGumtree,12,6,9,2,0,1,0,0,6,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,12,6,9,2,0,1,0,0,6,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,12,6,9,2,0,1,0,0,10,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,12,6,9,2,0,1,0,0,10,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,12,6,9,2,0,1,0,0,10,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,12,6,9,2,0,1,0,0,10,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,12,6,9,2,0,1,0,0,10,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,12,6,9,2,0,1,0,0,10,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,12,6,9,2,0,1,0,0,8,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,76,53,16,9,0,51,0,0,2,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,74,30,40,33,0,1,0,0,6,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,74,30,40,33,0,1,0,0,5,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,74,30,40,33,0,1,0,0,5,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,74,30,40,33,0,1,0,0,5,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,74,30,40,33,0,1,0,0,10,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,74,30,40,33,0,1,0,0,10,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,74,30,40,33,0,1,0,0,10,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,104,38,52,45,0,7,0,0,3,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,133,34,56,49,0,28,0,0,2,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,142,37,57,50,0,35,0,0,3,3,0,0.999,,100,,,,,2,,,
