MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,26,12,4,12,8,2,0,0,2,2,0,,0.1,,,,,,1,,,
SimpleGumtree,35,7,12,20,3,0,0,0,2,2,0,,0.1,,,,,,2,,,
SimpleGumtree,35,7,12,20,3,0,0,0,1,2,0,,0.1,,,,,,3,,,
SimpleGumtree,35,7,12,20,3,0,0,0,1,2,0,,0.1,,,,,,4,,,
SimpleGumtree,146,2,69,77,0,0,0,0,1,2,0,,0.1,,,,,,5,,,
SimpleGumtree,26,12,4,12,8,2,0,0,2,2,0,,0.3,,,,,,1,,,
SimpleGumtree,35,7,12,20,3,0,0,0,2,2,0,,0.3,,,,,,2,,,
SimpleGumtree,35,7,12,20,3,0,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,35,7,12,20,3,0,0,0,2,2,0,,0.3,,,,,,4,,,
SimpleGumtree,146,2,69,77,0,0,0,0,2,2,0,,0.3,,,,,,5,,,
SimpleGumtree,26,12,4,12,8,2,0,0,2,2,0,,0.5,,,,,,1,,,
SimpleGumtree,35,7,12,20,3,0,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,35,7,12,20,3,0,0,0,2,2,0,,0.5,,,,,,3,,,
SimpleGumtree,35,7,12,20,3,0,0,0,2,2,0,,0.5,,,,,,4,,,
SimpleGumtree,146,2,69,77,0,0,0,0,2,2,0,,0.5,,,,,,5,,,
SimpleGumtree,26,12,4,12,8,2,0,0,1,2,0,,0.7,,,,,,1,,,
SimpleGumtree,35,7,12,20,3,0,0,0,1,2,0,,0.7,,,,,,2,,,
SimpleGumtree,35,7,12,20,3,0,0,0,1,2,0,,0.7,,,,,,3,,,
SimpleGumtree,35,7,12,20,3,0,0,0,1,2,0,,0.7,,,,,,4,,,
SimpleGumtree,146,2,69,77,0,0,0,0,1,2,0,,0.7,,,,,,5,,,
SimpleGumtree,26,12,4,12,8,2,0,0,1,2,0,,0.899,,,,,,1,,,
SimpleGumtree,35,7,12,20,3,0,0,0,1,2,0,,0.899,,,,,,2,,,
SimpleGumtree,35,7,12,20,3,0,0,0,2,2,0,,0.899,,,,,,3,,,
SimpleGumtree,35,7,12,20,3,0,0,0,1,2,0,,0.899,,,,,,4,,,
SimpleGumtree,146,2,69,77,0,0,0,0,2,2,0,,0.899,,,,,,5,,,
ClassicGumtree,29,17,5,13,8,3,0,0,18,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,29,17,5,13,8,3,0,0,33,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,29,17,5,13,8,3,0,0,33,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,29,17,5,13,8,3,0,0,32,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,29,17,5,13,8,3,0,0,32,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,27,16,5,13,7,2,0,0,30,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,57,11,22,30,1,4,0,0,10,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,57,11,22,30,1,4,0,0,10,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,93,27,30,38,0,25,0,0,2,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,110,42,31,39,0,40,0,0,1,3,0,0.999,,100,,,,,1,,,
