MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,15,4,13,0,0,2,0,0,9,2,0,,0.5,,,,,,1,,,
SimpleGumtree,15,4,13,0,0,2,0,0,13,2,0,,0.7,,,,,,1,,,
SimpleGumtree,15,4,13,0,0,2,0,0,13,2,0,,0.899,,,,,,1,,,
SimpleGumtree,15,4,13,0,0,2,0,0,13,2,0,,0.1,,,,,,2,,,
SimpleGumtree,15,4,13,0,0,2,0,0,13,2,0,,0.5,,,,,,2,,,
SimpleGumtree,15,4,13,0,0,2,0,0,13,2,0,,0.7,,,,,,2,,,
SimpleGumtree,15,4,13,0,0,2,0,0,13,2,0,,0.899,,,,,,2,,,
SimpleGumtree,64,6,38,25,0,1,0,0,9,2,0,,0.3,,,,,,3,,,
SimpleGumtree,64,6,38,25,0,1,0,0,12,2,0,,0.899,,,,,,3,,,
SimpleGumtree,137,9,74,61,0,2,0,0,12,2,0,,0.1,,,,,,4,,,
SimpleGumtree,137,9,74,61,0,2,0,0,12,2,0,,0.3,,,,,,4,,,
SimpleGumtree,137,9,74,61,0,2,0,0,12,2,0,,0.5,,,,,,4,,,
SimpleGumtree,137,9,74,61,0,2,0,0,12,2,0,,0.7,,,,,,4,,,
SimpleGumtree,137,9,74,61,0,2,0,0,12,2,0,,0.899,,,,,,4,,,
SimpleGumtree,152,8,82,69,0,1,0,0,8,2,0,,0.3,,,,,,5,,,
SimpleGumtree,152,8,82,69,0,1,0,0,8,2,0,,0.5,,,,,,5,,,
SimpleGumtree,152,8,82,69,0,1,0,0,9,2,0,,0.899,,,,,,5,,,
ClassicGumtree,17,6,14,1,0,2,0,0,45,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,45,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,44,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,1603,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,3865,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5616,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,11651,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,11664,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5598,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5591,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5605,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5598,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5598,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5374,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5517,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5378,3,0,0.1,,1800,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5376,3,0,0.1,,1900,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,18629,3,0,0.1,,2000,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,45,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,45,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,43,3,0,0.2,,300,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,46,3,0,0.2,,400,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,46,3,0,0.2,,500,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,1373,3,0,0.2,,600,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,3779,3,0,0.2,,700,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5853,3,0,0.2,,800,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5852,3,0,0.2,,900,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5848,3,0,0.2,,1000,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5774,3,0,0.2,,1100,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5773,3,0,0.2,,1200,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5770,3,0,0.2,,1300,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5772,3,0,0.2,,1400,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5344,3,0,0.2,,1500,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,11023,3,0,0.2,,1600,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,11028,3,0,0.2,,1700,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5370,3,0,0.2,,1800,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5380,3,0,0.2,,1900,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,18668,3,0,0.2,,2000,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,44,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,43,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,44,3,0,0.3,,300,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,44,3,0,0.3,,400,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,43,3,0,0.3,,500,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,1375,3,0,0.3,,600,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,3709,3,0,0.3,,700,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5509,3,0,0.3,,800,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5510,3,0,0.3,,900,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5537,3,0,0.3,,1000,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5446,3,0,0.3,,1100,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5447,3,0,0.3,,1200,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5524,3,0,0.3,,1300,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5975,3,0,0.3,,1400,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5976,3,0,0.3,,1500,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5991,3,0,0.3,,1600,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,11510,3,0,0.3,,1700,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,11524,3,0,0.3,,1800,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5967,3,0,0.3,,1900,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,18807,3,0,0.3,,2000,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,41,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,42,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,41,3,0,0.4,,300,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,42,3,0,0.4,,400,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,42,3,0,0.4,,500,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,1370,3,0,0.4,,600,,,,,1,,,
ClassicGumtree,17,6,14,1,0,2,0,0,4283,3,0,0.4,,700,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5928,3,0,0.4,,800,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5281,3,0,0.4,,900,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5282,3,0,0.4,,1000,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5300,3,0,0.4,,1100,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5354,3,0,0.4,,1200,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5361,3,0,0.4,,1300,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5540,3,0,0.4,,1400,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5535,3,0,0.4,,1500,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5532,3,0,0.4,,1600,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5550,3,0,0.4,,1700,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,5535,3,0,0.4,,1800,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,11089,3,0,0.4,,1900,,,,,1,,,
ClassicGumtree,15,4,13,0,0,2,0,0,38015,3,0,0.4,,2000,,,,,1,,,
ClassicGumtree,25,12,16,3,0,6,0,0,37,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,25,12,16,3,0,6,0,0,37,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,25,12,16,3,0,6,0,0,37,3,0,0.5,,300,,,,,1,,,
ClassicGumtree,25,12,16,3,0,6,0,0,37,3,0,0.5,,400,,,,,1,,,
ClassicGumtree,25,12,16,3,0,6,0,0,38,3,0,0.5,,500,,,,,1,,,
ClassicGumtree,25,12,16,3,0,6,0,0,1365,3,0,0.5,,600,,,,,1,,,
ClassicGumtree,25,12,16,3,0,6,0,0,3865,3,0,0.5,,700,,,,,1,,,
ClassicGumtree,23,10,15,2,0,6,0,0,5607,3,0,0.5,,800,,,,,1,,,
ClassicGumtree,23,10,15,2,0,6,0,0,5373,3,0,0.5,,900,,,,,1,,,
ClassicGumtree,23,10,15,2,0,6,0,0,5431,3,0,0.5,,1000,,,,,1,,,
ClassicGumtree,23,10,15,2,0,6,0,0,5432,3,0,0.5,,1100,,,,,1,,,
ClassicGumtree,23,10,15,2,0,6,0,0,5444,3,0,0.5,,1200,,,,,1,,,
ClassicGumtree,23,10,15,2,0,6,0,0,5428,3,0,0.5,,1300,,,,,1,,,
ClassicGumtree,23,10,15,2,0,6,0,0,5422,3,0,0.5,,1400,,,,,1,,,
