MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,14,5,8,1,5,0,0,0,3,2,0,,0.1,,,,,,1,,,
SimpleGumtree,14,5,8,1,5,0,0,0,2,2,0,,0.3,,,,,,1,,,
SimpleGumtree,14,5,8,1,5,0,0,0,2,2,0,,0.5,,,,,,1,,,
SimpleGumtree,14,5,8,1,5,0,0,0,3,2,0,,0.7,,,,,,1,,,
SimpleGumtree,14,5,8,1,5,0,0,0,3,2,0,,0.899,,,,,,1,,,
SimpleGumtree,14,5,8,1,5,0,0,0,3,2,0,,0.1,,,,,,2,,,
SimpleGumtree,14,5,8,1,5,0,0,0,2,2,0,,0.3,,,,,,2,,,
SimpleGumtree,14,5,8,1,5,0,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,14,5,8,1,5,0,0,0,2,2,0,,0.7,,,,,,2,,,
SimpleGumtree,14,5,8,1,5,0,0,0,2,2,0,,0.899,,,,,,2,,,
SimpleGumtree,29,6,16,9,4,0,0,0,2,2,0,,0.1,,,,,,3,,,
SimpleGumtree,29,6,16,9,4,0,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,29,6,16,9,4,0,0,0,3,2,0,,0.5,,,,,,3,,,
SimpleGumtree,29,6,16,9,4,0,0,0,3,2,0,,0.7,,,,,,3,,,
SimpleGumtree,29,6,16,9,4,0,0,0,3,2,0,,0.899,,,,,,3,,,
SimpleGumtree,30,7,16,9,5,0,0,0,3,2,0,,0.1,,,,,,4,,,
SimpleGumtree,30,7,16,9,5,0,0,0,3,2,0,,0.3,,,,,,4,,,
SimpleGumtree,30,7,16,9,5,0,0,0,3,2,0,,0.5,,,,,,4,,,
SimpleGumtree,30,7,16,9,5,0,0,0,3,2,0,,0.7,,,,,,4,,,
SimpleGumtree,30,7,16,9,5,0,0,0,3,2,0,,0.899,,,,,,4,,,
SimpleGumtree,30,7,16,9,5,0,0,0,1,2,0,,0.1,,,,,,5,,,
SimpleGumtree,30,7,16,9,5,0,0,0,1,2,0,,0.3,,,,,,5,,,
SimpleGumtree,30,7,16,9,5,0,0,0,2,2,0,,0.5,,,,,,5,,,
SimpleGumtree,30,7,16,9,5,0,0,0,2,2,0,,0.7,,,,,,5,,,
SimpleGumtree,30,7,16,9,5,0,0,0,1,2,0,,0.899,,,,,,5,,,
ClassicGumtree,14,5,8,1,5,0,0,0,24,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,14,5,8,1,5,0,0,0,24,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,14,5,8,1,5,0,0,0,43,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,14,5,8,1,5,0,0,0,43,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,14,5,8,1,5,0,0,0,31,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,19,10,10,3,4,2,0,0,32,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,19,10,10,3,4,2,0,0,41,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,21,8,11,4,4,2,0,0,40,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,26,11,13,6,3,4,0,0,38,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,99,52,28,21,0,50,0,0,2,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,18,7,10,3,5,0,0,0,42,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,18,7,10,3,5,0,0,0,23,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,18,7,10,3,5,0,0,0,23,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,26,11,14,7,4,1,0,0,23,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,26,11,14,7,4,1,0,0,22,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,26,11,14,7,4,1,0,0,41,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,57,16,29,22,2,4,0,0,38,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,145,26,69,62,0,14,0,0,3,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,164,33,70,63,0,31,0,0,2,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,164,33,70,63,0,31,0,0,2,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,79,18,41,34,4,0,0,0,41,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,79,18,41,34,4,0,0,0,42,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,79,18,41,34,4,0,0,0,42,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,79,18,41,34,4,0,0,0,41,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,79,18,41,34,4,0,0,0,22,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,79,18,41,34,4,0,0,0,21,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,175,28,87,80,1,7,0,0,9,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,218,33,107,100,0,11,0,0,2,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,232,25,108,101,0,23,0,0,2,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,232,25,108,101,0,23,0,0,1,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,250,27,127,120,3,0,0,0,23,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,250,27,127,120,3,0,0,0,20,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,250,27,127,120,3,0,0,0,22,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,250,27,127,120,3,0,0,0,21,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,250,27,127,120,3,0,0,0,38,3,0,0.5,,100,,,,,4,,,
