MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,4,4,0,0,4,0,0,0,2,2,0,,0.1,,,,,,1,,,
SimpleGumtree,4,4,0,0,4,0,0,0,1,2,0,,0.3,,,,,,1,,,
SimpleGumtree,4,4,0,0,4,0,0,0,1,2,0,,0.5,,,,,,1,,,
SimpleGumtree,4,4,0,0,4,0,0,0,1,2,0,,0.7,,,,,,1,,,
SimpleGumtree,4,4,0,0,4,0,0,0,2,2,0,,0.899,,,,,,1,,,
SimpleGumtree,4,4,0,0,4,0,0,0,1,2,0,,0.1,,,,,,2,,,
SimpleGumtree,4,4,0,0,4,0,0,0,2,2,0,,0.3,,,,,,2,,,
SimpleGumtree,4,4,0,0,4,0,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,4,4,0,0,4,0,0,0,2,2,0,,0.7,,,,,,2,,,
SimpleGumtree,4,4,0,0,4,0,0,0,2,2,0,,0.899,,,,,,2,,,
SimpleGumtree,4,4,0,0,4,0,0,0,1,2,0,,0.1,,,,,,3,,,
SimpleGumtree,4,4,0,0,4,0,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,4,4,0,0,4,0,0,0,2,2,0,,0.5,,,,,,3,,,
SimpleGumtree,4,4,0,0,4,0,0,0,2,2,0,,0.7,,,,,,3,,,
SimpleGumtree,4,4,0,0,4,0,0,0,1,2,0,,0.899,,,,,,3,,,
SimpleGumtree,4,4,0,0,4,0,0,0,1,2,0,,0.1,,,,,,4,,,
SimpleGumtree,4,4,0,0,4,0,0,0,1,2,0,,0.3,,,,,,4,,,
SimpleGumtree,4,4,0,0,4,0,0,0,2,2,0,,0.5,,,,,,4,,,
SimpleGumtree,4,4,0,0,4,0,0,0,2,2,0,,0.7,,,,,,4,,,
SimpleGumtree,4,4,0,0,4,0,0,0,2,2,0,,0.899,,,,,,4,,,
SimpleGumtree,4,4,0,0,4,0,0,0,1,2,0,,0.1,,,,,,5,,,
SimpleGumtree,4,4,0,0,4,0,0,0,1,2,0,,0.3,,,,,,5,,,
SimpleGumtree,4,4,0,0,4,0,0,0,1,2,0,,0.5,,,,,,5,,,
SimpleGumtree,4,4,0,0,4,0,0,0,1,2,0,,0.7,,,,,,5,,,
SimpleGumtree,4,4,0,0,4,0,0,0,1,2,0,,0.899,,,,,,5,,,
ClassicGumtree,4,4,0,0,4,0,0,0,5,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,4,4,0,0,4,0,0,0,5,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,4,4,0,0,4,0,0,0,3,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,4,4,0,0,4,0,0,0,3,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,4,4,0,0,4,0,0,0,3,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,4,4,0,0,4,0,0,0,3,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,4,4,0,0,4,0,0,0,3,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,48,18,17,17,0,14,0,0,2,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,48,18,17,17,0,14,0,0,2,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,68,34,18,18,0,32,0,0,1,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,8,6,2,2,4,0,0,0,3,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,8,6,2,2,4,0,0,0,5,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,8,6,2,2,4,0,0,0,5,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,8,6,2,2,4,0,0,0,3,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,8,6,2,2,4,0,0,0,3,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,73,13,33,33,0,7,0,0,1,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,73,13,33,33,0,7,0,0,1,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,73,13,33,33,0,7,0,0,1,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,73,13,33,33,0,7,0,0,1,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,92,26,34,34,0,24,0,0,1,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,70,16,33,33,4,0,0,0,3,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,119,17,58,58,2,1,0,0,3,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,119,17,58,58,2,1,0,0,2,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,119,17,58,58,2,1,0,0,4,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,119,17,58,58,2,1,0,0,4,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,152,20,74,74,0,4,0,0,1,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,152,20,74,74,0,4,0,0,1,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,152,20,74,74,0,4,0,0,1,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,166,18,75,75,0,16,0,0,1,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,166,18,75,75,0,16,0,0,1,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,198,18,99,99,0,0,0,0,1,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,198,18,99,99,0,0,0,0,1,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,198,18,99,99,0,0,0,0,2,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,198,18,99,99,0,0,0,0,1,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,198,18,99,99,0,0,0,0,2,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,198,18,99,99,0,0,0,0,1,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,198,18,99,99,0,0,0,0,1,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,211,13,100,100,0,11,0,0,1,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,211,13,100,100,0,11,0,0,1,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,211,13,100,100,0,11,0,0,1,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,236,20,118,118,0,0,0,0,1,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,236,20,118,118,0,0,0,0,1,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,236,20,118,118,0,0,0,0,1,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,236,20,118,118,0,0,0,0,1,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,236,20,118,118,0,0,0,0,1,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,236,20,118,118,0,0,0,0,2,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,236,20,118,118,0,0,0,0,2,3,0,0.7,,100,,,,,5,,,
ClassicGumtree,248,12,119,119,0,10,0,0,2,3,0,0.799,,100,,,,,5,,,
ClassicGumtree,248,12,119,119,0,10,0,0,1,3,0,0.899,,100,,,,,5,,,
ClassicGumtree,248,12,119,119,0,10,0,0,1,3,0,0.999,,100,,,,,5,,,
ClassicGumtree,4,4,0,0,4,0,0,0,3,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,4,4,0,0,4,0,0,0,4,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,4,4,0,0,4,0,0,0,4,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,4,4,0,0,4,0,0,0,3,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,4,4,0,0,4,0,0,0,4,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,4,4,0,0,4,0,0,0,3,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,4,4,0,0,4,0,0,0,5,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,48,18,17,17,0,14,0,0,1,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,48,18,17,17,0,14,0,0,1,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,68,34,18,18,0,32,0,0,2,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,8,6,2,2,4,0,0,0,6,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,8,6,2,2,4,0,0,0,6,3,0,0.2,,200,,,,,2,,,
ClassicGumtree,8,6,2,2,4,0,0,0,3,3,0,0.3,,200,,,,,2,,,
ClassicGumtree,8,6,2,2,4,0,0,0,5,3,0,0.4,,200,,,,,2,,,
ClassicGumtree,8,6,2,2,4,0,0,0,3,3,0,0.5,,200,,,,,2,,,
ClassicGumtree,73,13,33,33,0,7,0,0,1,3,0,0.6,,200,,,,,2,,,
ClassicGumtree,73,13,33,33,0,7,0,0,1,3,0,0.7,,200,,,,,2,,,
ClassicGumtree,73,13,33,33,0,7,0,0,1,3,0,0.799,,200,,,,,2,,,
ClassicGumtree,73,13,33,33,0,7,0,0,1,3,0,0.899,,200,,,,,2,,,
ClassicGumtree,92,26,34,34,0,24,0,0,1,3,0,0.999,,200,,,,,2,,,
ClassicGumtree,70,16,33,33,4,0,0,0,3,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,119,17,58,58,2,1,0,0,3,3,0,0.2,,200,,,,,3,,,
ClassicGumtree,119,17,58,58,2,1,0,0,2,3,0,0.3,,200,,,,,3,,,
ClassicGumtree,119,17,58,58,2,1,0,0,2,3,0,0.4,,200,,,,,3,,,
ClassicGumtree,119,17,58,58,2,1,0,0,3,3,0,0.5,,200,,,,,3,,,
ClassicGumtree,152,20,74,74,0,4,0,0,1,3,0,0.6,,200,,,,,3,,,
ClassicGumtree,152,20,74,74,0,4,0,0,1,3,0,0.7,,200,,,,,3,,,
ClassicGumtree,152,20,74,74,0,4,0,0,1,3,0,0.799,,200,,,,,3,,,
ClassicGumtree,166,18,75,75,0,16,0,0,1,3,0,0.899,,200,,,,,3,,,
ClassicGumtree,166,18,75,75,0,16,0,0,1,3,0,0.999,,200,,,,,3,,,
ClassicGumtree,198,18,99,99,0,0,0,0,1,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,198,18,99,99,0,0,0,0,1,3,0,0.2,,200,,,,,4,,,
ClassicGumtree,198,18,99,99,0,0,0,0,2,3,0,0.3,,200,,,,,4,,,
ClassicGumtree,198,18,99,99,0,0,0,0,1,3,0,0.4,,200,,,,,4,,,
ClassicGumtree,198,18,99,99,0,0,0,0,1,3,0,0.5,,200,,,,,4,,,
ClassicGumtree,198,18,99,99,0,0,0,0,1,3,0,0.6,,200,,,,,4,,,
ClassicGumtree,198,18,99,99,0,0,0,0,1,3,0,0.7,,200,,,,,4,,,
ClassicGumtree,211,13,100,100,0,11,0,0,1,3,0,0.799,,200,,,,,4,,,
