MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,35,8,23,10,0,2,0,0,7,2,0,,0.1,,,,,,1,,,
SimpleGumtree,35,8,23,10,0,2,0,0,35,2,0,,0.3,,,,,,1,,,
SimpleGumtree,35,8,23,10,0,2,0,0,20,2,0,,0.5,,,,,,1,,,
SimpleGumtree,35,8,23,10,0,2,0,0,7,2,0,,0.7,,,,,,1,,,
SimpleGumtree,35,8,23,10,0,2,0,0,6,2,0,,0.899,,,,,,1,,,
SimpleGumtree,46,9,28,15,0,3,0,0,6,2,0,,0.1,,,,,,2,,,
SimpleGumtree,46,9,28,15,0,3,0,0,18,2,0,,0.3,,,,,,2,,,
SimpleGumtree,46,9,28,15,0,3,0,0,7,2,0,,0.5,,,,,,2,,,
SimpleGumtree,46,9,28,15,0,3,0,0,14,2,0,,0.7,,,,,,2,,,
SimpleGumtree,46,9,28,15,0,3,0,0,6,2,0,,0.899,,,,,,2,,,
SimpleGumtree,56,7,34,21,0,1,0,0,7,2,0,,0.1,,,,,,3,,,
SimpleGumtree,56,7,34,21,0,1,0,0,17,2,0,,0.3,,,,,,3,,,
SimpleGumtree,56,7,34,21,0,1,0,0,6,2,0,,0.5,,,,,,3,,,
SimpleGumtree,56,7,34,21,0,1,0,0,6,2,0,,0.7,,,,,,3,,,
SimpleGumtree,56,7,34,21,0,1,0,0,6,2,0,,0.899,,,,,,3,,,
SimpleGumtree,69,6,41,28,0,0,0,0,6,2,0,,0.1,,,,,,4,,,
SimpleGumtree,69,6,41,28,0,0,0,0,7,2,0,,0.3,,,,,,4,,,
SimpleGumtree,69,6,41,28,0,0,0,0,6,2,0,,0.5,,,,,,4,,,
SimpleGumtree,69,6,41,28,0,0,0,0,7,2,0,,0.7,,,,,,4,,,
SimpleGumtree,69,6,41,28,0,0,0,0,7,2,0,,0.899,,,,,,4,,,
SimpleGumtree,69,6,41,28,0,0,0,0,6,2,0,,0.1,,,,,,5,,,
SimpleGumtree,69,6,41,28,0,0,0,0,6,2,0,,0.3,,,,,,5,,,
SimpleGumtree,69,6,41,28,0,0,0,0,6,2,0,,0.5,,,,,,5,,,
SimpleGumtree,69,6,41,28,0,0,0,0,7,2,0,,0.7,,,,,,5,,,
SimpleGumtree,69,6,41,28,0,0,0,0,6,2,0,,0.899,,,,,,5,,,
ClassicGumtree,28,6,20,7,0,1,0,0,7,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,28,6,20,7,0,1,0,0,7,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,28,6,20,7,0,1,0,0,6,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,35,8,23,10,0,2,0,0,7,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,43,10,26,13,0,4,0,0,6,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,43,10,26,13,0,4,0,0,6,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,43,10,26,13,0,4,0,0,5,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,43,10,26,13,0,4,0,0,5,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,60,21,27,14,0,19,0,0,6,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,101,58,29,16,0,56,0,0,7,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,56,20,34,21,0,1,0,0,39,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,56,20,34,21,0,1,0,0,7,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,67,21,39,26,0,2,0,0,6,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,74,23,42,29,0,3,0,0,5,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,74,23,42,29,0,3,0,0,6,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,74,23,42,29,0,3,0,0,6,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,74,23,42,29,0,3,0,0,6,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,87,22,43,30,0,14,0,0,5,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,87,22,43,30,0,14,0,0,6,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,125,50,45,32,0,48,0,0,6,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,250,53,131,118,0,1,0,0,42,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,250,53,131,118,0,1,0,0,6,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,250,53,131,118,0,1,0,0,6,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,250,53,131,118,0,1,0,0,6,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,250,53,131,118,0,1,0,0,5,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,250,53,131,118,0,1,0,0,5,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,250,53,131,118,0,1,0,0,6,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,263,52,132,119,0,12,0,0,5,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,285,32,134,121,0,30,0,0,6,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,285,32,134,121,0,30,0,0,7,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,515,86,264,251,0,0,0,0,6,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,519,58,265,252,0,2,0,0,6,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,519,58,265,252,0,2,0,0,6,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,519,58,265,252,0,2,0,0,6,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,519,58,265,252,0,2,0,0,6,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,519,58,265,252,0,2,0,0,6,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,523,44,266,253,0,4,0,0,6,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,533,14,267,254,0,12,0,0,26,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,533,14,267,254,0,12,0,0,22,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,533,14,267,254,0,12,0,0,6,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,759,94,386,373,0,0,0,0,21,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,763,66,387,374,0,2,0,0,21,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,763,66,387,374,0,2,0,0,42,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,763,66,387,374,0,2,0,0,21,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,763,66,387,374,0,2,0,0,36,3,0,0.5,,100,,,,,5,,,
