MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,33,8,9,20,0,4,0,0,72,2,0,,0.1,,,,,,1,,,
SimpleGumtree,33,8,9,20,0,4,0,0,108,2,0,,0.1,,,,,,2,,,
SimpleGumtree,40,8,13,24,0,3,0,0,125,2,0,,0.1,,,,,,3,,,
SimpleGumtree,62,10,25,36,0,1,0,0,75,2,0,,0.1,,,,,,4,,,
SimpleGumtree,323,2,156,167,0,0,0,0,109,2,0,,0.1,,,,,,5,,,
SimpleGumtree,33,8,9,20,0,4,0,0,65,2,0,,0.3,,,,,,1,,,
SimpleGumtree,33,8,9,20,0,4,0,0,61,2,0,,0.3,,,,,,2,,,
SimpleGumtree,40,8,13,24,0,3,0,0,95,2,0,,0.3,,,,,,3,,,
SimpleGumtree,62,10,25,36,0,1,0,0,126,2,0,,0.3,,,,,,4,,,
SimpleGumtree,323,2,156,167,0,0,0,0,130,2,0,,0.3,,,,,,5,,,
SimpleGumtree,33,8,9,20,0,4,0,0,130,2,0,,0.5,,,,,,1,,,
SimpleGumtree,33,8,9,20,0,4,0,0,64,2,0,,0.5,,,,,,2,,,
SimpleGumtree,40,8,13,24,0,3,0,0,128,2,0,,0.5,,,,,,3,,,
SimpleGumtree,62,10,25,36,0,1,0,0,100,2,0,,0.5,,,,,,4,,,
SimpleGumtree,323,2,156,167,0,0,0,0,65,2,0,,0.5,,,,,,5,,,
SimpleGumtree,33,8,9,20,0,4,0,0,89,2,0,,0.7,,,,,,1,,,
SimpleGumtree,33,8,9,20,0,4,0,0,79,2,0,,0.7,,,,,,2,,,
SimpleGumtree,40,8,13,24,0,3,0,0,130,2,0,,0.7,,,,,,3,,,
SimpleGumtree,62,10,25,36,0,1,0,0,64,2,0,,0.7,,,,,,4,,,
SimpleGumtree,323,2,156,167,0,0,0,0,92,2,0,,0.7,,,,,,5,,,
SimpleGumtree,33,8,9,20,0,4,0,0,129,2,0,,0.899,,,,,,1,,,
SimpleGumtree,33,8,9,20,0,4,0,0,63,2,0,,0.899,,,,,,2,,,
SimpleGumtree,40,8,13,24,0,3,0,0,119,2,0,,0.899,,,,,,3,,,
SimpleGumtree,62,10,25,36,0,1,0,0,118,2,0,,0.899,,,,,,4,,,
SimpleGumtree,323,2,156,167,0,0,0,0,127,2,0,,0.899,,,,,,5,,,
ClassicGumtree,34,19,6,17,3,8,0,0,134,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,34,19,6,17,3,8,0,0,137,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,34,19,6,17,3,8,0,0,139,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,34,19,6,17,3,8,0,0,137,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,34,19,6,17,3,8,0,0,143,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,34,19,6,17,3,8,0,0,162,3,0,0.6,,100,,,,,1,,,
