MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,82,57,2,25,49,6,0,0,43,2,0,,0.1,,,,,,1,,,
SimpleGumtree,78,54,1,24,53,0,0,0,34,2,0,,0.1,,,,,,2,,,
SimpleGumtree,78,54,1,24,53,0,0,0,33,2,0,,0.1,,,,,,3,,,
SimpleGumtree,227,49,80,103,43,1,0,0,15,2,0,,0.1,,,,,,4,,,
SimpleGumtree,112,48,22,45,45,0,0,0,14,2,0,,0.1,,,,,,5,,,
SimpleGumtree,82,57,2,25,49,6,0,0,57,2,0,,0.3,,,,,,1,,,
SimpleGumtree,78,54,1,24,53,0,0,0,34,2,0,,0.3,,,,,,2,,,
SimpleGumtree,78,54,1,24,53,0,0,0,33,2,0,,0.3,,,,,,3,,,
SimpleGumtree,227,49,80,103,43,1,0,0,14,2,0,,0.3,,,,,,4,,,
SimpleGumtree,112,48,22,45,45,0,0,0,13,2,0,,0.3,,,,,,5,,,
SimpleGumtree,82,57,2,25,49,6,0,0,38,2,0,,0.5,,,,,,1,,,
SimpleGumtree,78,54,1,24,53,0,0,0,34,2,0,,0.5,,,,,,2,,,
SimpleGumtree,78,54,1,24,53,0,0,0,33,2,0,,0.5,,,,,,3,,,
SimpleGumtree,227,49,80,103,43,1,0,0,39,2,0,,0.5,,,,,,4,,,
SimpleGumtree,112,48,22,45,45,0,0,0,30,2,0,,0.5,,,,,,5,,,
SimpleGumtree,82,57,2,25,49,6,0,0,39,2,0,,0.7,,,,,,1,,,
SimpleGumtree,78,54,1,24,53,0,0,0,34,2,0,,0.7,,,,,,2,,,
SimpleGumtree,78,54,1,24,53,0,0,0,23,2,0,,0.7,,,,,,3,,,
SimpleGumtree,227,49,80,103,43,1,0,0,30,2,0,,0.7,,,,,,4,,,
SimpleGumtree,112,48,22,45,45,0,0,0,14,2,0,,0.7,,,,,,5,,,
SimpleGumtree,82,57,2,25,49,6,0,0,59,2,0,,0.899,,,,,,1,,,
SimpleGumtree,78,54,1,24,53,0,0,0,34,2,0,,0.899,,,,,,2,,,
SimpleGumtree,78,54,1,24,53,0,0,0,33,2,0,,0.899,,,,,,3,,,
SimpleGumtree,227,49,80,103,43,1,0,0,14,2,0,,0.899,,,,,,4,,,
SimpleGumtree,112,48,22,45,45,0,0,0,13,2,0,,0.899,,,,,,5,,,
ClassicGumtree,103,76,11,34,50,8,0,0,415,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,103,76,11,34,50,8,0,0,822,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,103,76,11,34,50,8,0,0,785,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,103,76,11,34,50,8,0,0,759,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,103,76,11,34,50,8,0,0,765,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,115,75,18,41,46,10,0,0,866,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,288,98,100,123,24,41,0,0,397,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,324,101,108,131,22,63,0,0,328,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,513,160,176,199,13,125,0,0,128,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,638,235,191,214,11,222,0,0,113,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,359,103,147,170,41,1,0,0,659,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,359,103,147,170,41,1,0,0,686,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,359,103,147,170,41,1,0,0,783,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,489,99,215,238,31,5,0,0,478,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,531,83,232,255,23,21,0,0,462,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,684,94,305,328,19,32,0,0,125,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,772,95,348,371,13,40,0,0,74,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,834,93,378,401,13,42,0,0,67,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,993,140,421,444,9,119,0,0,95,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,1035,136,439,462,5,129,0,0,21,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,947,197,441,464,41,1,0,0,266,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,1100,190,522,545,31,2,0,0,184,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,1155,193,549,572,30,4,0,0,150,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,1255,160,595,618,28,14,0,0,219,3,0,0.4,,100,,,,,3,,,
