MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,19,3,18,0,0,1,0,0,35,2,0,,0.1,,,,,,1,,,
SimpleGumtree,19,3,18,0,0,1,0,0,25,2,0,,0.1,,,,,,2,,,
SimpleGumtree,19,3,18,0,0,1,0,0,35,2,0,,0.1,,,,,,3,,,
SimpleGumtree,19,3,18,0,0,1,0,0,23,2,0,,0.1,,,,,,4,,,
SimpleGumtree,132,4,75,57,0,0,0,0,34,2,0,,0.1,,,,,,5,,,
SimpleGumtree,19,3,18,0,0,1,0,0,26,2,0,,0.3,,,,,,1,,,
SimpleGumtree,19,3,18,0,0,1,0,0,24,2,0,,0.3,,,,,,2,,,
SimpleGumtree,19,3,18,0,0,1,0,0,24,2,0,,0.3,,,,,,3,,,
SimpleGumtree,19,3,18,0,0,1,0,0,26,2,0,,0.3,,,,,,4,,,
SimpleGumtree,132,4,75,57,0,0,0,0,19,2,0,,0.3,,,,,,5,,,
SimpleGumtree,19,3,18,0,0,1,0,0,19,2,0,,0.5,,,,,,1,,,
SimpleGumtree,19,3,18,0,0,1,0,0,23,2,0,,0.5,,,,,,2,,,
SimpleGumtree,19,3,18,0,0,1,0,0,21,2,0,,0.5,,,,,,3,,,
SimpleGumtree,19,3,18,0,0,1,0,0,20,2,0,,0.5,,,,,,4,,,
SimpleGumtree,132,4,75,57,0,0,0,0,21,2,0,,0.5,,,,,,5,,,
SimpleGumtree,19,3,18,0,0,1,0,0,19,2,0,,0.7,,,,,,1,,,
SimpleGumtree,19,3,18,0,0,1,0,0,19,2,0,,0.7,,,,,,2,,,
SimpleGumtree,19,3,18,0,0,1,0,0,19,2,0,,0.7,,,,,,3,,,
SimpleGumtree,19,3,18,0,0,1,0,0,19,2,0,,0.7,,,,,,4,,,
SimpleGumtree,132,4,75,57,0,0,0,0,19,2,0,,0.7,,,,,,5,,,
SimpleGumtree,19,3,18,0,0,1,0,0,20,2,0,,0.899,,,,,,1,,,
SimpleGumtree,19,3,18,0,0,1,0,0,19,2,0,,0.899,,,,,,2,,,
SimpleGumtree,19,3,18,0,0,1,0,0,19,2,0,,0.899,,,,,,3,,,
SimpleGumtree,19,3,18,0,0,1,0,0,20,2,0,,0.899,,,,,,4,,,
SimpleGumtree,132,4,75,57,0,0,0,0,21,2,0,,0.899,,,,,,5,,,
ClassicGumtree,23,7,20,2,0,1,0,0,34,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,39,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,40,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,40,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,39,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,39,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,42,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,41,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,34,17,21,3,0,10,0,0,25,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,167,129,29,11,0,127,0,0,14,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,66,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,42,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,64,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,64,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,63,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,63,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,63,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,23,7,20,2,0,1,0,0,65,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,34,17,21,3,0,10,0,0,50,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,167,129,29,11,0,127,0,0,15,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,708,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,405,3,0,0.2,,300,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,709,3,0,0.3,,300,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,708,3,0,0.4,,300,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,461,3,0,0.5,,300,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,555,3,0,0.6,,300,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,431,3,0,0.7,,300,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,626,3,0,0.799,,300,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,437,3,0,0.899,,300,,,,,1,,,
ClassicGumtree,167,129,29,11,0,127,0,0,16,3,0,0.999,,300,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,578,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,605,3,0,0.2,,400,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,427,3,0,0.3,,400,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,412,3,0,0.4,,400,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,413,3,0,0.5,,400,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,413,3,0,0.6,,400,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,412,3,0,0.7,,400,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,627,3,0,0.799,,400,,,,,1,,,
ClassicGumtree,21,5,19,1,0,1,0,0,704,3,0,0.899,,400,,,,,1,,,
ClassicGumtree,167,129,29,11,0,127,0,0,15,3,0,0.999,,400,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,1146,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,1142,3,0,0.2,,500,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,639,3,0,0.3,,500,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,639,3,0,0.4,,500,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,640,3,0,0.5,,500,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,639,3,0,0.6,,500,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,1064,3,0,0.7,,500,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,640,3,0,0.799,,500,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,1117,3,0,0.899,,500,,,,,1,,,
ClassicGumtree,167,129,29,11,0,127,0,0,14,3,0,0.999,,500,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,1132,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,647,3,0,0.2,,600,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,649,3,0,0.3,,600,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,648,3,0,0.4,,600,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,648,3,0,0.5,,600,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,648,3,0,0.6,,600,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,1133,3,0,0.7,,600,,,,,1,,,
ClassicGumtree,19,3,18,0,0,1,0,0,1133,3,0,0.799,,600,,,,,1,,,
