MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,34,3,1,32,0,1,0,0,4,2,0,,0.1,,,,,,1,,,
SimpleGumtree,34,3,1,32,0,1,0,0,4,2,0,,0.3,,,,,,1,,,
SimpleGumtree,34,3,1,32,0,1,0,0,4,2,0,,0.7,,,,,,1,,,
SimpleGumtree,34,3,1,32,0,1,0,0,4,2,0,,0.899,,,,,,1,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.1,,,,,,2,,,
SimpleGumtree,37,2,3,34,0,0,0,0,4,2,0,,0.3,,,,,,2,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.5,,,,,,2,,,
SimpleGumtree,37,2,3,34,0,0,0,0,4,2,0,,0.7,,,,,,2,,,
SimpleGumtree,37,2,3,34,0,0,0,0,5,2,0,,0.899,,,,,,2,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.1,,,,,,3,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.3,,,,,,3,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.5,,,,,,3,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.7,,,,,,3,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.899,,,,,,3,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.1,,,,,,4,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.3,,,,,,4,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.5,,,,,,4,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.7,,,,,,4,,,
SimpleGumtree,37,2,3,34,0,0,0,0,4,2,0,,0.899,,,,,,4,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.1,,,,,,5,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.3,,,,,,5,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.5,,,,,,5,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.7,,,,,,5,,,
SimpleGumtree,37,2,3,34,0,0,0,0,3,2,0,,0.899,,,,,,5,,,
ClassicGumtree,36,5,2,33,0,1,0,0,4,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,121,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,120,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,128,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,123,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,84,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,120,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,106,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,82,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,120,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,105,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,5548,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,5567,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,5541,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,5541,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,5537,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,5539,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,5536,3,0,0.1,,1800,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,5539,3,0,0.1,,1900,,,,,1,,,
ClassicGumtree,34,3,1,32,0,1,0,0,5545,3,0,0.1,,2000,,,,,1,,,
ClassicGumtree,51,10,10,41,0,0,0,0,2,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,45,6,7,38,0,0,0,0,82,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,45,6,7,38,0,0,0,0,80,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,45,6,7,38,0,0,0,0,81,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,45,6,7,38,0,0,0,0,80,3,0,0.1,,500,,,,,2,,,
ClassicGumtree,45,6,7,38,0,0,0,0,82,3,0,0.1,,600,,,,,2,,,
ClassicGumtree,45,6,7,38,0,0,0,0,81,3,0,0.1,,700,,,,,2,,,
ClassicGumtree,45,6,7,38,0,0,0,0,81,3,0,0.1,,800,,,,,2,,,
ClassicGumtree,45,6,7,38,0,0,0,0,79,3,0,0.1,,900,,,,,2,,,
ClassicGumtree,45,6,7,38,0,0,0,0,79,3,0,0.1,,1000,,,,,2,,,
ClassicGumtree,45,6,7,38,0,0,0,0,80,3,0,0.1,,1100,,,,,2,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5519,3,0,0.1,,1200,,,,,2,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5518,3,0,0.1,,1300,,,,,2,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5509,3,0,0.1,,1400,,,,,2,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5524,3,0,0.1,,1500,,,,,2,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5508,3,0,0.1,,1600,,,,,2,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5506,3,0,0.1,,1700,,,,,2,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5506,3,0,0.1,,1800,,,,,2,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5529,3,0,0.1,,1900,,,,,2,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5515,3,0,0.1,,2000,,,,,2,,,
ClassicGumtree,263,40,116,147,0,0,0,0,2,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,245,34,107,138,0,0,0,0,79,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,245,34,107,138,0,0,0,0,79,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,245,34,107,138,0,0,0,0,79,3,0,0.1,,400,,,,,3,,,
ClassicGumtree,245,34,107,138,0,0,0,0,79,3,0,0.1,,500,,,,,3,,,
ClassicGumtree,245,34,107,138,0,0,0,0,79,3,0,0.1,,600,,,,,3,,,
ClassicGumtree,245,34,107,138,0,0,0,0,79,3,0,0.1,,700,,,,,3,,,
ClassicGumtree,245,34,107,138,0,0,0,0,79,3,0,0.1,,800,,,,,3,,,
ClassicGumtree,245,34,107,138,0,0,0,0,79,3,0,0.1,,900,,,,,3,,,
ClassicGumtree,245,34,107,138,0,0,0,0,80,3,0,0.1,,1000,,,,,3,,,
ClassicGumtree,245,34,107,138,0,0,0,0,79,3,0,0.1,,1100,,,,,3,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5515,3,0,0.1,,1200,,,,,3,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5512,3,0,0.1,,1300,,,,,3,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5515,3,0,0.1,,1400,,,,,3,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5517,3,0,0.1,,1500,,,,,3,,,
ClassicGumtree,37,2,3,34,0,0,0,0,5509,3,0,0.1,,1600,,,,,3,,,
