MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,7,3,7,0,0,0,0,0,2,2,0,,0.1,,,,,,1,,,
SimpleGumtree,7,3,7,0,0,0,0,0,2,2,0,,0.3,,,,,,1,,,
SimpleGumtree,7,3,7,0,0,0,0,0,2,2,0,,0.5,,,,,,1,,,
SimpleGumtree,7,3,7,0,0,0,0,0,2,2,0,,0.7,,,,,,1,,,
SimpleGumtree,7,3,7,0,0,0,0,0,1,2,0,,0.899,,,,,,1,,,
SimpleGumtree,97,6,51,44,0,2,0,0,1,2,0,,0.1,,,,,,2,,,
SimpleGumtree,97,6,51,44,0,2,0,0,1,2,0,,0.3,,,,,,2,,,
SimpleGumtree,97,6,51,44,0,2,0,0,1,2,0,,0.5,,,,,,2,,,
SimpleGumtree,97,6,51,44,0,2,0,0,1,2,0,,0.7,,,,,,2,,,
SimpleGumtree,97,6,51,44,0,2,0,0,1,2,0,,0.899,,,,,,2,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.1,,,,,,3,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.3,,,,,,3,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.5,,,,,,3,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.7,,,,,,3,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.899,,,,,,3,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.1,,,,,,4,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.3,,,,,,4,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.5,,,,,,4,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.7,,,,,,4,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.899,,,,,,4,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.1,,,,,,5,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.3,,,,,,5,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.5,,,,,,5,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.7,,,,,,5,,,
SimpleGumtree,147,5,77,70,0,0,0,0,1,2,0,,0.899,,,,,,5,,,
ClassicGumtree,7,3,7,0,0,0,0,0,8,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,15,7,11,4,0,0,0,0,8,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,181,13,94,87,0,0,0,0,4,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,225,17,116,109,0,0,0,0,6,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,365,25,186,179,0,0,0,0,6,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,7,3,7,0,0,0,0,0,14,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,105,10,55,48,0,2,0,0,8,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,181,13,94,87,0,0,0,0,7,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,225,17,116,109,0,0,0,0,6,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,365,25,186,179,0,0,0,0,4,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,7,3,7,0,0,0,0,0,8,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,105,10,55,48,0,2,0,0,4,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,181,13,94,87,0,0,0,0,6,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,225,17,116,109,0,0,0,0,6,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,365,25,186,179,0,0,0,0,6,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,7,3,7,0,0,0,0,0,13,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,105,10,55,48,0,2,0,0,7,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,181,13,94,87,0,0,0,0,3,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,225,17,116,109,0,0,0,0,3,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,365,25,186,179,0,0,0,0,4,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,7,3,7,0,0,0,0,0,8,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,127,13,65,58,0,4,0,0,4,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,181,13,94,87,0,0,0,0,3,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,264,19,135,128,0,1,0,0,1,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,404,27,205,198,0,1,0,0,1,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,7,3,7,0,0,0,0,0,13,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,127,13,65,58,0,4,0,0,6,3,0,0.6,,100,,,,,2,,,
