MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,9,2,8,0,0,1,0,0,2,2,0,,0.1,,,,,,1,,,
SimpleGumtree,9,2,8,0,0,1,0,0,2,2,0,,0.3,,,,,,1,,,
SimpleGumtree,9,2,8,0,0,1,0,0,1,2,0,,0.5,,,,,,1,,,
SimpleGumtree,9,2,8,0,0,1,0,0,1,2,0,,0.7,,,,,,1,,,
SimpleGumtree,9,2,8,0,0,1,0,0,1,2,0,,0.899,,,,,,1,,,
SimpleGumtree,9,2,8,0,0,1,0,0,1,2,0,,0.1,,,,,,2,,,
SimpleGumtree,9,2,8,0,0,1,0,0,2,2,0,,0.3,,,,,,2,,,
SimpleGumtree,9,2,8,0,0,1,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,9,2,8,0,0,1,0,0,2,2,0,,0.7,,,,,,2,,,
SimpleGumtree,9,2,8,0,0,1,0,0,2,2,0,,0.899,,,,,,2,,,
SimpleGumtree,9,2,8,0,0,1,0,0,2,2,0,,0.1,,,,,,3,,,
SimpleGumtree,9,2,8,0,0,1,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,9,2,8,0,0,1,0,0,2,2,0,,0.5,,,,,,3,,,
SimpleGumtree,9,2,8,0,0,1,0,0,2,2,0,,0.7,,,,,,3,,,
SimpleGumtree,9,2,8,0,0,1,0,0,2,2,0,,0.899,,,,,,3,,,
SimpleGumtree,56,2,32,24,0,0,0,0,2,2,0,,0.1,,,,,,4,,,
SimpleGumtree,56,2,32,24,0,0,0,0,1,2,0,,0.3,,,,,,4,,,
SimpleGumtree,56,2,32,24,0,0,0,0,1,2,0,,0.5,,,,,,4,,,
SimpleGumtree,56,2,32,24,0,0,0,0,1,2,0,,0.7,,,,,,4,,,
SimpleGumtree,56,2,32,24,0,0,0,0,1,2,0,,0.899,,,,,,4,,,
SimpleGumtree,56,2,32,24,0,0,0,0,1,2,0,,0.1,,,,,,5,,,
SimpleGumtree,56,2,32,24,0,0,0,0,1,2,0,,0.3,,,,,,5,,,
SimpleGumtree,56,2,32,24,0,0,0,0,1,2,0,,0.5,,,,,,5,,,
SimpleGumtree,56,2,32,24,0,0,0,0,1,2,0,,0.7,,,,,,5,,,
SimpleGumtree,56,2,32,24,0,0,0,0,1,2,0,,0.899,,,,,,5,,,
ClassicGumtree,13,6,10,2,0,1,0,0,5,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,13,6,10,2,0,1,0,0,5,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,13,6,10,2,0,1,0,0,123,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,349,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,325,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,352,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1296,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1331,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1354,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1355,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1290,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1289,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1302,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1291,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1290,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1290,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1291,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1292,3,0,0.1,,1800,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1292,3,0,0.1,,1900,,,,,1,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1291,3,0,0.1,,2000,,,,,1,,,
ClassicGumtree,43,20,25,17,0,1,0,0,5,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,43,20,25,17,0,1,0,0,4,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,43,20,25,17,0,1,0,0,131,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,13,4,10,2,0,1,0,0,287,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,13,4,10,2,0,1,0,0,287,3,0,0.1,,500,,,,,2,,,
ClassicGumtree,13,4,10,2,0,1,0,0,287,3,0,0.1,,600,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1290,3,0,0.1,,700,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1290,3,0,0.1,,800,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1290,3,0,0.1,,900,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1291,3,0,0.1,,1000,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1289,3,0,0.1,,1100,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1290,3,0,0.1,,1200,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1296,3,0,0.1,,1300,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1297,3,0,0.1,,1400,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1296,3,0,0.1,,1500,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1295,3,0,0.1,,1600,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1297,3,0,0.1,,1700,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1296,3,0,0.1,,1800,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1296,3,0,0.1,,1900,,,,,2,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1299,3,0,0.1,,2000,,,,,2,,,
ClassicGumtree,155,38,81,73,0,1,0,0,5,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,155,38,81,73,0,1,0,0,4,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,103,28,55,47,0,1,0,0,132,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,65,10,36,28,0,1,0,0,292,3,0,0.1,,400,,,,,3,,,
ClassicGumtree,65,10,36,28,0,1,0,0,292,3,0,0.1,,500,,,,,3,,,
ClassicGumtree,65,10,36,28,0,1,0,0,286,3,0,0.1,,600,,,,,3,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1290,3,0,0.1,,700,,,,,3,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1290,3,0,0.1,,800,,,,,3,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1292,3,0,0.1,,900,,,,,3,,,
ClassicGumtree,9,2,8,0,0,1,0,0,1291,3,0,0.1,,1000,,,,,3,,,
