MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,18,4,15,2,0,1,0,0,8,2,0,,0.1,,,,,,1,,,
SimpleGumtree,18,4,15,2,0,1,0,0,9,2,0,,0.1,,,,,,2,,,
SimpleGumtree,31,3,22,9,0,0,0,0,8,2,0,,0.1,,,,,,3,,,
SimpleGumtree,31,3,22,9,0,0,0,0,8,2,0,,0.1,,,,,,4,,,
SimpleGumtree,31,3,22,9,0,0,0,0,9,2,0,,0.1,,,,,,5,,,
SimpleGumtree,18,4,15,2,0,1,0,0,8,2,0,,0.3,,,,,,1,,,
SimpleGumtree,18,4,15,2,0,1,0,0,8,2,0,,0.3,,,,,,2,,,
SimpleGumtree,31,3,22,9,0,0,0,0,17,2,0,,0.3,,,,,,3,,,
SimpleGumtree,31,3,22,9,0,0,0,0,8,2,0,,0.3,,,,,,4,,,
SimpleGumtree,31,3,22,9,0,0,0,0,8,2,0,,0.3,,,,,,5,,,
SimpleGumtree,18,4,15,2,0,1,0,0,9,2,0,,0.5,,,,,,1,,,
SimpleGumtree,18,4,15,2,0,1,0,0,9,2,0,,0.5,,,,,,2,,,
SimpleGumtree,31,3,22,9,0,0,0,0,8,2,0,,0.5,,,,,,3,,,
SimpleGumtree,31,3,22,9,0,0,0,0,9,2,0,,0.5,,,,,,4,,,
SimpleGumtree,31,3,22,9,0,0,0,0,9,2,0,,0.5,,,,,,5,,,
SimpleGumtree,18,4,15,2,0,1,0,0,8,2,0,,0.7,,,,,,1,,,
SimpleGumtree,18,4,15,2,0,1,0,0,8,2,0,,0.7,,,,,,2,,,
SimpleGumtree,31,3,22,9,0,0,0,0,8,2,0,,0.7,,,,,,3,,,
SimpleGumtree,31,3,22,9,0,0,0,0,17,2,0,,0.7,,,,,,4,,,
SimpleGumtree,31,3,22,9,0,0,0,0,8,2,0,,0.7,,,,,,5,,,
SimpleGumtree,18,4,15,2,0,1,0,0,20,2,0,,0.899,,,,,,1,,,
SimpleGumtree,18,4,15,2,0,1,0,0,8,2,0,,0.899,,,,,,2,,,
SimpleGumtree,31,3,22,9,0,0,0,0,20,2,0,,0.899,,,,,,3,,,
SimpleGumtree,31,3,22,9,0,0,0,0,20,2,0,,0.899,,,,,,4,,,
SimpleGumtree,31,3,22,9,0,0,0,0,8,2,0,,0.899,,,,,,5,,,
ClassicGumtree,20,6,16,3,0,1,0,0,7,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,60,24,36,23,0,1,0,0,7,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,197,51,105,92,0,0,0,0,7,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,239,57,126,113,0,0,0,0,23,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,509,67,261,248,0,0,0,0,7,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,99,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,75,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,103,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,124,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,109,3,0,0.1,,200,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,111,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,110,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,109,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,108,3,0,0.1,,300,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,109,3,0,0.1,,300,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,57,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,124,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,58,3,0,0.1,,400,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,107,3,0,0.1,,400,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,127,3,0,0.1,,400,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,126,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,124,3,0,0.1,,500,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,126,3,0,0.1,,500,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,126,3,0,0.1,,500,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,130,3,0,0.1,,500,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,125,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,58,3,0,0.1,,600,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,125,3,0,0.1,,600,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,60,3,0,0.1,,600,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,59,3,0,0.1,,600,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,127,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,126,3,0,0.1,,700,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,127,3,0,0.1,,700,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,119,3,0,0.1,,700,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,124,3,0,0.1,,700,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,148,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,112,3,0,0.1,,800,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,74,3,0,0.1,,800,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,58,3,0,0.1,,800,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,86,3,0,0.1,,800,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,62,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,71,3,0,0.1,,900,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,66,3,0,0.1,,900,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,64,3,0,0.1,,900,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,112,3,0,0.1,,900,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,60,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,67,3,0,0.1,,1000,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,60,3,0,0.1,,1000,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,59,3,0,0.1,,1000,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,62,3,0,0.1,,1000,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,97,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,59,3,0,0.1,,1100,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,79,3,0,0.1,,1100,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,59,3,0,0.1,,1100,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,67,3,0,0.1,,1100,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,87,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,66,3,0,0.1,,1200,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,91,3,0,0.1,,1200,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,112,3,0,0.1,,1200,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,108,3,0,0.1,,1200,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,62,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,60,3,0,0.1,,1300,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,67,3,0,0.1,,1300,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,62,3,0,0.1,,1300,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,67,3,0,0.1,,1300,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,114,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,94,3,0,0.1,,1400,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,90,3,0,0.1,,1400,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,92,3,0,0.1,,1400,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,60,3,0,0.1,,1400,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,80,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,66,3,0,0.1,,1500,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,64,3,0,0.1,,1500,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,67,3,0,0.1,,1500,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,76,3,0,0.1,,1500,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,60,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,21,7,16,3,0,2,0,0,91,3,0,0.1,,1600,,,,,2,,,
ClassicGumtree,137,33,74,61,0,2,0,0,80,3,0,0.1,,1600,,,,,3,,,
ClassicGumtree,179,39,95,82,0,2,0,0,78,3,0,0.1,,1600,,,,,4,,,
ClassicGumtree,437,47,224,211,0,2,0,0,75,3,0,0.1,,1600,,,,,5,,,
ClassicGumtree,17,5,14,1,0,2,0,0,15553,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,17,5,14,1,0,2,0,0,13979,3,0,0.1,,1700,,,,,2,,,
ClassicGumtree,17,5,14,1,0,2,0,0,21683,3,0,0.1,,1700,,,,,3,,,
ClassicGumtree,17,5,14,1,0,2,0,0,15702,3,0,0.1,,1700,,,,,4,,,
ClassicGumtree,17,5,14,1,0,2,0,0,22213,3,0,0.1,,1700,,,,,5,,,
