MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,123,18,66,57,0,0,0,0,4,2,0,,0.1,,,,,,1,,,
SimpleGumtree,213,18,111,102,0,0,0,0,3,2,0,,0.1,,,,,,2,,,
SimpleGumtree,400,9,203,194,0,3,0,0,2,2,0,,0.1,,,,,,3,,,
SimpleGumtree,295,18,145,136,14,0,0,0,2,2,0,,0.1,,,,,,4,,,
SimpleGumtree,123,18,66,57,0,0,0,0,3,2,0,,0.3,,,,,,1,,,
SimpleGumtree,213,18,111,102,0,0,0,0,3,2,0,,0.3,,,,,,2,,,
SimpleGumtree,400,9,203,194,0,3,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,295,18,145,136,14,0,0,0,2,2,0,,0.3,,,,,,4,,,
SimpleGumtree,1127,4,567,558,0,2,0,0,3,2,0,,0.3,,,,,,5,,,
SimpleGumtree,123,18,66,57,0,0,0,0,2,2,0,,0.5,,,,,,1,,,
SimpleGumtree,213,18,111,102,0,0,0,0,1,2,0,,0.5,,,,,,2,,,
SimpleGumtree,400,9,203,194,0,3,0,0,3,2,0,,0.5,,,,,,3,,,
SimpleGumtree,295,18,145,136,14,0,0,0,3,2,0,,0.5,,,,,,4,,,
SimpleGumtree,1127,4,567,558,0,2,0,0,3,2,0,,0.5,,,,,,5,,,
SimpleGumtree,123,18,66,57,0,0,0,0,3,2,0,,0.7,,,,,,1,,,
SimpleGumtree,213,18,111,102,0,0,0,0,2,2,0,,0.7,,,,,,2,,,
SimpleGumtree,400,9,203,194,0,3,0,0,2,2,0,,0.7,,,,,,3,,,
SimpleGumtree,295,18,145,136,14,0,0,0,3,2,0,,0.7,,,,,,4,,,
SimpleGumtree,1127,4,567,558,0,2,0,0,2,2,0,,0.7,,,,,,5,,,
SimpleGumtree,123,18,66,57,0,0,0,0,3,2,0,,0.899,,,,,,1,,,
SimpleGumtree,213,18,111,102,0,0,0,0,2,2,0,,0.899,,,,,,2,,,
SimpleGumtree,400,9,203,194,0,3,0,0,2,2,0,,0.899,,,,,,3,,,
SimpleGumtree,295,18,145,136,14,0,0,0,3,2,0,,0.899,,,,,,4,,,
SimpleGumtree,1127,4,567,558,0,2,0,0,2,2,0,,0.899,,,,,,5,,,
ClassicGumtree,9,9,9,0,0,0,0,0,62,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,9,9,9,0,0,0,0,0,62,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,9,9,9,0,0,0,0,0,34,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,9,9,9,0,0,0,0,0,54,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,9,9,9,0,0,0,0,0,42,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,146,30,66,57,0,23,0,0,29,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,212,41,93,84,0,35,0,0,3,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,212,41,93,84,0,35,0,0,3,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,226,49,94,85,0,47,0,0,3,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,226,49,94,85,0,47,0,0,2,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,17,13,13,4,0,0,0,0,42,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,17,13,13,4,0,0,0,0,79,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,333,22,165,156,0,12,0,0,3,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,333,22,165,156,0,12,0,0,3,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,333,22,165,156,0,12,0,0,3,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,333,22,165,156,0,12,0,0,3,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,333,22,165,156,0,12,0,0,2,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,345,24,166,157,0,22,0,0,2,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,345,24,166,157,0,22,0,0,3,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,345,24,166,157,0,22,0,0,3,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,416,15,211,202,0,3,0,0,2,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,416,15,211,202,0,3,0,0,2,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,416,15,211,202,0,3,0,0,3,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,416,15,211,202,0,3,0,0,3,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,416,15,211,202,0,3,0,0,2,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,416,15,211,202,0,3,0,0,2,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,427,14,212,203,0,12,0,0,3,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,427,14,212,203,0,12,0,0,3,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,427,14,212,203,0,12,0,0,2,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,427,14,212,203,0,12,0,0,2,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,509,16,259,250,0,0,0,0,2,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,509,16,259,250,0,0,0,0,2,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,509,16,259,250,0,0,0,0,2,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,509,16,259,250,0,0,0,0,2,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,509,16,259,250,0,0,0,0,3,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,518,9,260,251,0,7,0,0,3,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,518,9,260,251,0,7,0,0,3,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,518,9,260,251,0,7,0,0,2,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,518,9,260,251,0,7,0,0,2,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,518,9,260,251,0,7,0,0,3,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,1123,26,566,557,0,0,0,0,3,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,1127,4,567,558,0,2,0,0,3,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,1127,4,567,558,0,2,0,0,1,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,1127,4,567,558,0,2,0,0,2,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,1127,4,567,558,0,2,0,0,3,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,1127,4,567,558,0,2,0,0,3,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,1127,4,567,558,0,2,0,0,3,3,0,0.7,,100,,,,,5,,,
ClassicGumtree,1127,4,567,558,0,2,0,0,2,3,0,0.799,,100,,,,,5,,,
ClassicGumtree,1127,4,567,558,0,2,0,0,1,3,0,0.899,,100,,,,,5,,,
ClassicGumtree,1127,4,567,558,0,2,0,0,3,3,0,0.999,,100,,,,,5,,,
ClassicGumtree,9,9,9,0,0,0,0,0,88,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,9,9,9,0,0,0,0,0,88,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,9,9,9,0,0,0,0,0,34,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,9,9,9,0,0,0,0,0,42,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,9,9,9,0,0,0,0,0,79,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,146,30,66,57,0,23,0,0,16,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,212,41,93,84,0,35,0,0,2,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,212,41,93,84,0,35,0,0,2,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,226,49,94,85,0,47,0,0,2,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,226,49,94,85,0,47,0,0,2,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,17,13,13,4,0,0,0,0,41,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,17,13,13,4,0,0,0,0,41,3,0,0.2,,200,,,,,2,,,
ClassicGumtree,333,22,165,156,0,12,0,0,2,3,0,0.3,,200,,,,,2,,,
ClassicGumtree,333,22,165,156,0,12,0,0,2,3,0,0.4,,200,,,,,2,,,
ClassicGumtree,333,22,165,156,0,12,0,0,1,3,0,0.5,,200,,,,,2,,,
ClassicGumtree,333,22,165,156,0,12,0,0,1,3,0,0.6,,200,,,,,2,,,
ClassicGumtree,333,22,165,156,0,12,0,0,2,3,0,0.7,,200,,,,,2,,,
