MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,67,16,49,8,3,7,0,0,3,2,0,,0.1,,,,,,1,,,
SimpleGumtree,67,16,49,8,3,7,0,0,2,2,0,,0.3,,,,,,1,,,
SimpleGumtree,67,16,49,8,3,7,0,0,2,2,0,,0.5,,,,,,1,,,
SimpleGumtree,67,16,49,8,3,7,0,0,2,2,0,,0.7,,,,,,1,,,
SimpleGumtree,67,16,49,8,3,7,0,0,2,2,0,,0.899,,,,,,1,,,
SimpleGumtree,69,11,53,12,2,2,0,0,2,2,0,,0.1,,,,,,2,,,
SimpleGumtree,69,11,53,12,2,2,0,0,2,2,0,,0.3,,,,,,2,,,
SimpleGumtree,69,11,53,12,2,2,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,69,11,53,12,2,2,0,0,2,2,0,,0.7,,,,,,2,,,
SimpleGumtree,69,11,53,12,2,2,0,0,2,2,0,,0.899,,,,,,2,,,
SimpleGumtree,83,13,61,20,2,0,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,83,13,61,20,2,0,0,0,2,2,0,,0.5,,,,,,3,,,
SimpleGumtree,83,13,61,20,2,0,0,0,2,2,0,,0.7,,,,,,3,,,
SimpleGumtree,83,13,61,20,2,0,0,0,2,2,0,,0.899,,,,,,3,,,
SimpleGumtree,284,7,162,121,0,1,0,0,2,2,0,,0.1,,,,,,4,,,
SimpleGumtree,284,7,162,121,0,1,0,0,2,2,0,,0.3,,,,,,4,,,
SimpleGumtree,284,7,162,121,0,1,0,0,2,2,0,,0.5,,,,,,4,,,
SimpleGumtree,284,7,162,121,0,1,0,0,2,2,0,,0.7,,,,,,4,,,
SimpleGumtree,284,7,162,121,0,1,0,0,2,2,0,,0.899,,,,,,4,,,
SimpleGumtree,302,7,171,130,0,1,0,0,2,2,0,,0.1,,,,,,5,,,
SimpleGumtree,302,7,171,130,0,1,0,0,2,2,0,,0.3,,,,,,5,,,
SimpleGumtree,302,7,171,130,0,1,0,0,3,2,0,,0.5,,,,,,5,,,
SimpleGumtree,302,7,171,130,0,1,0,0,2,2,0,,0.7,,,,,,5,,,
SimpleGumtree,302,7,171,130,0,1,0,0,2,2,0,,0.899,,,,,,5,,,
ClassicGumtree,63,21,45,4,4,10,0,0,23,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,63,21,45,4,4,10,0,0,23,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,63,21,45,4,4,10,0,0,23,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,102,20,65,24,2,11,0,0,38,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,102,20,65,24,2,11,0,0,23,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,97,17,64,23,1,9,0,0,38,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,128,24,74,33,0,21,0,0,9,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,128,24,74,33,0,21,0,0,9,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,153,40,78,37,0,38,0,0,2,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,153,40,78,37,0,38,0,0,2,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,61,19,44,3,4,10,0,0,91,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,61,19,44,3,4,10,0,0,141,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,61,19,44,3,4,10,0,0,91,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,61,19,44,3,4,10,0,0,90,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,61,19,44,3,4,10,0,0,90,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,56,16,43,2,3,8,0,0,90,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,128,24,74,33,0,21,0,0,9,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,128,24,74,33,0,21,0,0,9,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,153,40,78,37,0,38,0,0,3,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,153,40,78,37,0,38,0,0,3,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,61,19,44,3,4,10,0,0,183,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,61,19,44,3,4,10,0,0,156,3,0,0.2,,300,,,,,1,,,
ClassicGumtree,61,19,44,3,4,10,0,0,171,3,0,0.3,,300,,,,,1,,,
ClassicGumtree,61,19,44,3,4,10,0,0,140,3,0,0.4,,300,,,,,1,,,
ClassicGumtree,61,19,44,3,4,10,0,0,73,3,0,0.5,,300,,,,,1,,,
ClassicGumtree,56,16,43,2,3,8,0,0,105,3,0,0.6,,300,,,,,1,,,
ClassicGumtree,128,24,74,33,0,21,0,0,9,3,0,0.7,,300,,,,,1,,,
ClassicGumtree,128,24,74,33,0,21,0,0,8,3,0,0.799,,300,,,,,1,,,
ClassicGumtree,153,40,78,37,0,38,0,0,2,3,0,0.899,,300,,,,,1,,,
