MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,14,7,10,3,1,0,0,0,12,2,0,,0.1,,,,,,1,,,
SimpleGumtree,14,7,10,3,1,0,0,0,19,2,0,,0.1,,,,,,2,,,
SimpleGumtree,14,7,10,3,1,0,0,0,19,2,0,,0.1,,,,,,3,,,
SimpleGumtree,14,7,10,3,1,0,0,0,20,2,0,,0.1,,,,,,4,,,
SimpleGumtree,14,7,10,3,1,0,0,0,13,2,0,,0.1,,,,,,5,,,
SimpleGumtree,14,7,10,3,1,0,0,0,20,2,0,,0.3,,,,,,1,,,
SimpleGumtree,14,7,10,3,1,0,0,0,12,2,0,,0.3,,,,,,2,,,
SimpleGumtree,14,7,10,3,1,0,0,0,18,2,0,,0.3,,,,,,3,,,
SimpleGumtree,14,7,10,3,1,0,0,0,18,2,0,,0.3,,,,,,4,,,
SimpleGumtree,14,7,10,3,1,0,0,0,19,2,0,,0.3,,,,,,5,,,
SimpleGumtree,14,7,10,3,1,0,0,0,13,2,0,,0.5,,,,,,1,,,
SimpleGumtree,14,7,10,3,1,0,0,0,12,2,0,,0.5,,,,,,2,,,
SimpleGumtree,14,7,10,3,1,0,0,0,12,2,0,,0.5,,,,,,3,,,
SimpleGumtree,14,7,10,3,1,0,0,0,18,2,0,,0.5,,,,,,4,,,
SimpleGumtree,14,7,10,3,1,0,0,0,18,2,0,,0.5,,,,,,5,,,
SimpleGumtree,14,7,10,3,1,0,0,0,19,2,0,,0.7,,,,,,1,,,
SimpleGumtree,14,7,10,3,1,0,0,0,18,2,0,,0.7,,,,,,2,,,
SimpleGumtree,14,7,10,3,1,0,0,0,18,2,0,,0.7,,,,,,3,,,
SimpleGumtree,14,7,10,3,1,0,0,0,18,2,0,,0.7,,,,,,4,,,
SimpleGumtree,14,7,10,3,1,0,0,0,18,2,0,,0.7,,,,,,5,,,
SimpleGumtree,14,7,10,3,1,0,0,0,11,2,0,,0.899,,,,,,1,,,
SimpleGumtree,14,7,10,3,1,0,0,0,12,2,0,,0.899,,,,,,2,,,
SimpleGumtree,14,7,10,3,1,0,0,0,11,2,0,,0.899,,,,,,3,,,
SimpleGumtree,14,7,10,3,1,0,0,0,11,2,0,,0.899,,,,,,4,,,
SimpleGumtree,14,7,10,3,1,0,0,0,11,2,0,,0.899,,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,80,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,44,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,628,122,316,309,2,1,0,0,76,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,892,140,448,441,2,1,0,0,45,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,16,10,10,3,2,1,0,0,78,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,77,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,628,122,316,309,2,1,0,0,77,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,892,140,448,441,2,1,0,0,77,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,1062,148,533,526,2,1,0,0,77,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,42,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,41,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,628,122,316,309,2,1,0,0,38,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,892,140,448,441,2,1,0,0,57,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,1062,148,533,526,2,1,0,0,77,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,76,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,77,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,628,122,316,309,2,1,0,0,77,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,892,140,448,441,2,1,0,0,77,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,1062,148,533,526,2,1,0,0,77,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,35,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,42,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,628,122,316,309,2,1,0,0,43,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,892,140,448,441,2,1,0,0,35,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,1062,148,533,526,2,1,0,0,42,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,40,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,40,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,628,122,316,309,2,1,0,0,33,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,892,140,448,441,2,1,0,0,73,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,1062,148,533,526,2,1,0,0,73,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,47,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,73,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,628,122,316,309,2,1,0,0,72,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,892,140,448,441,2,1,0,0,45,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,1062,148,533,526,2,1,0,0,40,3,0,0.7,,100,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,40,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,40,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,674,117,338,331,0,5,0,0,8,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,947,114,473,466,0,8,0,0,8,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,1118,115,559,552,0,7,0,0,10,3,0,0.799,,100,,,,,5,,,
ClassicGumtree,50,13,24,17,0,9,0,0,8,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,89,28,44,37,0,8,0,0,10,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,688,101,342,335,0,11,0,0,9,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,995,54,475,468,0,52,0,0,9,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,1161,50,560,553,0,48,0,0,10,3,0,0.899,,100,,,,,5,,,
ClassicGumtree,170,121,29,22,0,119,0,0,9,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,201,112,49,42,0,110,0,0,10,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,740,63,343,336,0,61,0,0,10,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,995,54,475,468,0,52,0,0,10,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,1161,50,560,553,0,48,0,0,9,3,0,0.999,,100,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,108,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,108,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,610,118,307,300,2,1,0,0,108,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,862,134,433,426,2,1,0,0,107,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,1006,140,505,498,2,1,0,0,128,3,0,0.1,,200,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,200,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,88,3,0,0.2,,200,,,,,2,,,
ClassicGumtree,610,118,307,300,2,1,0,0,126,3,0,0.2,,200,,,,,3,,,
ClassicGumtree,862,134,433,426,2,1,0,0,200,3,0,0.2,,200,,,,,4,,,
ClassicGumtree,1006,140,505,498,2,1,0,0,107,3,0,0.2,,200,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,88,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,106,3,0,0.3,,200,,,,,2,,,
ClassicGumtree,610,118,307,300,2,1,0,0,107,3,0,0.3,,200,,,,,3,,,
ClassicGumtree,862,134,433,426,2,1,0,0,107,3,0,0.3,,200,,,,,4,,,
ClassicGumtree,1006,140,505,498,2,1,0,0,107,3,0,0.3,,200,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,107,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,107,3,0,0.4,,200,,,,,2,,,
ClassicGumtree,610,118,307,300,2,1,0,0,107,3,0,0.4,,200,,,,,3,,,
ClassicGumtree,862,134,433,426,2,1,0,0,88,3,0,0.4,,200,,,,,4,,,
ClassicGumtree,1006,140,505,498,2,1,0,0,179,3,0,0.4,,200,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,177,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,108,3,0,0.5,,200,,,,,2,,,
ClassicGumtree,610,118,307,300,2,1,0,0,107,3,0,0.5,,200,,,,,3,,,
ClassicGumtree,862,134,433,426,2,1,0,0,107,3,0,0.5,,200,,,,,4,,,
ClassicGumtree,1006,140,505,498,2,1,0,0,108,3,0,0.5,,200,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,104,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,105,3,0,0.6,,200,,,,,2,,,
ClassicGumtree,610,118,307,300,2,1,0,0,97,3,0,0.6,,200,,,,,3,,,
ClassicGumtree,862,134,433,426,2,1,0,0,85,3,0,0.6,,200,,,,,4,,,
ClassicGumtree,1006,140,505,498,2,1,0,0,105,3,0,0.6,,200,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,104,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,104,3,0,0.7,,200,,,,,2,,,
ClassicGumtree,610,118,307,300,2,1,0,0,104,3,0,0.7,,200,,,,,3,,,
ClassicGumtree,862,134,433,426,2,1,0,0,104,3,0,0.7,,200,,,,,4,,,
ClassicGumtree,1006,140,505,498,2,1,0,0,87,3,0,0.7,,200,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,104,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,52,26,28,21,2,1,0,0,85,3,0,0.799,,200,,,,,2,,,
ClassicGumtree,674,117,338,331,0,5,0,0,10,3,0,0.799,,200,,,,,3,,,
ClassicGumtree,947,114,473,466,0,8,0,0,9,3,0,0.799,,200,,,,,4,,,
ClassicGumtree,1118,115,559,552,0,7,0,0,10,3,0,0.799,,200,,,,,5,,,
ClassicGumtree,50,13,24,17,0,9,0,0,9,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,89,28,44,37,0,8,0,0,10,3,0,0.899,,200,,,,,2,,,
ClassicGumtree,688,101,342,335,0,11,0,0,9,3,0,0.899,,200,,,,,3,,,
ClassicGumtree,995,54,475,468,0,52,0,0,10,3,0,0.899,,200,,,,,4,,,
ClassicGumtree,1161,50,560,553,0,48,0,0,10,3,0,0.899,,200,,,,,5,,,
ClassicGumtree,170,121,29,22,0,119,0,0,9,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,201,112,49,42,0,110,0,0,10,3,0,0.999,,200,,,,,2,,,
ClassicGumtree,740,63,343,336,0,61,0,0,8,3,0,0.999,,200,,,,,3,,,
ClassicGumtree,995,54,475,468,0,52,0,0,10,3,0,0.999,,200,,,,,4,,,
ClassicGumtree,1161,50,560,553,0,48,0,0,10,3,0,0.999,,200,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,457,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,38,20,21,14,2,1,0,0,467,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,576,108,290,283,2,1,0,0,467,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,816,122,410,403,2,1,0,0,467,3,0,0.1,,300,,,,,4,,,
ClassicGumtree,960,128,482,475,2,1,0,0,428,3,0,0.1,,300,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,428,3,0,0.2,,300,,,,,1,,,
ClassicGumtree,38,20,21,14,2,1,0,0,467,3,0,0.2,,300,,,,,2,,,
ClassicGumtree,576,108,290,283,2,1,0,0,466,3,0,0.2,,300,,,,,3,,,
ClassicGumtree,816,122,410,403,2,1,0,0,427,3,0,0.2,,300,,,,,4,,,
ClassicGumtree,960,128,482,475,2,1,0,0,466,3,0,0.2,,300,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,448,3,0,0.3,,300,,,,,1,,,
ClassicGumtree,38,20,21,14,2,1,0,0,448,3,0,0.3,,300,,,,,2,,,
ClassicGumtree,576,108,290,283,2,1,0,0,446,3,0,0.3,,300,,,,,3,,,
ClassicGumtree,816,122,410,403,2,1,0,0,460,3,0,0.3,,300,,,,,4,,,
ClassicGumtree,960,128,482,475,2,1,0,0,457,3,0,0.3,,300,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,459,3,0,0.4,,300,,,,,1,,,
ClassicGumtree,38,20,21,14,2,1,0,0,459,3,0,0.4,,300,,,,,2,,,
ClassicGumtree,576,108,290,283,2,1,0,0,459,3,0,0.4,,300,,,,,3,,,
ClassicGumtree,816,122,410,403,2,1,0,0,459,3,0,0.4,,300,,,,,4,,,
ClassicGumtree,960,128,482,475,2,1,0,0,460,3,0,0.4,,300,,,,,5,,,
ClassicGumtree,16,10,10,3,2,1,0,0,459,3,0,0.5,,300,,,,,1,,,
