MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,16,2,15,0,0,1,0,0,21,2,0,,0.1,,,,,,1,,,
SimpleGumtree,16,2,15,0,0,1,0,0,22,2,0,,0.3,,,,,,1,,,
SimpleGumtree,16,2,15,0,0,1,0,0,20,2,0,,0.5,,,,,,1,,,
SimpleGumtree,16,2,15,0,0,1,0,0,22,2,0,,0.7,,,,,,1,,,
SimpleGumtree,16,2,15,0,0,1,0,0,20,2,0,,0.899,,,,,,1,,,
SimpleGumtree,25,2,20,5,0,0,0,0,18,2,0,,0.1,,,,,,2,,,
SimpleGumtree,25,2,20,5,0,0,0,0,18,2,0,,0.3,,,,,,2,,,
SimpleGumtree,25,2,20,5,0,0,0,0,18,2,0,,0.5,,,,,,2,,,
SimpleGumtree,25,2,20,5,0,0,0,0,18,2,0,,0.7,,,,,,2,,,
SimpleGumtree,25,2,20,5,0,0,0,0,18,2,0,,0.899,,,,,,2,,,
SimpleGumtree,25,2,20,5,0,0,0,0,32,2,0,,0.1,,,,,,3,,,
SimpleGumtree,25,2,20,5,0,0,0,0,17,2,0,,0.3,,,,,,3,,,
SimpleGumtree,25,2,20,5,0,0,0,0,17,2,0,,0.5,,,,,,3,,,
SimpleGumtree,25,2,20,5,0,0,0,0,17,2,0,,0.7,,,,,,3,,,
SimpleGumtree,25,2,20,5,0,0,0,0,25,2,0,,0.899,,,,,,3,,,
SimpleGumtree,25,2,20,5,0,0,0,0,17,2,0,,0.1,,,,,,4,,,
SimpleGumtree,25,2,20,5,0,0,0,0,17,2,0,,0.3,,,,,,4,,,
SimpleGumtree,25,2,20,5,0,0,0,0,17,2,0,,0.5,,,,,,4,,,
SimpleGumtree,25,2,20,5,0,0,0,0,17,2,0,,0.7,,,,,,4,,,
SimpleGumtree,25,2,20,5,0,0,0,0,16,2,0,,0.899,,,,,,4,,,
SimpleGumtree,300,3,157,142,0,1,0,0,14,2,0,,0.1,,,,,,5,,,
SimpleGumtree,300,3,157,142,0,1,0,0,19,2,0,,0.3,,,,,,5,,,
SimpleGumtree,300,3,157,142,0,1,0,0,19,2,0,,0.5,,,,,,5,,,
SimpleGumtree,300,3,157,142,0,1,0,0,17,2,0,,0.7,,,,,,5,,,
SimpleGumtree,300,3,157,142,0,1,0,0,19,2,0,,0.899,,,,,,5,,,
ClassicGumtree,38,24,26,11,0,1,0,0,88,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,38,24,26,11,0,1,0,0,88,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,38,24,26,11,0,1,0,0,87,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,38,24,26,11,0,1,0,0,80,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,38,24,26,11,0,1,0,0,86,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,38,24,26,11,0,1,0,0,81,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,38,24,26,11,0,1,0,0,80,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,38,24,26,11,0,1,0,0,46,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,62,41,30,15,0,17,0,0,16,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,171,104,42,27,0,102,0,0,20,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,188,84,101,86,0,1,0,0,85,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,188,84,101,86,0,1,0,0,84,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,188,84,101,86,0,1,0,0,43,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,188,84,101,86,0,1,0,0,77,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,188,84,101,86,0,1,0,0,73,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,188,84,101,86,0,1,0,0,76,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,271,78,135,120,0,16,0,0,16,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,271,78,135,120,0,16,0,0,16,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,311,50,141,126,0,44,0,0,17,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,333,66,142,127,0,64,0,0,18,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,518,140,266,251,0,1,0,0,43,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,518,140,266,251,0,1,0,0,80,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,518,140,266,251,0,1,0,0,81,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,518,140,266,251,0,1,0,0,81,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,641,114,325,310,0,6,0,0,15,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,641,114,325,310,0,6,0,0,16,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,641,114,325,310,0,6,0,0,15,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,657,88,330,315,0,12,0,0,18,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,680,33,332,317,0,31,0,0,17,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,680,33,332,317,0,31,0,0,18,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,634,154,324,309,0,1,0,0,43,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,797,122,405,390,0,2,0,0,16,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,797,122,405,390,0,2,0,0,15,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,797,122,405,390,0,2,0,0,15,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,797,122,405,390,0,2,0,0,15,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,797,122,405,390,0,2,0,0,15,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,801,106,406,391,0,4,0,0,15,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,830,23,412,397,0,21,0,0,11,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,830,23,412,397,0,21,0,0,18,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,830,23,412,397,0,21,0,0,17,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,708,162,361,346,0,1,0,0,44,3,0,0.1,,100,,,,,5,,,
