MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,40,4,39,0,0,1,0,0,172,2,0,,0.1,,,,,,1,,,
SimpleGumtree,40,4,39,0,0,1,0,0,179,2,0,,0.1,,,,,,2,,,
SimpleGumtree,57,4,48,9,0,0,0,0,167,2,0,,0.1,,,,,,3,,,
SimpleGumtree,57,4,48,9,0,0,0,0,217,2,0,,0.1,,,,,,4,,,
SimpleGumtree,57,4,48,9,0,0,0,0,217,2,0,,0.1,,,,,,5,,,
SimpleGumtree,40,4,39,0,0,1,0,0,187,2,0,,0.3,,,,,,1,,,
SimpleGumtree,40,4,39,0,0,1,0,0,234,2,0,,0.3,,,,,,2,,,
SimpleGumtree,57,4,48,9,0,0,0,0,219,2,0,,0.3,,,,,,3,,,
SimpleGumtree,57,4,48,9,0,0,0,0,161,2,0,,0.3,,,,,,4,,,
SimpleGumtree,57,4,48,9,0,0,0,0,189,2,0,,0.3,,,,,,5,,,
SimpleGumtree,40,4,39,0,0,1,0,0,170,2,0,,0.5,,,,,,1,,,
SimpleGumtree,40,4,39,0,0,1,0,0,168,2,0,,0.5,,,,,,2,,,
SimpleGumtree,57,4,48,9,0,0,0,0,160,2,0,,0.5,,,,,,3,,,
SimpleGumtree,57,4,48,9,0,0,0,0,154,2,0,,0.5,,,,,,4,,,
SimpleGumtree,57,4,48,9,0,0,0,0,131,2,0,,0.5,,,,,,5,,,
SimpleGumtree,40,4,39,0,0,1,0,0,170,2,0,,0.7,,,,,,1,,,
SimpleGumtree,40,4,39,0,0,1,0,0,167,2,0,,0.7,,,,,,2,,,
SimpleGumtree,57,4,48,9,0,0,0,0,199,2,0,,0.7,,,,,,3,,,
SimpleGumtree,57,4,48,9,0,0,0,0,198,2,0,,0.7,,,,,,4,,,
SimpleGumtree,57,4,48,9,0,0,0,0,147,2,0,,0.7,,,,,,5,,,
SimpleGumtree,40,4,39,0,0,1,0,0,141,2,0,,0.899,,,,,,1,,,
SimpleGumtree,40,4,39,0,0,1,0,0,155,2,0,,0.899,,,,,,2,,,
SimpleGumtree,57,4,48,9,0,0,0,0,146,2,0,,0.899,,,,,,3,,,
SimpleGumtree,57,4,48,9,0,0,0,0,144,2,0,,0.899,,,,,,4,,,
SimpleGumtree,57,4,48,9,0,0,0,0,141,2,0,,0.899,,,,,,5,,,
ClassicGumtree,42,6,40,1,0,1,0,0,162,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,42,6,40,1,0,1,0,0,158,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,42,6,40,1,0,1,0,0,176,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,42,6,40,1,0,1,0,0,205,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,42,6,40,1,0,1,0,0,161,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,42,6,40,1,0,1,0,0,209,3,0,0.6,,100,,,,,1,,,
