MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,40,29,11,22,0,7,0,0,1,2,0,,0.1,,,,,,1,,,
SimpleGumtree,33,22,11,22,0,0,0,0,1,2,0,,0.1,,,,,,2,,,
SimpleGumtree,209,22,99,110,0,0,0,0,2,2,0,,0.1,,,,,,3,,,
SimpleGumtree,389,6,188,199,0,2,0,0,2,2,0,,0.1,,,,,,4,,,
SimpleGumtree,40,29,11,22,0,7,0,0,2,2,0,,0.3,,,,,,1,,,
SimpleGumtree,33,22,11,22,0,0,0,0,2,2,0,,0.3,,,,,,2,,,
SimpleGumtree,209,22,99,110,0,0,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,389,6,188,199,0,2,0,0,2,2,0,,0.3,,,,,,4,,,
SimpleGumtree,406,5,197,208,0,1,0,0,2,2,0,,0.3,,,,,,5,,,
SimpleGumtree,40,29,11,22,0,7,0,0,2,2,0,,0.5,,,,,,1,,,
SimpleGumtree,33,22,11,22,0,0,0,0,3,2,0,,0.5,,,,,,2,,,
SimpleGumtree,209,22,99,110,0,0,0,0,1,2,0,,0.5,,,,,,3,,,
SimpleGumtree,389,6,188,199,0,2,0,0,2,2,0,,0.5,,,,,,4,,,
SimpleGumtree,406,5,197,208,0,1,0,0,3,2,0,,0.5,,,,,,5,,,
SimpleGumtree,40,29,11,22,0,7,0,0,3,2,0,,0.7,,,,,,1,,,
SimpleGumtree,33,22,11,22,0,0,0,0,3,2,0,,0.7,,,,,,2,,,
SimpleGumtree,209,22,99,110,0,0,0,0,3,2,0,,0.7,,,,,,3,,,
SimpleGumtree,389,6,188,199,0,2,0,0,2,2,0,,0.7,,,,,,4,,,
SimpleGumtree,406,5,197,208,0,1,0,0,2,2,0,,0.7,,,,,,5,,,
SimpleGumtree,40,29,11,22,0,7,0,0,2,2,0,,0.899,,,,,,1,,,
SimpleGumtree,33,22,11,22,0,0,0,0,1,2,0,,0.899,,,,,,2,,,
SimpleGumtree,209,22,99,110,0,0,0,0,2,2,0,,0.899,,,,,,3,,,
SimpleGumtree,389,6,188,199,0,2,0,0,2,2,0,,0.899,,,,,,4,,,
SimpleGumtree,406,5,197,208,0,1,0,0,1,2,0,,0.899,,,,,,5,,,
ClassicGumtree,31,31,1,12,0,18,0,0,52,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,31,31,1,12,0,18,0,0,52,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,31,31,1,12,0,18,0,0,52,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,31,31,1,12,0,18,0,0,52,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,31,31,1,12,0,18,0,0,50,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,31,31,1,12,0,18,0,0,48,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,122,41,38,49,0,35,0,0,2,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,129,44,39,50,0,40,0,0,2,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,154,65,40,51,0,63,0,0,3,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,44,32,11,22,0,11,0,0,50,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,44,32,11,22,0,11,0,0,50,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,44,32,11,22,0,11,0,0,49,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,44,32,11,22,0,11,0,0,50,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,44,32,11,22,0,11,0,0,47,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,44,32,11,22,0,11,0,0,39,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,189,30,77,88,0,24,0,0,2,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,189,30,77,88,0,24,0,0,2,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,213,48,78,89,0,46,0,0,2,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,213,48,78,89,0,46,0,0,2,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,108,44,43,54,0,11,0,0,47,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,108,44,43,54,0,11,0,0,39,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,247,38,114,125,0,8,0,0,22,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,367,20,175,186,0,6,0,0,2,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,367,20,175,186,0,6,0,0,2,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,387,26,176,187,0,24,0,0,3,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,387,26,176,187,0,24,0,0,3,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,387,26,176,187,0,24,0,0,3,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,387,26,176,187,0,24,0,0,2,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,567,47,275,286,0,6,0,0,18,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,725,40,356,367,0,2,0,0,2,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,733,10,357,368,0,8,0,0,2,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,733,10,357,368,0,8,0,0,3,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,733,10,357,368,0,8,0,0,3,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,733,10,357,368,0,8,0,0,3,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,733,10,357,368,0,8,0,0,2,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,733,10,357,368,0,8,0,0,2,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,733,10,357,368,0,8,0,0,2,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,678,52,331,342,0,5,0,0,19,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,836,45,412,423,0,1,0,0,3,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,841,6,413,424,0,4,0,0,3,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,841,6,413,424,0,4,0,0,2,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,841,6,413,424,0,4,0,0,2,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,841,6,413,424,0,4,0,0,2,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,841,6,413,424,0,4,0,0,2,3,0,0.7,,100,,,,,5,,,
ClassicGumtree,841,6,413,424,0,4,0,0,3,3,0,0.799,,100,,,,,5,,,
ClassicGumtree,841,6,413,424,0,4,0,0,3,3,0,0.899,,100,,,,,5,,,
ClassicGumtree,841,6,413,424,0,4,0,0,3,3,0,0.999,,100,,,,,5,,,
ClassicGumtree,29,29,0,11,0,18,0,0,63,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,29,29,0,11,0,18,0,0,46,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,29,29,0,11,0,18,0,0,78,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,29,29,0,11,0,18,0,0,78,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,29,29,0,11,0,18,0,0,77,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,29,29,0,11,0,18,0,0,75,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,29,29,0,11,0,18,0,0,54,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,73,34,18,29,0,26,0,0,17,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,129,44,39,50,0,40,0,0,3,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,154,65,40,51,0,63,0,0,3,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,26,24,2,13,0,11,0,0,76,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,26,24,2,13,0,11,0,0,75,3,0,0.2,,200,,,,,2,,,
ClassicGumtree,26,24,2,13,0,11,0,0,41,3,0,0.3,,200,,,,,2,,,
ClassicGumtree,26,24,2,13,0,11,0,0,34,3,0,0.4,,200,,,,,2,,,
ClassicGumtree,26,24,2,13,0,11,0,0,40,3,0,0.5,,200,,,,,2,,,
ClassicGumtree,26,24,2,13,0,11,0,0,36,3,0,0.6,,200,,,,,2,,,
ClassicGumtree,189,30,77,88,0,24,0,0,2,3,0,0.7,,200,,,,,2,,,
