MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,16,5,11,2,2,1,0,0,3,2,0,,0.1,,,,,,1,,,
SimpleGumtree,16,5,11,2,2,1,0,0,2,2,0,,0.1,,,,,,2,,,
SimpleGumtree,16,5,11,2,2,1,0,0,2,2,0,,0.1,,,,,,3,,,
SimpleGumtree,25,4,17,8,0,0,0,0,2,2,0,,0.1,,,,,,4,,,
SimpleGumtree,25,4,17,8,0,0,0,0,2,2,0,,0.1,,,,,,5,,,
SimpleGumtree,16,5,11,2,2,1,0,0,2,2,0,,0.3,,,,,,1,,,
SimpleGumtree,16,5,11,2,2,1,0,0,2,2,0,,0.3,,,,,,2,,,
SimpleGumtree,16,5,11,2,2,1,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,25,4,17,8,0,0,0,0,2,2,0,,0.3,,,,,,4,,,
SimpleGumtree,25,4,17,8,0,0,0,0,2,2,0,,0.3,,,,,,5,,,
SimpleGumtree,16,5,11,2,2,1,0,0,2,2,0,,0.5,,,,,,1,,,
SimpleGumtree,16,5,11,2,2,1,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,16,5,11,2,2,1,0,0,2,2,0,,0.5,,,,,,3,,,
SimpleGumtree,25,4,17,8,0,0,0,0,2,2,0,,0.5,,,,,,4,,,
SimpleGumtree,25,4,17,8,0,0,0,0,2,2,0,,0.5,,,,,,5,,,
SimpleGumtree,16,5,11,2,2,1,0,0,3,2,0,,0.7,,,,,,1,,,
SimpleGumtree,16,5,11,2,2,1,0,0,3,2,0,,0.7,,,,,,2,,,
SimpleGumtree,16,5,11,2,2,1,0,0,3,2,0,,0.7,,,,,,3,,,
SimpleGumtree,25,4,17,8,0,0,0,0,3,2,0,,0.7,,,,,,4,,,
SimpleGumtree,25,4,17,8,0,0,0,0,3,2,0,,0.7,,,,,,5,,,
SimpleGumtree,16,5,11,2,2,1,0,0,2,2,0,,0.899,,,,,,1,,,
SimpleGumtree,16,5,11,2,2,1,0,0,2,2,0,,0.899,,,,,,2,,,
SimpleGumtree,16,5,11,2,2,1,0,0,2,2,0,,0.899,,,,,,3,,,
SimpleGumtree,25,4,17,8,0,0,0,0,2,2,0,,0.899,,,,,,4,,,
SimpleGumtree,25,4,17,8,0,0,0,0,2,2,0,,0.899,,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,32,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,48,21,27,18,2,1,0,0,32,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,346,75,176,167,2,1,0,0,56,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,512,81,259,250,2,1,0,0,53,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,544,83,275,266,2,1,0,0,53,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,33,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,48,21,27,18,2,1,0,0,59,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,346,75,176,167,2,1,0,0,57,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,512,81,259,250,2,1,0,0,29,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,696,82,352,343,0,1,0,0,39,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,31,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,48,21,27,18,2,1,0,0,31,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,346,75,176,167,2,1,0,0,30,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,512,81,259,250,2,1,0,0,27,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,696,82,352,343,0,1,0,0,38,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,56,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,48,21,27,18,2,1,0,0,56,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,346,75,176,167,2,1,0,0,54,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,623,83,314,305,2,2,0,0,16,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,807,84,407,398,0,2,0,0,3,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,31,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,48,21,27,18,2,1,0,0,30,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,346,75,176,167,2,1,0,0,50,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,628,58,315,306,2,5,0,0,9,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,812,59,408,399,0,5,0,0,2,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,30,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,48,21,27,18,2,1,0,0,29,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,346,75,176,167,2,1,0,0,51,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,630,54,316,307,2,5,0,0,16,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,820,11,410,401,0,9,0,0,1,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,31,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,105,23,55,46,0,4,0,0,23,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,410,76,208,199,0,3,0,0,29,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,708,13,353,344,0,11,0,0,1,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,820,11,410,401,0,9,0,0,1,3,0,0.7,,100,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,31,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,105,23,55,46,0,4,0,0,21,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,481,22,236,227,0,18,0,0,2,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,708,13,353,344,0,11,0,0,3,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,820,11,410,401,0,9,0,0,2,3,0,0.799,,100,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,33,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,151,34,68,59,0,24,0,0,2,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,484,21,237,228,0,19,0,0,3,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,708,13,353,344,0,11,0,0,2,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,820,11,410,401,0,9,0,0,2,3,0,0.899,,100,,,,,5,,,
ClassicGumtree,111,68,27,18,0,66,0,0,4,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,181,52,70,61,0,50,0,0,2,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,484,21,237,228,0,19,0,0,2,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,708,13,353,344,0,11,0,0,2,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,820,11,410,401,0,9,0,0,2,3,0,0.999,,100,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,61,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,48,21,27,18,2,1,0,0,65,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,346,75,176,167,2,1,0,0,60,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,494,79,250,241,2,1,0,0,58,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,526,81,266,257,2,1,0,0,57,3,0,0.1,,200,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,61,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,48,21,27,18,2,1,0,0,61,3,0,0.2,,200,,,,,2,,,
ClassicGumtree,346,75,176,167,2,1,0,0,61,3,0,0.2,,200,,,,,3,,,
ClassicGumtree,494,79,250,241,2,1,0,0,57,3,0,0.2,,200,,,,,4,,,
ClassicGumtree,678,80,343,334,0,1,0,0,49,3,0,0.2,,200,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,60,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,48,21,27,18,2,1,0,0,60,3,0,0.3,,200,,,,,2,,,
ClassicGumtree,346,75,176,167,2,1,0,0,60,3,0,0.3,,200,,,,,3,,,
ClassicGumtree,494,79,250,241,2,1,0,0,57,3,0,0.3,,200,,,,,4,,,
ClassicGumtree,678,80,343,334,0,1,0,0,49,3,0,0.3,,200,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,60,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,48,21,27,18,2,1,0,0,61,3,0,0.4,,200,,,,,2,,,
ClassicGumtree,346,75,176,167,2,1,0,0,59,3,0,0.4,,200,,,,,3,,,
ClassicGumtree,494,79,250,241,2,1,0,0,36,3,0,0.4,,200,,,,,4,,,
ClassicGumtree,678,80,343,334,0,1,0,0,29,3,0,0.4,,200,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,60,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,48,21,27,18,2,1,0,0,61,3,0,0.5,,200,,,,,2,,,
ClassicGumtree,346,75,176,167,2,1,0,0,58,3,0,0.5,,200,,,,,3,,,
ClassicGumtree,494,79,250,241,2,1,0,0,36,3,0,0.5,,200,,,,,4,,,
ClassicGumtree,678,80,343,334,0,1,0,0,29,3,0,0.5,,200,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,61,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,48,21,27,18,2,1,0,0,61,3,0,0.6,,200,,,,,2,,,
ClassicGumtree,346,75,176,167,2,1,0,0,58,3,0,0.6,,200,,,,,3,,,
ClassicGumtree,630,54,316,307,2,5,0,0,10,3,0,0.6,,200,,,,,4,,,
ClassicGumtree,820,11,410,401,0,9,0,0,2,3,0,0.6,,200,,,,,5,,,
ClassicGumtree,20,9,13,4,2,1,0,0,60,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,105,23,55,46,0,4,0,0,52,3,0,0.7,,200,,,,,2,,,
ClassicGumtree,410,76,208,199,0,3,0,0,49,3,0,0.7,,200,,,,,3,,,
ClassicGumtree,708,13,353,344,0,11,0,0,2,3,0,0.7,,200,,,,,4,,,
