MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,16,8,5,9,0,2,0,0,1,2,0,,0.1,,,,,,1,,,
SimpleGumtree,16,8,5,9,0,2,0,0,1,2,0,,0.3,,,,,,1,,,
SimpleGumtree,16,8,5,9,0,2,0,0,1,2,0,,0.5,,,,,,1,,,
SimpleGumtree,16,8,5,9,0,2,0,0,1,2,0,,0.7,,,,,,1,,,
SimpleGumtree,16,8,5,9,0,2,0,0,1,2,0,,0.899,,,,,,1,,,
SimpleGumtree,16,8,5,9,0,2,0,0,1,2,0,,0.1,,,,,,2,,,
SimpleGumtree,16,8,5,9,0,2,0,0,0,2,0,,0.3,,,,,,2,,,
SimpleGumtree,16,8,5,9,0,2,0,0,0,2,0,,0.5,,,,,,2,,,
SimpleGumtree,16,8,5,9,0,2,0,0,1,2,0,,0.7,,,,,,2,,,
SimpleGumtree,16,8,5,9,0,2,0,0,1,2,0,,0.899,,,,,,2,,,
SimpleGumtree,46,3,21,25,0,0,0,0,1,2,0,,0.1,,,,,,3,,,
SimpleGumtree,46,3,21,25,0,0,0,0,1,2,0,,0.3,,,,,,3,,,
SimpleGumtree,46,3,21,25,0,0,0,0,1,2,0,,0.5,,,,,,3,,,
SimpleGumtree,46,3,21,25,0,0,0,0,1,2,0,,0.7,,,,,,3,,,
SimpleGumtree,46,3,21,25,0,0,0,0,1,2,0,,0.899,,,,,,3,,,
SimpleGumtree,46,3,21,25,0,0,0,0,1,2,0,,0.1,,,,,,4,,,
SimpleGumtree,46,3,21,25,0,0,0,0,1,2,0,,0.3,,,,,,4,,,
SimpleGumtree,46,3,21,25,0,0,0,0,1,2,0,,0.5,,,,,,4,,,
SimpleGumtree,46,3,21,25,0,0,0,0,0,2,0,,0.7,,,,,,4,,,
SimpleGumtree,46,3,21,25,0,0,0,0,0,2,0,,0.899,,,,,,4,,,
SimpleGumtree,46,3,21,25,0,0,0,0,0,2,0,,0.1,,,,,,5,,,
SimpleGumtree,46,3,21,25,0,0,0,0,0,2,0,,0.3,,,,,,5,,,
SimpleGumtree,46,3,21,25,0,0,0,0,0,2,0,,0.5,,,,,,5,,,
SimpleGumtree,46,3,21,25,0,0,0,0,0,2,0,,0.7,,,,,,5,,,
SimpleGumtree,46,3,21,25,0,0,0,0,1,2,0,,0.899,,,,,,5,,,
ClassicGumtree,20,11,7,11,0,2,0,0,65,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,20,11,7,11,0,2,0,0,65,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,20,11,7,11,0,2,0,0,65,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,20,11,7,11,0,2,0,0,66,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,20,11,7,11,0,2,0,0,65,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,20,11,7,11,0,2,0,0,65,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,28,9,10,14,0,4,0,0,64,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,28,9,10,14,0,4,0,0,64,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,28,9,10,14,0,4,0,0,64,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,63,31,15,19,0,29,0,0,1,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,40,21,17,21,0,2,0,0,64,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,40,21,17,21,0,2,0,0,63,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,40,21,17,21,0,2,0,0,63,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,40,21,17,21,0,2,0,0,63,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,52,18,23,27,0,2,0,0,63,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,52,18,23,27,0,2,0,0,63,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,54,17,24,28,0,2,0,0,63,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,54,17,24,28,0,2,0,0,62,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,54,17,24,28,0,2,0,0,62,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,84,24,29,33,0,22,0,0,0,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,156,35,76,80,0,0,0,0,63,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,156,35,76,80,0,0,0,0,63,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,156,35,76,80,0,0,0,0,62,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,156,35,76,80,0,0,0,0,63,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,156,35,76,80,0,0,0,0,63,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,156,35,76,80,0,0,0,0,63,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,156,35,76,80,0,0,0,0,63,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,166,23,77,81,0,8,0,0,63,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,168,13,78,82,0,8,0,0,63,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,176,12,81,85,0,10,0,0,1,3,0,0.999,,100,,,,,3,,,
