MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,47,20,33,6,1,7,0,0,109,2,0,,0.1,,,,,,1,,,
SimpleGumtree,47,20,33,6,1,7,0,0,54,2,0,,0.3,,,,,,1,,,
SimpleGumtree,47,20,33,6,1,7,0,0,106,2,0,,0.5,,,,,,1,,,
SimpleGumtree,47,20,33,6,1,7,0,0,53,2,0,,0.7,,,,,,1,,,
SimpleGumtree,47,20,33,6,1,7,0,0,146,2,0,,0.899,,,,,,1,,,
SimpleGumtree,53,20,37,10,1,5,0,0,101,2,0,,0.1,,,,,,2,,,
SimpleGumtree,53,20,37,10,1,5,0,0,83,2,0,,0.3,,,,,,2,,,
SimpleGumtree,53,20,37,10,1,5,0,0,84,2,0,,0.5,,,,,,2,,,
SimpleGumtree,53,20,37,10,1,5,0,0,51,2,0,,0.7,,,,,,2,,,
SimpleGumtree,53,20,37,10,1,5,0,0,91,2,0,,0.899,,,,,,2,,,
SimpleGumtree,63,14,44,17,0,2,0,0,75,2,0,,0.1,,,,,,3,,,
SimpleGumtree,63,14,44,17,0,2,0,0,77,2,0,,0.3,,,,,,3,,,
SimpleGumtree,63,14,44,17,0,2,0,0,103,2,0,,0.5,,,,,,3,,,
SimpleGumtree,63,14,44,17,0,2,0,0,47,2,0,,0.7,,,,,,3,,,
SimpleGumtree,63,14,44,17,0,2,0,0,44,2,0,,0.899,,,,,,3,,,
SimpleGumtree,91,16,59,32,0,0,0,0,140,2,0,,0.1,,,,,,4,,,
SimpleGumtree,91,16,59,32,0,0,0,0,86,2,0,,0.3,,,,,,4,,,
SimpleGumtree,91,16,59,32,0,0,0,0,96,2,0,,0.5,,,,,,4,,,
SimpleGumtree,91,16,59,32,0,0,0,0,78,2,0,,0.7,,,,,,4,,,
SimpleGumtree,91,16,59,32,0,0,0,0,56,2,0,,0.899,,,,,,4,,,
SimpleGumtree,187,12,107,80,0,0,0,0,73,2,0,,0.1,,,,,,5,,,
SimpleGumtree,187,12,107,80,0,0,0,0,72,2,0,,0.3,,,,,,5,,,
SimpleGumtree,187,12,107,80,0,0,0,0,81,2,0,,0.5,,,,,,5,,,
SimpleGumtree,187,12,107,80,0,0,0,0,110,2,0,,0.7,,,,,,5,,,
SimpleGumtree,187,12,107,80,0,0,0,0,94,2,0,,0.899,,,,,,5,,,
ClassicGumtree,68,41,39,12,1,16,0,0,266,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,68,41,39,12,1,16,0,0,1528,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,68,41,39,12,1,16,0,0,4764,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,62,35,36,9,1,16,0,0,8184,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,62,35,36,9,1,16,0,0,10894,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,62,35,36,9,1,16,0,0,10352,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,62,35,36,9,1,16,0,0,28951,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,62,35,36,9,1,16,0,0,26281,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,62,35,36,9,1,16,0,0,54426,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,58,31,34,7,1,16,0,0,66300,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,58,31,34,7,1,16,0,0,59863,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,58,31,34,7,1,16,0,0,58311,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,58,31,34,7,1,16,0,0,59300,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,58,31,34,7,1,16,0,0,58358,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,58,31,34,7,1,16,0,0,55108,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,58,31,34,7,1,16,0,0,57788,3,0,0.1,,1600,,,,,1,,,
