MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,35,5,35,0,0,0,0,0,1,2,0,,0.1,,,,,,2,,,
SimpleGumtree,35,5,35,0,0,0,0,0,1,2,0,,0.1,,,,,,3,,,
SimpleGumtree,35,5,35,0,0,0,0,0,1,2,0,,0.1,,,,,,4,,,
SimpleGumtree,77,6,56,21,0,0,0,0,1,2,0,,0.1,,,,,,5,,,
SimpleGumtree,35,5,35,0,0,0,0,0,2,2,0,,0.3,,,,,,1,,,
SimpleGumtree,35,5,35,0,0,0,0,0,2,2,0,,0.3,,,,,,2,,,
SimpleGumtree,35,5,35,0,0,0,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,35,5,35,0,0,0,0,0,1,2,0,,0.3,,,,,,4,,,
SimpleGumtree,77,6,56,21,0,0,0,0,1,2,0,,0.3,,,,,,5,,,
SimpleGumtree,35,5,35,0,0,0,0,0,2,2,0,,0.5,,,,,,1,,,
SimpleGumtree,35,5,35,0,0,0,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,35,5,35,0,0,0,0,0,2,2,0,,0.5,,,,,,3,,,
SimpleGumtree,35,5,35,0,0,0,0,0,2,2,0,,0.5,,,,,,4,,,
SimpleGumtree,77,6,56,21,0,0,0,0,1,2,0,,0.5,,,,,,5,,,
SimpleGumtree,35,5,35,0,0,0,0,0,1,2,0,,0.7,,,,,,1,,,
SimpleGumtree,35,5,35,0,0,0,0,0,1,2,0,,0.7,,,,,,2,,,
SimpleGumtree,35,5,35,0,0,0,0,0,1,2,0,,0.7,,,,,,3,,,
SimpleGumtree,35,5,35,0,0,0,0,0,1,2,0,,0.7,,,,,,4,,,
SimpleGumtree,77,6,56,21,0,0,0,0,1,2,0,,0.7,,,,,,5,,,
SimpleGumtree,35,5,35,0,0,0,0,0,1,2,0,,0.899,,,,,,1,,,
SimpleGumtree,35,5,35,0,0,0,0,0,1,2,0,,0.899,,,,,,2,,,
SimpleGumtree,35,5,35,0,0,0,0,0,1,2,0,,0.899,,,,,,3,,,
SimpleGumtree,35,5,35,0,0,0,0,0,1,2,0,,0.899,,,,,,4,,,
SimpleGumtree,77,6,56,21,0,0,0,0,1,2,0,,0.899,,,,,,5,,,
ClassicGumtree,35,5,35,0,0,0,0,0,3,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,59,17,47,12,0,0,0,0,6,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,139,33,87,52,0,0,0,0,3,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,149,35,92,57,0,0,0,0,6,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,191,36,113,78,0,0,0,0,2,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,35,5,35,0,0,0,0,0,4,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,59,17,47,12,0,0,0,0,4,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,139,33,87,52,0,0,0,0,6,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,149,35,92,57,0,0,0,0,6,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,191,36,113,78,0,0,0,0,2,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,35,5,35,0,0,0,0,0,6,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,59,17,47,12,0,0,0,0,6,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,139,33,87,52,0,0,0,0,4,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,149,35,92,57,0,0,0,0,4,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,191,36,113,78,0,0,0,0,1,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,35,5,35,0,0,0,0,0,3,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,59,17,47,12,0,0,0,0,3,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,139,33,87,52,0,0,0,0,5,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,174,38,104,69,0,1,0,0,2,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,191,36,113,78,0,0,0,0,2,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,35,5,35,0,0,0,0,0,6,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,59,17,47,12,0,0,0,0,3,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,139,33,87,52,0,0,0,0,3,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,174,38,104,69,0,1,0,0,1,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,191,36,113,78,0,0,0,0,2,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,35,5,35,0,0,0,0,0,5,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,59,17,47,12,0,0,0,0,3,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,153,36,93,58,0,2,0,0,2,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,176,37,105,70,0,1,0,0,2,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,194,30,114,79,0,1,0,0,2,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,35,5,35,0,0,0,0,0,2,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,59,17,47,12,0,0,0,0,5,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,153,36,93,58,0,2,0,0,1,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,181,20,107,72,0,2,0,0,1,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,196,19,115,80,0,1,0,0,1,3,0,0.7,,100,,,,,5,,,
