MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,52,17,31,18,1,2,0,0,7,2,0,,0.1,,,,,,1,,,
SimpleGumtree,52,17,31,18,1,2,0,0,4,2,0,,0.3,,,,,,1,,,
SimpleGumtree,52,17,31,18,1,2,0,0,3,2,0,,0.7,,,,,,1,,,
SimpleGumtree,52,17,31,18,1,2,0,0,3,2,0,,0.899,,,,,,1,,,
SimpleGumtree,73,16,42,29,1,1,0,0,3,2,0,,0.1,,,,,,2,,,
SimpleGumtree,73,16,42,29,1,1,0,0,3,2,0,,0.3,,,,,,2,,,
SimpleGumtree,73,16,42,29,1,1,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,73,16,42,29,1,1,0,0,2,2,0,,0.7,,,,,,2,,,
SimpleGumtree,73,16,42,29,1,1,0,0,2,2,0,,0.899,,,,,,2,,,
SimpleGumtree,81,16,46,33,1,1,0,0,1,2,0,,0.1,,,,,,3,,,
SimpleGumtree,81,16,46,33,1,1,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,81,16,46,33,1,1,0,0,2,2,0,,0.5,,,,,,3,,,
SimpleGumtree,81,16,46,33,1,1,0,0,1,2,0,,0.7,,,,,,3,,,
SimpleGumtree,81,16,46,33,1,1,0,0,2,2,0,,0.899,,,,,,3,,,
SimpleGumtree,201,15,107,94,0,0,0,0,2,2,0,,0.1,,,,,,4,,,
SimpleGumtree,201,15,107,94,0,0,0,0,2,2,0,,0.3,,,,,,4,,,
SimpleGumtree,201,15,107,94,0,0,0,0,1,2,0,,0.5,,,,,,4,,,
SimpleGumtree,201,15,107,94,0,0,0,0,1,2,0,,0.7,,,,,,4,,,
SimpleGumtree,201,15,107,94,0,0,0,0,1,2,0,,0.899,,,,,,4,,,
SimpleGumtree,743,4,377,364,0,2,0,0,2,2,0,,0.1,,,,,,5,,,
SimpleGumtree,743,4,377,364,0,2,0,0,2,2,0,,0.5,,,,,,5,,,
SimpleGumtree,743,4,377,364,0,2,0,0,2,2,0,,0.7,,,,,,5,,,
SimpleGumtree,743,4,377,364,0,2,0,0,2,2,0,,0.899,,,,,,5,,,
ClassicGumtree,46,21,28,15,1,2,0,0,15,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,46,21,28,15,1,2,0,0,14,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,269,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,224,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,772,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,629,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,888,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,723,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,922,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,756,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,957,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,798,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,729,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,732,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,657,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,660,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,691,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,706,3,0,0.1,,1800,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,675,3,0,0.1,,1900,,,,,1,,,
ClassicGumtree,34,17,22,9,1,2,0,0,697,3,0,0.1,,2000,,,,,1,,,
ClassicGumtree,89,26,50,37,1,1,0,0,8,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,89,26,50,37,1,1,0,0,8,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,38,19,24,11,1,2,0,0,138,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,38,19,24,11,1,2,0,0,138,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,696,3,0,0.1,,500,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,693,3,0,0.1,,600,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,695,3,0,0.1,,700,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,692,3,0,0.1,,800,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,689,3,0,0.1,,900,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,688,3,0,0.1,,1000,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,680,3,0,0.1,,1100,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,684,3,0,0.1,,1200,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,680,3,0,0.1,,1300,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,678,3,0,0.1,,1400,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,685,3,0,0.1,,1500,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,684,3,0,0.1,,1600,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,684,3,0,0.1,,1700,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,685,3,0,0.1,,1800,,,,,2,,,
ClassicGumtree,34,17,22,9,1,2,0,0,677,3,0,0.1,,1900,,,,,2,,,
