MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,15,3,11,4,0,0,0,0,42,2,0,,0.1,,,,,,1,,,
SimpleGumtree,15,3,11,4,0,0,0,0,49,2,0,,0.1,,,,,,2,,,
SimpleGumtree,15,3,11,4,0,0,0,0,53,2,0,,0.1,,,,,,3,,,
SimpleGumtree,15,3,11,4,0,0,0,0,45,2,0,,0.1,,,,,,4,,,
SimpleGumtree,73,2,40,33,0,0,0,0,42,2,0,,0.1,,,,,,5,,,
SimpleGumtree,15,3,11,4,0,0,0,0,40,2,0,,0.3,,,,,,1,,,
SimpleGumtree,15,3,11,4,0,0,0,0,49,2,0,,0.3,,,,,,2,,,
SimpleGumtree,15,3,11,4,0,0,0,0,50,2,0,,0.3,,,,,,3,,,
SimpleGumtree,15,3,11,4,0,0,0,0,47,2,0,,0.3,,,,,,4,,,
SimpleGumtree,73,2,40,33,0,0,0,0,47,2,0,,0.3,,,,,,5,,,
SimpleGumtree,15,3,11,4,0,0,0,0,32,2,0,,0.5,,,,,,1,,,
SimpleGumtree,15,3,11,4,0,0,0,0,32,2,0,,0.5,,,,,,2,,,
SimpleGumtree,15,3,11,4,0,0,0,0,31,2,0,,0.5,,,,,,3,,,
SimpleGumtree,15,3,11,4,0,0,0,0,44,2,0,,0.5,,,,,,4,,,
SimpleGumtree,73,2,40,33,0,0,0,0,47,2,0,,0.5,,,,,,5,,,
SimpleGumtree,15,3,11,4,0,0,0,0,46,2,0,,0.7,,,,,,1,,,
SimpleGumtree,15,3,11,4,0,0,0,0,47,2,0,,0.7,,,,,,2,,,
SimpleGumtree,15,3,11,4,0,0,0,0,44,2,0,,0.7,,,,,,3,,,
SimpleGumtree,15,3,11,4,0,0,0,0,44,2,0,,0.7,,,,,,4,,,
SimpleGumtree,73,2,40,33,0,0,0,0,44,2,0,,0.7,,,,,,5,,,
SimpleGumtree,15,3,11,4,0,0,0,0,30,2,0,,0.899,,,,,,1,,,
SimpleGumtree,15,3,11,4,0,0,0,0,25,2,0,,0.899,,,,,,2,,,
SimpleGumtree,15,3,11,4,0,0,0,0,28,2,0,,0.899,,,,,,3,,,
SimpleGumtree,15,3,11,4,0,0,0,0,27,2,0,,0.899,,,,,,4,,,
SimpleGumtree,73,2,40,33,0,0,0,0,25,2,0,,0.899,,,,,,5,,,
ClassicGumtree,12,5,8,1,2,1,0,0,35,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,20,9,12,5,2,1,0,0,22,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,1356,147,680,673,2,1,0,0,22,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,1862,179,933,926,2,1,0,0,22,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,2383,190,1195,1188,0,0,0,0,31,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,12,5,8,1,2,1,0,0,36,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,20,9,12,5,2,1,0,0,34,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,1356,147,680,673,2,1,0,0,35,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,1862,179,933,926,2,1,0,0,22,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,2383,190,1195,1188,0,0,0,0,21,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,12,5,8,1,2,1,0,0,23,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,20,9,12,5,2,1,0,0,21,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,1356,147,680,673,2,1,0,0,21,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,1862,179,933,926,2,1,0,0,22,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,2383,190,1195,1188,0,0,0,0,21,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,12,5,8,1,2,1,0,0,33,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,20,9,12,5,2,1,0,0,37,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,1356,147,680,673,2,1,0,0,35,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,1904,177,955,948,0,1,0,0,37,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,2383,190,1195,1188,0,0,0,0,40,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,12,5,8,1,2,1,0,0,22,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,20,9,12,5,2,1,0,0,25,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,1356,147,680,673,2,1,0,0,22,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,1904,177,955,948,0,1,0,0,21,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,2383,190,1195,1188,0,0,0,0,22,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,12,5,8,1,2,1,0,0,38,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,51,8,28,21,0,2,0,0,25,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,1387,146,696,689,0,2,0,0,22,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,1904,177,955,948,0,1,0,0,24,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,2383,190,1195,1188,0,0,0,0,22,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,12,5,8,1,2,1,0,0,26,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,51,8,28,21,0,2,0,0,32,3,0,0.7,,100,,,,,2,,,
