MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,88,1,88,0,0,0,0,0,2,2,0,,0.1,,,,,,1,,,
SimpleGumtree,88,1,88,0,0,0,0,0,2,2,0,,0.1,,,,,,2,,,
SimpleGumtree,88,1,88,0,0,0,0,0,2,2,0,,0.1,,,,,,3,,,
SimpleGumtree,686,2,387,299,0,0,0,0,2,2,0,,0.1,,,,,,5,,,
SimpleGumtree,88,1,88,0,0,0,0,0,2,2,0,,0.3,,,,,,1,,,
SimpleGumtree,88,1,88,0,0,0,0,0,1,2,0,,0.3,,,,,,2,,,
SimpleGumtree,88,1,88,0,0,0,0,0,1,2,0,,0.3,,,,,,3,,,
SimpleGumtree,88,1,88,0,0,0,0,0,1,2,0,,0.3,,,,,,4,,,
SimpleGumtree,686,2,387,299,0,0,0,0,1,2,0,,0.3,,,,,,5,,,
SimpleGumtree,88,1,88,0,0,0,0,0,1,2,0,,0.5,,,,,,1,,,
SimpleGumtree,88,1,88,0,0,0,0,0,1,2,0,,0.5,,,,,,2,,,
SimpleGumtree,88,1,88,0,0,0,0,0,1,2,0,,0.5,,,,,,3,,,
SimpleGumtree,88,1,88,0,0,0,0,0,1,2,0,,0.5,,,,,,4,,,
SimpleGumtree,686,2,387,299,0,0,0,0,2,2,0,,0.5,,,,,,5,,,
SimpleGumtree,88,1,88,0,0,0,0,0,2,2,0,,0.7,,,,,,1,,,
SimpleGumtree,88,1,88,0,0,0,0,0,1,2,0,,0.7,,,,,,2,,,
SimpleGumtree,88,1,88,0,0,0,0,0,2,2,0,,0.7,,,,,,3,,,
SimpleGumtree,88,1,88,0,0,0,0,0,2,2,0,,0.7,,,,,,4,,,
SimpleGumtree,686,2,387,299,0,0,0,0,2,2,0,,0.7,,,,,,5,,,
SimpleGumtree,88,1,88,0,0,0,0,0,2,2,0,,0.899,,,,,,1,,,
SimpleGumtree,88,1,88,0,0,0,0,0,1,2,0,,0.899,,,,,,2,,,
SimpleGumtree,88,1,88,0,0,0,0,0,1,2,0,,0.899,,,,,,3,,,
SimpleGumtree,88,1,88,0,0,0,0,0,1,2,0,,0.899,,,,,,4,,,
SimpleGumtree,686,2,387,299,0,0,0,0,2,2,0,,0.899,,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,1,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,96,5,92,4,0,0,0,0,1,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,136,15,112,24,0,0,0,0,1,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,136,15,112,24,0,0,0,0,2,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,686,2,387,299,0,0,0,0,2,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,1,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,96,5,92,4,0,0,0,0,0,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,136,15,112,24,0,0,0,0,1,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,136,15,112,24,0,0,0,0,2,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,686,2,387,299,0,0,0,0,1,3,0,0.1,,200,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,417,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,417,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,378,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,301,3,0,0.1,,300,,,,,4,,,
ClassicGumtree,686,2,387,299,0,0,0,0,1,3,0,0.1,,300,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,661,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,583,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,561,3,0,0.1,,400,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,548,3,0,0.1,,400,,,,,4,,,
ClassicGumtree,88,1,88,0,0,0,0,0,483,3,0,0.1,,400,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,749,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,550,3,0,0.1,,500,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,474,3,0,0.1,,500,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,538,3,0,0.1,,500,,,,,4,,,
ClassicGumtree,88,1,88,0,0,0,0,0,276,3,0,0.1,,500,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,543,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,483,3,0,0.1,,600,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,537,3,0,0.1,,600,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,534,3,0,0.1,,600,,,,,4,,,
ClassicGumtree,88,1,88,0,0,0,0,0,271,3,0,0.1,,600,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,527,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,504,3,0,0.1,,700,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,522,3,0,0.1,,700,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,520,3,0,0.1,,700,,,,,4,,,
ClassicGumtree,88,1,88,0,0,0,0,0,258,3,0,0.1,,700,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,523,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,520,3,0,0.1,,800,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,522,3,0,0.1,,800,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,521,3,0,0.1,,800,,,,,4,,,
ClassicGumtree,88,1,88,0,0,0,0,0,267,3,0,0.1,,800,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,521,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,523,3,0,0.1,,900,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,524,3,0,0.1,,900,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,519,3,0,0.1,,900,,,,,4,,,
ClassicGumtree,88,1,88,0,0,0,0,0,257,3,0,0.1,,900,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,512,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,515,3,0,0.1,,1000,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,519,3,0,0.1,,1000,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,515,3,0,0.1,,1000,,,,,4,,,
ClassicGumtree,88,1,88,0,0,0,0,0,262,3,0,0.1,,1000,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,513,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,515,3,0,0.1,,1100,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,520,3,0,0.1,,1100,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,512,3,0,0.1,,1100,,,,,4,,,
ClassicGumtree,88,1,88,0,0,0,0,0,256,3,0,0.1,,1100,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,515,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,513,3,0,0.1,,1200,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,527,3,0,0.1,,1200,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,524,3,0,0.1,,1200,,,,,4,,,
ClassicGumtree,88,1,88,0,0,0,0,0,258,3,0,0.1,,1200,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,526,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,523,3,0,0.1,,1300,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,522,3,0,0.1,,1300,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,525,3,0,0.1,,1300,,,,,4,,,
ClassicGumtree,88,1,88,0,0,0,0,0,267,3,0,0.1,,1300,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,522,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,525,3,0,0.1,,1400,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,522,3,0,0.1,,1400,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,513,3,0,0.1,,1400,,,,,4,,,
ClassicGumtree,88,1,88,0,0,0,0,0,257,3,0,0.1,,1400,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,516,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,514,3,0,0.1,,1500,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,512,3,0,0.1,,1500,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,513,3,0,0.1,,1500,,,,,4,,,
ClassicGumtree,88,1,88,0,0,0,0,0,258,3,0,0.1,,1500,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,512,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,513,3,0,0.1,,1600,,,,,2,,,
ClassicGumtree,88,1,88,0,0,0,0,0,511,3,0,0.1,,1600,,,,,3,,,
ClassicGumtree,88,1,88,0,0,0,0,0,514,3,0,0.1,,1600,,,,,4,,,
ClassicGumtree,88,1,88,0,0,0,0,0,255,3,0,0.1,,1600,,,,,5,,,
ClassicGumtree,88,1,88,0,0,0,0,0,513,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,88,1,88,0,0,0,0,0,514,3,0,0.1,,1700,,,,,2,,,
