MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,63,14,45,9,3,6,0,0,2,2,0,,0.1,,,,,,1,,,
SimpleGumtree,74,11,52,16,5,1,0,0,1,2,0,,0.1,,,,,,2,,,
SimpleGumtree,122,10,78,42,2,0,0,0,1,2,0,,0.1,,,,,,3,,,
SimpleGumtree,122,10,78,42,2,0,0,0,1,2,0,,0.1,,,,,,4,,,
SimpleGumtree,152,10,94,58,0,0,0,0,1,2,0,,0.1,,,,,,5,,,
SimpleGumtree,63,14,45,9,3,6,0,0,1,2,0,,0.3,,,,,,1,,,
SimpleGumtree,74,11,52,16,5,1,0,0,1,2,0,,0.3,,,,,,2,,,
SimpleGumtree,122,10,78,42,2,0,0,0,1,2,0,,0.3,,,,,,3,,,
SimpleGumtree,122,10,78,42,2,0,0,0,1,2,0,,0.3,,,,,,4,,,
SimpleGumtree,152,10,94,58,0,0,0,0,1,2,0,,0.3,,,,,,5,,,
SimpleGumtree,63,14,45,9,3,6,0,0,1,2,0,,0.5,,,,,,1,,,
SimpleGumtree,74,11,52,16,5,1,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,122,10,78,42,2,0,0,0,1,2,0,,0.5,,,,,,3,,,
SimpleGumtree,122,10,78,42,2,0,0,0,0,2,0,,0.5,,,,,,4,,,
SimpleGumtree,152,10,94,58,0,0,0,0,1,2,0,,0.5,,,,,,5,,,
SimpleGumtree,63,14,45,9,3,6,0,0,0,2,0,,0.7,,,,,,1,,,
SimpleGumtree,74,11,52,16,5,1,0,0,1,2,0,,0.7,,,,,,2,,,
SimpleGumtree,122,10,78,42,2,0,0,0,1,2,0,,0.7,,,,,,3,,,
SimpleGumtree,122,10,78,42,2,0,0,0,1,2,0,,0.7,,,,,,4,,,
SimpleGumtree,152,10,94,58,0,0,0,0,1,2,0,,0.7,,,,,,5,,,
SimpleGumtree,63,14,45,9,3,6,0,0,1,2,0,,0.899,,,,,,1,,,
SimpleGumtree,74,11,52,16,5,1,0,0,1,2,0,,0.899,,,,,,2,,,
SimpleGumtree,122,10,78,42,2,0,0,0,1,2,0,,0.899,,,,,,3,,,
SimpleGumtree,122,10,78,42,2,0,0,0,0,2,0,,0.899,,,,,,4,,,
SimpleGumtree,152,10,94,58,0,0,0,0,0,2,0,,0.899,,,,,,5,,,
ClassicGumtree,63,16,44,8,4,7,0,0,3,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,88,19,58,22,6,2,0,0,2,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,166,22,100,64,2,0,0,0,2,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,248,28,141,105,2,0,0,0,1,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,326,32,181,145,0,0,0,0,1,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,63,16,44,8,4,7,0,0,4,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,88,19,58,22,6,2,0,0,4,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,166,22,100,64,2,0,0,0,3,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,248,28,141,105,2,0,0,0,18,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,329,3,182,146,0,1,0,0,1,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,63,16,44,8,4,7,0,0,3,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,88,19,58,22,6,2,0,0,3,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,166,22,100,64,2,0,0,0,1,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,248,28,141,105,2,0,0,0,1,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,329,3,182,146,0,1,0,0,1,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,63,16,44,8,4,7,0,0,3,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,103,21,65,29,6,3,0,0,2,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,166,22,100,64,2,0,0,0,2,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,254,8,142,106,2,4,0,0,2,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,329,3,182,146,0,1,0,0,1,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,69,16,48,12,1,8,0,0,1,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,112,20,71,35,2,4,0,0,1,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,166,22,100,64,2,0,0,0,1,3,0,0.5,,100,,,,,3,,,
