MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,29,5,15,11,1,2,0,0,33,2,0,,0.1,,,,,,1,,,
SimpleGumtree,35,3,19,15,1,0,0,0,13,2,0,,0.1,,,,,,2,,,
SimpleGumtree,35,3,19,15,1,0,0,0,13,2,0,,0.1,,,,,,3,,,
SimpleGumtree,35,3,19,15,1,0,0,0,29,2,0,,0.1,,,,,,4,,,
SimpleGumtree,35,3,19,15,1,0,0,0,13,2,0,,0.1,,,,,,5,,,
SimpleGumtree,29,5,15,11,1,2,0,0,13,2,0,,0.3,,,,,,1,,,
SimpleGumtree,35,3,19,15,1,0,0,0,13,2,0,,0.3,,,,,,2,,,
SimpleGumtree,35,3,19,15,1,0,0,0,13,2,0,,0.3,,,,,,3,,,
SimpleGumtree,35,3,19,15,1,0,0,0,13,2,0,,0.3,,,,,,4,,,
SimpleGumtree,35,3,19,15,1,0,0,0,12,2,0,,0.3,,,,,,5,,,
SimpleGumtree,29,5,15,11,1,2,0,0,13,2,0,,0.5,,,,,,1,,,
SimpleGumtree,35,3,19,15,1,0,0,0,13,2,0,,0.5,,,,,,2,,,
SimpleGumtree,35,3,19,15,1,0,0,0,13,2,0,,0.5,,,,,,3,,,
SimpleGumtree,35,3,19,15,1,0,0,0,12,2,0,,0.5,,,,,,4,,,
SimpleGumtree,35,3,19,15,1,0,0,0,13,2,0,,0.5,,,,,,5,,,
SimpleGumtree,29,5,15,11,1,2,0,0,13,2,0,,0.7,,,,,,1,,,
SimpleGumtree,35,3,19,15,1,0,0,0,13,2,0,,0.7,,,,,,2,,,
SimpleGumtree,35,3,19,15,1,0,0,0,13,2,0,,0.7,,,,,,3,,,
SimpleGumtree,35,3,19,15,1,0,0,0,29,2,0,,0.7,,,,,,4,,,
SimpleGumtree,35,3,19,15,1,0,0,0,13,2,0,,0.7,,,,,,5,,,
SimpleGumtree,29,5,15,11,1,2,0,0,22,2,0,,0.899,,,,,,1,,,
SimpleGumtree,35,3,19,15,1,0,0,0,29,2,0,,0.899,,,,,,2,,,
SimpleGumtree,35,3,19,15,1,0,0,0,29,2,0,,0.899,,,,,,3,,,
SimpleGumtree,35,3,19,15,1,0,0,0,29,2,0,,0.899,,,,,,4,,,
SimpleGumtree,35,3,19,15,1,0,0,0,29,2,0,,0.899,,,,,,5,,,
ClassicGumtree,9,6,5,1,3,0,0,0,74,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,9,6,5,1,3,0,0,0,390,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,785,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,545,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,544,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,644,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,545,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,931,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,646,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,662,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,712,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,561,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,1850,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,560,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,543,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,1749,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,1805,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,1830,3,0,0.1,,1800,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,1581,3,0,0.1,,1900,,,,,1,,,
ClassicGumtree,7,4,4,0,3,0,0,0,1706,3,0,0.1,,2000,,,,,1,,,
ClassicGumtree,99,31,51,47,1,0,0,0,72,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,31,16,16,12,3,0,0,0,1580,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,1530,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,1546,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,1544,3,0,0.1,,500,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,464,3,0,0.1,,600,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,461,3,0,0.1,,700,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,566,3,0,0.1,,800,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,931,3,0,0.1,,900,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,517,3,0,0.1,,1000,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,462,3,0,0.1,,1100,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,916,3,0,0.1,,1200,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,687,3,0,0.1,,1300,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,461,3,0,0.1,,1400,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,460,3,0,0.1,,1500,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,464,3,0,0.1,,1600,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,461,3,0,0.1,,1700,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,495,3,0,0.1,,1800,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,460,3,0,0.1,,1900,,,,,2,,,
ClassicGumtree,11,6,6,2,3,0,0,0,516,3,0,0.1,,2000,,,,,2,,,
ClassicGumtree,241,55,122,118,1,0,0,0,39,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,173,40,87,83,3,0,0,0,321,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,145,28,73,69,3,0,0,0,461,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,145,28,73,69,3,0,0,0,783,3,0,0.1,,400,,,,,3,,,
