MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,25,12,4,11,1,9,0,0,32,2,0,,0.1,,,,,,1,,,
SimpleGumtree,41,8,14,21,0,6,0,0,15,2,0,,0.1,,,,,,2,,,
SimpleGumtree,68,8,29,36,0,3,0,0,13,2,0,,0.1,,,,,,3,,,
SimpleGumtree,107,2,50,57,0,0,0,0,30,2,0,,0.1,,,,,,4,,,
SimpleGumtree,107,2,50,57,0,0,0,0,15,2,0,,0.1,,,,,,5,,,
SimpleGumtree,25,12,4,11,1,9,0,0,14,2,0,,0.3,,,,,,1,,,
SimpleGumtree,41,8,14,21,0,6,0,0,13,2,0,,0.3,,,,,,2,,,
SimpleGumtree,68,8,29,36,0,3,0,0,13,2,0,,0.3,,,,,,3,,,
SimpleGumtree,107,2,50,57,0,0,0,0,14,2,0,,0.3,,,,,,4,,,
SimpleGumtree,107,2,50,57,0,0,0,0,15,2,0,,0.3,,,,,,5,,,
SimpleGumtree,25,12,4,11,1,9,0,0,15,2,0,,0.5,,,,,,1,,,
SimpleGumtree,41,8,14,21,0,6,0,0,14,2,0,,0.5,,,,,,2,,,
SimpleGumtree,68,8,29,36,0,3,0,0,30,2,0,,0.5,,,,,,3,,,
SimpleGumtree,107,2,50,57,0,0,0,0,26,2,0,,0.5,,,,,,4,,,
SimpleGumtree,107,2,50,57,0,0,0,0,15,2,0,,0.5,,,,,,5,,,
SimpleGumtree,25,12,4,11,1,9,0,0,14,2,0,,0.7,,,,,,1,,,
SimpleGumtree,41,8,14,21,0,6,0,0,14,2,0,,0.7,,,,,,2,,,
SimpleGumtree,68,8,29,36,0,3,0,0,15,2,0,,0.7,,,,,,3,,,
SimpleGumtree,107,2,50,57,0,0,0,0,30,2,0,,0.7,,,,,,4,,,
SimpleGumtree,107,2,50,57,0,0,0,0,13,2,0,,0.7,,,,,,5,,,
SimpleGumtree,25,12,4,11,1,9,0,0,30,2,0,,0.899,,,,,,1,,,
SimpleGumtree,41,8,14,21,0,6,0,0,30,2,0,,0.899,,,,,,2,,,
SimpleGumtree,68,8,29,36,0,3,0,0,30,2,0,,0.899,,,,,,3,,,
SimpleGumtree,107,2,50,57,0,0,0,0,31,2,0,,0.899,,,,,,4,,,
SimpleGumtree,107,2,50,57,0,0,0,0,30,2,0,,0.899,,,,,,5,,,
ClassicGumtree,25,12,4,11,1,9,0,0,36,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,25,12,4,11,1,9,0,0,31,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,25,12,4,11,1,9,0,0,34,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,25,12,4,11,1,9,0,0,34,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,25,12,4,11,1,9,0,0,27,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,25,12,4,11,1,9,0,0,35,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,25,12,4,11,1,9,0,0,34,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,37,12,10,17,0,10,0,0,12,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,37,12,10,17,0,10,0,0,11,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,88,61,11,18,0,59,0,0,13,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,38,16,11,18,0,9,0,0,35,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,38,16,11,18,0,9,0,0,35,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,38,16,11,18,0,9,0,0,35,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,38,16,11,18,0,9,0,0,37,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,38,16,11,18,0,9,0,0,36,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,61,12,24,31,0,6,0,0,11,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,61,12,24,31,0,6,0,0,11,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,61,12,24,31,0,6,0,0,12,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,61,12,24,31,0,6,0,0,28,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,110,55,25,32,0,53,0,0,24,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,224,58,104,111,0,9,0,0,34,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,224,58,104,111,0,9,0,0,35,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,11,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,27,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,12,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,11,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,12,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,12,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,28,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,302,31,133,140,0,29,0,0,12,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,371,54,182,189,0,0,0,0,11,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,371,54,182,189,0,0,0,0,12,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,371,54,182,189,0,0,0,0,28,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,371,54,182,189,0,0,0,0,27,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,371,54,182,189,0,0,0,0,11,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,371,54,182,189,0,0,0,0,28,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,371,54,182,189,0,0,0,0,28,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,371,54,182,189,0,0,0,0,11,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,371,54,182,189,0,0,0,0,28,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,396,25,183,190,0,23,0,0,28,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,521,62,257,264,0,0,0,0,11,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,521,62,257,264,0,0,0,0,27,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,521,62,257,264,0,0,0,0,11,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,521,62,257,264,0,0,0,0,12,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,521,62,257,264,0,0,0,0,11,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,521,62,257,264,0,0,0,0,12,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,521,62,257,264,0,0,0,0,28,3,0,0.7,,100,,,,,5,,,
ClassicGumtree,521,62,257,264,0,0,0,0,24,3,0,0.799,,100,,,,,5,,,
ClassicGumtree,521,62,257,264,0,0,0,0,28,3,0,0.899,,100,,,,,5,,,
ClassicGumtree,542,21,258,265,0,19,0,0,28,3,0,0.999,,100,,,,,5,,,
ClassicGumtree,25,12,4,11,1,9,0,0,36,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,25,12,4,11,1,9,0,0,35,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,25,12,4,11,1,9,0,0,43,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,25,12,4,11,1,9,0,0,35,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,25,12,4,11,1,9,0,0,18,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,25,12,4,11,1,9,0,0,31,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,25,12,4,11,1,9,0,0,34,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,37,12,10,17,0,10,0,0,11,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,37,12,10,17,0,10,0,0,28,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,88,61,11,18,0,59,0,0,29,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,38,16,11,18,0,9,0,0,34,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,38,16,11,18,0,9,0,0,52,3,0,0.2,,200,,,,,2,,,
ClassicGumtree,38,16,11,18,0,9,0,0,17,3,0,0.3,,200,,,,,2,,,
ClassicGumtree,38,16,11,18,0,9,0,0,52,3,0,0.4,,200,,,,,2,,,
ClassicGumtree,38,16,11,18,0,9,0,0,34,3,0,0.5,,200,,,,,2,,,
ClassicGumtree,61,12,24,31,0,6,0,0,10,3,0,0.6,,200,,,,,2,,,
ClassicGumtree,61,12,24,31,0,6,0,0,27,3,0,0.7,,200,,,,,2,,,
ClassicGumtree,61,12,24,31,0,6,0,0,27,3,0,0.799,,200,,,,,2,,,
ClassicGumtree,61,12,24,31,0,6,0,0,11,3,0,0.899,,200,,,,,2,,,
ClassicGumtree,110,55,25,32,0,53,0,0,12,3,0,0.999,,200,,,,,2,,,
ClassicGumtree,224,58,104,111,0,9,0,0,35,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,224,58,104,111,0,9,0,0,34,3,0,0.2,,200,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,28,3,0,0.3,,200,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,28,3,0,0.4,,200,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,28,3,0,0.5,,200,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,27,3,0,0.6,,200,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,11,3,0,0.7,,200,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,28,3,0,0.799,,200,,,,,3,,,
ClassicGumtree,274,51,132,139,0,3,0,0,28,3,0,0.899,,200,,,,,3,,,
ClassicGumtree,302,31,133,140,0,29,0,0,13,3,0,0.999,,200,,,,,3,,,
ClassicGumtree,371,54,182,189,0,0,0,0,12,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,371,54,182,189,0,0,0,0,28,3,0,0.2,,200,,,,,4,,,
ClassicGumtree,371,54,182,189,0,0,0,0,28,3,0,0.3,,200,,,,,4,,,
ClassicGumtree,371,54,182,189,0,0,0,0,12,3,0,0.4,,200,,,,,4,,,
