MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,61,2,61,0,0,0,0,0,7,2,0,,0.1,,,,,,1,,,
SimpleGumtree,61,2,61,0,0,0,0,0,7,2,0,,0.1,,,,,,2,,,
SimpleGumtree,61,2,61,0,0,0,0,0,4,2,0,,0.1,,,,,,3,,,
SimpleGumtree,61,2,61,0,0,0,0,0,6,2,0,,0.1,,,,,,4,,,
SimpleGumtree,61,2,61,0,0,0,0,0,7,2,0,,0.1,,,,,,5,,,
SimpleGumtree,61,2,61,0,0,0,0,0,6,2,0,,0.3,,,,,,1,,,
SimpleGumtree,61,2,61,0,0,0,0,0,7,2,0,,0.3,,,,,,2,,,
SimpleGumtree,61,2,61,0,0,0,0,0,7,2,0,,0.3,,,,,,3,,,
SimpleGumtree,61,2,61,0,0,0,0,0,7,2,0,,0.3,,,,,,4,,,
SimpleGumtree,61,2,61,0,0,0,0,0,7,2,0,,0.3,,,,,,5,,,
SimpleGumtree,61,2,61,0,0,0,0,0,5,2,0,,0.5,,,,,,1,,,
SimpleGumtree,61,2,61,0,0,0,0,0,7,2,0,,0.5,,,,,,2,,,
SimpleGumtree,61,2,61,0,0,0,0,0,7,2,0,,0.5,,,,,,3,,,
SimpleGumtree,61,2,61,0,0,0,0,0,6,2,0,,0.5,,,,,,4,,,
SimpleGumtree,61,2,61,0,0,0,0,0,6,2,0,,0.5,,,,,,5,,,
SimpleGumtree,61,2,61,0,0,0,0,0,6,2,0,,0.7,,,,,,1,,,
SimpleGumtree,61,2,61,0,0,0,0,0,6,2,0,,0.7,,,,,,2,,,
SimpleGumtree,61,2,61,0,0,0,0,0,6,2,0,,0.7,,,,,,3,,,
SimpleGumtree,61,2,61,0,0,0,0,0,6,2,0,,0.7,,,,,,4,,,
SimpleGumtree,61,2,61,0,0,0,0,0,7,2,0,,0.7,,,,,,5,,,
SimpleGumtree,61,2,61,0,0,0,0,0,4,2,0,,0.899,,,,,,1,,,
SimpleGumtree,61,2,61,0,0,0,0,0,4,2,0,,0.899,,,,,,2,,,
SimpleGumtree,61,2,61,0,0,0,0,0,7,2,0,,0.899,,,,,,3,,,
SimpleGumtree,61,2,61,0,0,0,0,0,7,2,0,,0.899,,,,,,4,,,
SimpleGumtree,61,2,61,0,0,0,0,0,4,2,0,,0.899,,,,,,5,,,
ClassicGumtree,61,2,61,0,0,0,0,0,6,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,65,4,63,2,0,0,0,0,6,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,103,8,82,21,0,0,0,0,6,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,235,18,148,87,0,0,0,0,5,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,425,30,243,182,0,0,0,0,4,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,61,2,61,0,0,0,0,0,5,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,65,4,63,2,0,0,0,0,5,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,103,8,82,21,0,0,0,0,5,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,235,18,148,87,0,0,0,0,5,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,425,30,243,182,0,0,0,0,6,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,61,2,61,0,0,0,0,0,4,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,65,4,63,2,0,0,0,0,5,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,103,8,82,21,0,0,0,0,5,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,235,18,148,87,0,0,0,0,5,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,425,30,243,182,0,0,0,0,5,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,61,2,61,0,0,0,0,0,5,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,65,4,63,2,0,0,0,0,5,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,103,8,82,21,0,0,0,0,6,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,235,18,148,87,0,0,0,0,6,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,425,30,243,182,0,0,0,0,5,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,61,2,61,0,0,0,0,0,3,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,65,4,63,2,0,0,0,0,5,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,103,8,82,21,0,0,0,0,6,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,235,18,148,87,0,0,0,0,6,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,425,30,243,182,0,0,0,0,6,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,61,2,61,0,0,0,0,0,6,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,65,4,63,2,0,0,0,0,5,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,103,8,82,21,0,0,0,0,5,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,235,18,148,87,0,0,0,0,5,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,425,30,243,182,0,0,0,0,4,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,61,2,61,0,0,0,0,0,5,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,65,4,63,2,0,0,0,0,3,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,103,8,82,21,0,0,0,0,5,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,235,18,148,87,0,0,0,0,5,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,425,30,243,182,0,0,0,0,5,3,0,0.7,,100,,,,,5,,,
ClassicGumtree,61,2,61,0,0,0,0,0,5,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,65,4,63,2,0,0,0,0,5,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,103,8,82,21,0,0,0,0,6,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,235,18,148,87,0,0,0,0,6,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,425,30,243,182,0,0,0,0,6,3,0,0.799,,100,,,,,5,,,
ClassicGumtree,61,2,61,0,0,0,0,0,5,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,65,4,63,2,0,0,0,0,4,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,103,8,82,21,0,0,0,0,6,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,235,18,148,87,0,0,0,0,6,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,439,14,244,183,0,12,0,0,7,3,0,0.899,,100,,,,,5,,,
ClassicGumtree,89,28,62,1,0,26,0,0,7,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,92,27,64,3,0,25,0,0,6,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,128,25,83,22,0,23,0,0,6,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,255,20,149,88,0,18,0,0,4,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,439,14,244,183,0,12,0,0,6,3,0,0.999,,100,,,,,5,,,
ClassicGumtree,61,2,61,0,0,0,0,0,6,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,65,4,63,2,0,0,0,0,6,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,103,8,82,21,0,0,0,0,4,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,235,18,148,87,0,0,0,0,7,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,425,30,243,182,0,0,0,0,7,3,0,0.1,,200,,,,,5,,,
ClassicGumtree,61,2,61,0,0,0,0,0,6,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,65,4,63,2,0,0,0,0,6,3,0,0.2,,200,,,,,2,,,
ClassicGumtree,103,8,82,21,0,0,0,0,6,3,0,0.2,,200,,,,,3,,,
