MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,47,6,42,2,0,3,0,0,2,2,0,,0.1,,,,,,1,,,
SimpleGumtree,55,5,47,7,0,1,0,0,2,2,0,,0.1,,,,,,2,,,
SimpleGumtree,72,7,56,16,0,0,0,0,1,2,0,,0.1,,,,,,3,,,
SimpleGumtree,268,2,154,114,0,0,0,0,1,2,0,,0.1,,,,,,5,,,
SimpleGumtree,47,6,42,2,0,3,0,0,1,2,0,,0.3,,,,,,1,,,
SimpleGumtree,55,5,47,7,0,1,0,0,1,2,0,,0.3,,,,,,2,,,
SimpleGumtree,72,7,56,16,0,0,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,72,7,56,16,0,0,0,0,2,2,0,,0.3,,,,,,4,,,
SimpleGumtree,268,2,154,114,0,0,0,0,2,2,0,,0.3,,,,,,5,,,
SimpleGumtree,47,6,42,2,0,3,0,0,2,2,0,,0.5,,,,,,1,,,
SimpleGumtree,55,5,47,7,0,1,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,72,7,56,16,0,0,0,0,2,2,0,,0.5,,,,,,3,,,
SimpleGumtree,72,7,56,16,0,0,0,0,2,2,0,,0.5,,,,,,4,,,
SimpleGumtree,268,2,154,114,0,0,0,0,1,2,0,,0.5,,,,,,5,,,
SimpleGumtree,47,6,42,2,0,3,0,0,1,2,0,,0.7,,,,,,1,,,
SimpleGumtree,55,5,47,7,0,1,0,0,1,2,0,,0.7,,,,,,2,,,
SimpleGumtree,72,7,56,16,0,0,0,0,0,2,0,,0.7,,,,,,3,,,
SimpleGumtree,72,7,56,16,0,0,0,0,0,2,0,,0.7,,,,,,4,,,
SimpleGumtree,268,2,154,114,0,0,0,0,1,2,0,,0.7,,,,,,5,,,
SimpleGumtree,47,6,42,2,0,3,0,0,1,2,0,,0.899,,,,,,1,,,
SimpleGumtree,55,5,47,7,0,1,0,0,1,2,0,,0.899,,,,,,2,,,
SimpleGumtree,72,7,56,16,0,0,0,0,1,2,0,,0.899,,,,,,3,,,
SimpleGumtree,72,7,56,16,0,0,0,0,1,2,0,,0.899,,,,,,4,,,
SimpleGumtree,268,2,154,114,0,0,0,0,1,2,0,,0.899,,,,,,5,,,
ClassicGumtree,51,10,44,4,0,3,0,0,1,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,89,21,64,24,0,1,0,0,1,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,230,53,135,95,0,0,0,0,1,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,406,79,223,183,0,0,0,0,1,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,534,44,287,247,0,0,0,0,1,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,51,10,44,4,0,3,0,0,1,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,89,21,64,24,0,1,0,0,1,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,230,53,135,95,0,0,0,0,2,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,411,43,224,184,0,3,0,0,2,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,537,3,288,248,0,1,0,0,1,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,51,10,44,4,0,3,0,0,1,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,89,21,64,24,0,1,0,0,2,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,230,53,135,95,0,0,0,0,1,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,411,43,224,184,0,3,0,0,1,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,537,3,288,248,0,1,0,0,1,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,51,10,44,4,0,3,0,0,2,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,89,21,64,24,0,1,0,0,2,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,230,53,135,95,0,0,0,0,1,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,416,8,225,185,0,6,0,0,1,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,537,3,288,248,0,1,0,0,1,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,51,10,44,4,0,3,0,0,1,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,89,21,64,24,0,1,0,0,1,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,230,53,135,95,0,0,0,0,1,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,416,8,225,185,0,6,0,0,1,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,537,3,288,248,0,1,0,0,1,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,51,10,44,4,0,3,0,0,1,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,89,21,64,24,0,1,0,0,1,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,242,38,136,96,0,10,0,0,1,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,416,8,225,185,0,6,0,0,1,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,537,3,288,248,0,1,0,0,1,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,51,10,44,4,0,3,0,0,1,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,106,22,65,25,0,16,0,0,1,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,253,21,137,97,0,19,0,0,1,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,416,8,225,185,0,6,0,0,2,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,537,3,288,248,0,1,0,0,1,3,0,0.7,,100,,,,,5,,,
ClassicGumtree,51,10,44,4,0,3,0,0,1,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,106,22,65,25,0,16,0,0,1,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,253,21,137,97,0,19,0,0,1,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,416,8,225,185,0,6,0,0,1,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,537,3,288,248,0,1,0,0,2,3,0,0.799,,100,,,,,5,,,
ClassicGumtree,72,24,45,5,0,22,0,0,1,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,128,38,66,26,0,36,0,0,2,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,253,21,137,97,0,19,0,0,2,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,416,8,225,185,0,6,0,0,1,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,537,3,288,248,0,1,0,0,1,3,0,0.899,,100,,,,,5,,,
ClassicGumtree,96,46,46,6,0,44,0,0,1,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,128,38,66,26,0,36,0,0,1,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,253,21,137,97,0,19,0,0,1,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,416,8,225,185,0,6,0,0,1,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,537,3,288,248,0,1,0,0,1,3,0,0.999,,100,,,,,5,,,
ClassicGumtree,46,7,41,1,0,4,0,0,62,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,57,15,45,5,2,5,0,0,33,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,153,37,93,53,2,5,0,0,33,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,244,54,137,97,3,7,0,0,33,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,534,44,287,247,0,0,0,0,1,3,0,0.1,,200,,,,,5,,,
ClassicGumtree,46,7,41,1,0,4,0,0,62,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,57,15,45,5,2,5,0,0,53,3,0,0.2,,200,,,,,2,,,
ClassicGumtree,153,37,93,53,2,5,0,0,33,3,0,0.2,,200,,,,,3,,,
ClassicGumtree,411,43,224,184,0,3,0,0,2,3,0,0.2,,200,,,,,4,,,
ClassicGumtree,537,3,288,248,0,1,0,0,0,3,0,0.2,,200,,,,,5,,,
ClassicGumtree,46,7,41,1,0,4,0,0,62,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,57,15,45,5,2,5,0,0,33,3,0,0.3,,200,,,,,2,,,
ClassicGumtree,153,37,93,53,2,5,0,0,62,3,0,0.3,,200,,,,,3,,,
ClassicGumtree,411,43,224,184,0,3,0,0,1,3,0,0.3,,200,,,,,4,,,
ClassicGumtree,537,3,288,248,0,1,0,0,1,3,0,0.3,,200,,,,,5,,,
ClassicGumtree,46,7,41,1,0,4,0,0,33,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,57,15,45,5,2,5,0,0,34,3,0,0.4,,200,,,,,2,,,
ClassicGumtree,153,37,93,53,2,5,0,0,33,3,0,0.4,,200,,,,,3,,,
