MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,96,14,55,36,0,5,0,0,7,2,0,,0.1,,,,,,1,,,
SimpleGumtree,96,14,55,36,0,5,0,0,8,2,0,,0.3,,,,,,1,,,
SimpleGumtree,96,14,55,36,0,5,0,0,7,2,0,,0.5,,,,,,1,,,
SimpleGumtree,96,14,55,36,0,5,0,0,7,2,0,,0.7,,,,,,1,,,
SimpleGumtree,96,14,55,36,0,5,0,0,7,2,0,,0.899,,,,,,1,,,
SimpleGumtree,107,11,61,42,0,4,0,0,7,2,0,,0.1,,,,,,2,,,
SimpleGumtree,107,11,61,42,0,4,0,0,7,2,0,,0.3,,,,,,2,,,
SimpleGumtree,107,11,61,42,0,4,0,0,7,2,0,,0.5,,,,,,2,,,
SimpleGumtree,107,11,61,42,0,4,0,0,7,2,0,,0.7,,,,,,2,,,
SimpleGumtree,107,11,61,42,0,4,0,0,7,2,0,,0.899,,,,,,2,,,
SimpleGumtree,134,6,76,57,0,1,0,0,7,2,0,,0.1,,,,,,3,,,
SimpleGumtree,134,6,76,57,0,1,0,0,7,2,0,,0.3,,,,,,3,,,
SimpleGumtree,134,6,76,57,0,1,0,0,7,2,0,,0.5,,,,,,3,,,
SimpleGumtree,134,6,76,57,0,1,0,0,7,2,0,,0.7,,,,,,3,,,
SimpleGumtree,134,6,76,57,0,1,0,0,7,2,0,,0.899,,,,,,3,,,
SimpleGumtree,134,6,76,57,0,1,0,0,7,2,0,,0.1,,,,,,4,,,
SimpleGumtree,134,6,76,57,0,1,0,0,7,2,0,,0.3,,,,,,4,,,
SimpleGumtree,134,6,76,57,0,1,0,0,7,2,0,,0.5,,,,,,4,,,
SimpleGumtree,134,6,76,57,0,1,0,0,7,2,0,,0.7,,,,,,4,,,
SimpleGumtree,134,6,76,57,0,1,0,0,6,2,0,,0.899,,,,,,4,,,
SimpleGumtree,134,6,76,57,0,1,0,0,6,2,0,,0.1,,,,,,5,,,
SimpleGumtree,134,6,76,57,0,1,0,0,6,2,0,,0.3,,,,,,5,,,
SimpleGumtree,134,6,76,57,0,1,0,0,6,2,0,,0.5,,,,,,5,,,
SimpleGumtree,134,6,76,57,0,1,0,0,6,2,0,,0.7,,,,,,5,,,
SimpleGumtree,134,6,76,57,0,1,0,0,6,2,0,,0.899,,,,,,5,,,
ClassicGumtree,90,29,48,29,3,10,0,0,519,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,90,29,48,29,3,10,0,0,521,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,94,25,51,32,2,9,0,0,500,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,95,22,52,33,2,8,0,0,499,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,95,22,52,33,2,8,0,0,499,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,95,22,52,33,2,8,0,0,34,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,6,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,7,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,22,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,7,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,276,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,126,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,231,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,208,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,7,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,6,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,165,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,257,3,0,0.2,,300,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,109,3,0,0.3,,300,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,162,3,0,0.4,,300,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.5,,300,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.6,,300,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,7,3,0,0.7,,300,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,300,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,300,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,6,3,0,0.999,,300,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,126,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,128,3,0,0.2,,400,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,138,3,0,0.3,,400,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,160,3,0,0.4,,400,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,221,3,0,0.5,,400,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,107,3,0,0.6,,400,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,6,3,0,0.7,,400,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,400,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,400,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,24,3,0,0.999,,400,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,128,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,262,3,0,0.2,,500,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,107,3,0,0.3,,500,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,107,3,0,0.4,,500,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,228,3,0,0.5,,500,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.6,,500,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,7,3,0,0.7,,500,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,500,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,500,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,6,3,0,0.999,,500,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,185,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,128,3,0,0.2,,600,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,161,3,0,0.3,,600,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.4,,600,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,107,3,0,0.5,,600,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.6,,600,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,6,3,0,0.7,,600,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,600,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,600,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,6,3,0,0.999,,600,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,160,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,256,3,0,0.2,,700,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,108,3,0,0.3,,700,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.4,,700,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,106,3,0,0.5,,700,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,107,3,0,0.6,,700,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,7,3,0,0.7,,700,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,30,3,0,0.799,,700,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,15,3,0,0.899,,700,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,7,3,0,0.999,,700,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,124,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,257,3,0,0.2,,800,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,161,3,0,0.3,,800,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,204,3,0,0.4,,800,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,139,3,0,0.5,,800,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.6,,800,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,6,3,0,0.7,,800,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,800,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,800,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,7,3,0,0.999,,800,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,128,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,128,3,0,0.2,,900,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,106,3,0,0.3,,900,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,166,3,0,0.4,,900,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,220,3,0,0.5,,900,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,107,3,0,0.6,,900,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,6,3,0,0.7,,900,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,23,3,0,0.799,,900,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,900,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,6,3,0,0.999,,900,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,126,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,160,3,0,0.2,,1000,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,108,3,0,0.3,,1000,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,107,3,0,0.4,,1000,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,162,3,0,0.5,,1000,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,218,3,0,0.6,,1000,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,23,3,0,0.7,,1000,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,1000,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,1000,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,6,3,0,0.999,,1000,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,265,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,127,3,0,0.2,,1100,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,168,3,0,0.3,,1100,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.4,,1100,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.5,,1100,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,106,3,0,0.6,,1100,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,7,3,0,0.7,,1100,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,1100,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,1100,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,6,3,0,0.999,,1100,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,197,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,160,3,0,0.2,,1200,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,140,3,0,0.3,,1200,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.4,,1200,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.5,,1200,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.6,,1200,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,7,3,0,0.7,,1200,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,1200,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,1200,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,6,3,0,0.999,,1200,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,127,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,246,3,0,0.2,,1300,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,163,3,0,0.3,,1300,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,107,3,0,0.4,,1300,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,107,3,0,0.5,,1300,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.6,,1300,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,6,3,0,0.7,,1300,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,1300,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,1300,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,6,3,0,0.999,,1300,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,208,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,144,3,0,0.2,,1400,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,224,3,0,0.3,,1400,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,177,3,0,0.4,,1400,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.5,,1400,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,159,3,0,0.6,,1400,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,7,3,0,0.7,,1400,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,1400,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,1400,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,7,3,0,0.999,,1400,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,127,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,127,3,0,0.2,,1500,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,108,3,0,0.3,,1500,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,107,3,0,0.4,,1500,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,123,3,0,0.5,,1500,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,221,3,0,0.6,,1500,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,6,3,0,0.7,,1500,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,1500,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,1500,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,6,3,0,0.999,,1500,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,127,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,213,3,0,0.2,,1600,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,220,3,0,0.3,,1600,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.4,,1600,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.5,,1600,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,162,3,0,0.6,,1600,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,7,3,0,0.7,,1600,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,1600,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,1600,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,6,3,0,0.999,,1600,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,128,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,281,3,0,0.2,,1700,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,140,3,0,0.3,,1700,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.4,,1700,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.5,,1700,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,107,3,0,0.6,,1700,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,6,3,0,0.7,,1700,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,1700,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,7,3,0,0.899,,1700,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,7,3,0,0.999,,1700,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,256,3,0,0.1,,1800,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,127,3,0,0.2,,1800,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,164,3,0,0.3,,1800,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,124,3,0,0.4,,1800,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,163,3,0,0.5,,1800,,,,,1,,,
ClassicGumtree,85,29,43,24,6,12,0,0,108,3,0,0.6,,1800,,,,,1,,,
ClassicGumtree,123,19,63,44,0,16,0,0,6,3,0,0.7,,1800,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.799,,1800,,,,,1,,,
ClassicGumtree,125,18,64,45,0,16,0,0,6,3,0,0.899,,1800,,,,,1,,,
ClassicGumtree,176,67,65,46,0,65,0,0,6,3,0,0.999,,1800,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,128,3,0,0.1,,1900,,,,,1,,,
ClassicGumtree,80,35,39,20,7,14,0,0,192,3,0,0.2,,1900,,,,,1,,,
ClassicGumtree,84,32,42,23,6,13,0,0,108,3,0,0.3,,1900,,,,,1,,,
