MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,19,9,6,9,0,4,0,0,3,2,0,,0.1,,,,,,1,,,
SimpleGumtree,19,9,6,9,0,4,0,0,3,2,0,,0.3,,,,,,1,,,
SimpleGumtree,19,9,6,9,0,4,0,0,4,2,0,,0.5,,,,,,1,,,
SimpleGumtree,19,9,6,9,0,4,0,0,3,2,0,,0.7,,,,,,1,,,
SimpleGumtree,19,9,6,9,0,4,0,0,3,2,0,,0.899,,,,,,1,,,
SimpleGumtree,24,8,9,12,0,3,0,0,4,2,0,,0.1,,,,,,2,,,
SimpleGumtree,24,8,9,12,0,3,0,0,2,2,0,,0.3,,,,,,2,,,
SimpleGumtree,24,8,9,12,0,3,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,24,8,9,12,0,3,0,0,2,2,0,,0.7,,,,,,2,,,
SimpleGumtree,24,8,9,12,0,3,0,0,3,2,0,,0.899,,,,,,2,,,
SimpleGumtree,33,8,14,17,0,2,0,0,2,2,0,,0.1,,,,,,3,,,
SimpleGumtree,33,8,14,17,0,2,0,0,3,2,0,,0.3,,,,,,3,,,
SimpleGumtree,33,8,14,17,0,2,0,0,3,2,0,,0.5,,,,,,3,,,
SimpleGumtree,33,8,14,17,0,2,0,0,3,2,0,,0.7,,,,,,3,,,
SimpleGumtree,33,8,14,17,0,2,0,0,3,2,0,,0.899,,,,,,3,,,
SimpleGumtree,80,6,38,41,0,1,0,0,2,2,0,,0.1,,,,,,4,,,
SimpleGumtree,80,6,38,41,0,1,0,0,2,2,0,,0.3,,,,,,4,,,
SimpleGumtree,80,6,38,41,0,1,0,0,2,2,0,,0.5,,,,,,4,,,
SimpleGumtree,80,6,38,41,0,1,0,0,2,2,0,,0.7,,,,,,4,,,
SimpleGumtree,80,6,38,41,0,1,0,0,2,2,0,,0.899,,,,,,4,,,
SimpleGumtree,80,6,38,41,0,1,0,0,3,2,0,,0.1,,,,,,5,,,
SimpleGumtree,80,6,38,41,0,1,0,0,3,2,0,,0.3,,,,,,5,,,
SimpleGumtree,80,6,38,41,0,1,0,0,3,2,0,,0.5,,,,,,5,,,
SimpleGumtree,80,6,38,41,0,1,0,0,3,2,0,,0.7,,,,,,5,,,
SimpleGumtree,80,6,38,41,0,1,0,0,2,2,0,,0.899,,,,,,5,,,
ClassicGumtree,25,10,9,12,0,4,0,0,7,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,7,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,7,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,6,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,8,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,467,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,563,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,452,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,631,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,616,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,429,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,678,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,461,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,491,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,680,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,410,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,336,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,410,3,0,0.1,,1800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,408,3,0,0.1,,1900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,409,3,0,0.1,,2000,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.2,,300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.2,,400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,3,3,0,0.2,,500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,410,3,0,0.2,,600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,344,3,0,0.2,,700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,408,3,0,0.2,,800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,402,3,0,0.2,,900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,372,3,0,0.2,,1000,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,361,3,0,0.2,,1100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,408,3,0,0.2,,1200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,411,3,0,0.2,,1300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,410,3,0,0.2,,1400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,405,3,0,0.2,,1500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,388,3,0,0.2,,1600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,404,3,0,0.2,,1700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,402,3,0,0.2,,1800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,395,3,0,0.2,,1900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,397,3,0,0.2,,2000,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,3,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,3,3,0,0.3,,300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.3,,400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.3,,500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,398,3,0,0.3,,600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,385,3,0,0.3,,700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,387,3,0,0.3,,800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,381,3,0,0.3,,900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.3,,1000,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,385,3,0,0.3,,1100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,384,3,0,0.3,,1200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.3,,1300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,381,3,0,0.3,,1400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,381,3,0,0.3,,1500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,382,3,0,0.3,,1600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.3,,1700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.3,,1800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.3,,1900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.3,,2000,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,3,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,3,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,3,3,0,0.4,,300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.4,,400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,3,3,0,0.4,,500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.4,,600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.4,,700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,384,3,0,0.4,,800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.4,,900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.4,,1000,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,379,3,0,0.4,,1100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,395,3,0,0.4,,1200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.4,,1300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,387,3,0,0.4,,1400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,387,3,0,0.4,,1500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,381,3,0,0.4,,1600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,386,3,0,0.4,,1700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,387,3,0,0.4,,1800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,381,3,0,0.4,,1900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,381,3,0,0.4,,2000,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,3,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.5,,300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,3,3,0,0.5,,400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.5,,500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,379,3,0,0.5,,600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,384,3,0,0.5,,700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.5,,800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.5,,900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,382,3,0,0.5,,1000,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.5,,1100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,390,3,0,0.5,,1200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,395,3,0,0.5,,1300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,390,3,0,0.5,,1400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,391,3,0,0.5,,1500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,392,3,0,0.5,,1600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,395,3,0,0.5,,1700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,395,3,0,0.5,,1800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,392,3,0,0.5,,1900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,395,3,0,0.5,,2000,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,3,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.6,,300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,11,3,0,0.6,,400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,3,3,0,0.6,,500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,389,3,0,0.6,,600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,384,3,0,0.6,,700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,390,3,0,0.6,,800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,389,3,0,0.6,,900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,389,3,0,0.6,,1000,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,388,3,0,0.6,,1100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.6,,1200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.6,,1300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.6,,1400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,382,3,0,0.6,,1500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,384,3,0,0.6,,1600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.6,,1700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.6,,1800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,386,3,0,0.6,,1900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,382,3,0,0.6,,2000,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,3,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.7,,300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,3,3,0,0.7,,400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,4,3,0,0.7,,500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.7,,600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.7,,700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.7,,800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,384,3,0,0.7,,900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,382,3,0,0.7,,1000,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.7,,1100,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,384,3,0,0.7,,1200,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,381,3,0,0.7,,1300,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.7,,1400,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.7,,1500,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.7,,1600,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.7,,1700,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,380,3,0,0.7,,1800,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.7,,1900,,,,,1,,,
ClassicGumtree,25,10,9,12,0,4,0,0,383,3,0,0.7,,2000,,,,,1,,,
ClassicGumtree,33,12,11,14,0,8,0,0,3,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,33,12,11,14,0,8,0,0,2,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,33,12,11,14,0,8,0,0,3,3,0,0.799,,300,,,,,1,,,
ClassicGumtree,33,12,11,14,0,8,0,0,2,3,0,0.799,,400,,,,,1,,,
ClassicGumtree,33,12,11,14,0,8,0,0,3,3,0,0.799,,500,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,379,3,0,0.799,,600,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,383,3,0,0.799,,700,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,380,3,0,0.799,,800,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,383,3,0,0.799,,900,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,380,3,0,0.799,,1000,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,391,3,0,0.799,,1100,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,388,3,0,0.799,,1200,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,390,3,0,0.799,,1300,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,391,3,0,0.799,,1400,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,392,3,0,0.799,,1500,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,391,3,0,0.799,,1600,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,390,3,0,0.799,,1700,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,389,3,0,0.799,,1800,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,391,3,0,0.799,,1900,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,387,3,0,0.799,,2000,,,,,1,,,
ClassicGumtree,33,12,11,14,0,8,0,0,2,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,33,12,11,14,0,8,0,0,3,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,33,12,11,14,0,8,0,0,2,3,0,0.899,,300,,,,,1,,,
ClassicGumtree,33,12,11,14,0,8,0,0,3,3,0,0.899,,400,,,,,1,,,
ClassicGumtree,33,12,11,14,0,8,0,0,3,3,0,0.899,,500,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,379,3,0,0.899,,600,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,379,3,0,0.899,,700,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,382,3,0,0.899,,800,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,383,3,0,0.899,,900,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,383,3,0,0.899,,1000,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,379,3,0,0.899,,1100,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,383,3,0,0.899,,1200,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,379,3,0,0.899,,1300,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,383,3,0,0.899,,1400,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,379,3,0,0.899,,1500,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,380,3,0,0.899,,1600,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,379,3,0,0.899,,1700,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,382,3,0,0.899,,1800,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,383,3,0,0.899,,1900,,,,,1,,,
ClassicGumtree,32,13,10,13,0,9,0,0,383,3,0,0.899,,2000,,,,,1,,,
ClassicGumtree,68,39,14,17,0,37,0,0,2,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,68,39,14,17,0,37,0,0,1,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,68,39,14,17,0,37,0,0,1,3,0,0.999,,300,,,,,1,,,
ClassicGumtree,68,39,14,17,0,37,0,0,1,3,0,0.999,,400,,,,,1,,,
ClassicGumtree,68,39,14,17,0,37,0,0,1,3,0,0.999,,500,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,189,3,0,0.999,,600,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,190,3,0,0.999,,700,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,190,3,0,0.999,,800,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,191,3,0,0.999,,900,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,189,3,0,0.999,,1000,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,190,3,0,0.999,,1100,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,192,3,0,0.999,,1200,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,190,3,0,0.999,,1300,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,189,3,0,0.999,,1400,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,190,3,0,0.999,,1500,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,191,3,0,0.999,,1600,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,191,3,0,0.999,,1700,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,190,3,0,0.999,,1800,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,192,3,0,0.999,,1900,,,,,1,,,
ClassicGumtree,39,16,12,15,0,12,0,0,191,3,0,0.999,,2000,,,,,1,,,
ClassicGumtree,31,16,11,14,0,6,0,0,3,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,31,16,11,14,0,6,0,0,4,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,31,16,11,14,0,6,0,0,3,3,0,0.1,,300,,,,,2,,,
