MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,73,25,37,18,6,12,0,0,6,2,0,,0.1,,,,,,1,,,
SimpleGumtree,73,25,37,18,6,12,0,0,4,2,0,,0.3,,,,,,1,,,
SimpleGumtree,73,25,37,18,6,12,0,0,5,2,0,,0.5,,,,,,1,,,
SimpleGumtree,73,25,37,18,6,12,0,0,5,2,0,,0.7,,,,,,1,,,
SimpleGumtree,73,25,37,18,6,12,0,0,7,2,0,,0.899,,,,,,1,,,
SimpleGumtree,81,17,47,28,2,4,0,0,6,2,0,,0.1,,,,,,2,,,
SimpleGumtree,81,17,47,28,2,4,0,0,5,2,0,,0.3,,,,,,2,,,
SimpleGumtree,81,17,47,28,2,4,0,0,5,2,0,,0.5,,,,,,2,,,
SimpleGumtree,81,17,47,28,2,4,0,0,4,2,0,,0.7,,,,,,2,,,
SimpleGumtree,81,17,47,28,2,4,0,0,6,2,0,,0.899,,,,,,2,,,
SimpleGumtree,81,17,47,28,2,4,0,0,4,2,0,,0.1,,,,,,3,,,
SimpleGumtree,81,17,47,28,2,4,0,0,4,2,0,,0.3,,,,,,3,,,
SimpleGumtree,81,17,47,28,2,4,0,0,7,2,0,,0.5,,,,,,3,,,
SimpleGumtree,81,17,47,28,2,4,0,0,6,2,0,,0.7,,,,,,3,,,
SimpleGumtree,81,17,47,28,2,4,0,0,4,2,0,,0.899,,,,,,3,,,
SimpleGumtree,565,3,292,273,0,0,0,0,4,2,0,,0.1,,,,,,4,,,
SimpleGumtree,565,3,292,273,0,0,0,0,5,2,0,,0.3,,,,,,4,,,
SimpleGumtree,565,3,292,273,0,0,0,0,4,2,0,,0.5,,,,,,4,,,
SimpleGumtree,565,3,292,273,0,0,0,0,5,2,0,,0.7,,,,,,4,,,
SimpleGumtree,565,3,292,273,0,0,0,0,5,2,0,,0.899,,,,,,4,,,
SimpleGumtree,565,3,292,273,0,0,0,0,3,2,0,,0.1,,,,,,5,,,
SimpleGumtree,565,3,292,273,0,0,0,0,5,2,0,,0.3,,,,,,5,,,
SimpleGumtree,565,3,292,273,0,0,0,0,3,2,0,,0.5,,,,,,5,,,
SimpleGumtree,565,3,292,273,0,0,0,0,4,2,0,,0.7,,,,,,5,,,
SimpleGumtree,565,3,292,273,0,0,0,0,5,2,0,,0.899,,,,,,5,,,
ClassicGumtree,71,31,34,15,6,16,0,0,7,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,71,31,34,15,6,16,0,0,10,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,71,31,34,15,6,16,0,0,10,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,71,31,34,15,6,16,0,0,12,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,69,25,38,19,2,10,0,0,6,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,69,25,38,19,2,10,0,0,9,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,93,29,48,29,2,14,0,0,8,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,101,19,56,37,0,8,0,0,5,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,147,53,58,39,0,50,0,0,5,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,160,63,59,40,0,61,0,0,4,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,161,53,85,66,2,8,0,0,6,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,161,53,85,66,2,8,0,0,6,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,161,53,85,66,2,8,0,0,9,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,161,53,85,66,2,8,0,0,9,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,201,53,105,86,2,8,0,0,6,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,201,53,105,86,2,8,0,0,5,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,234,48,107,88,2,37,0,0,7,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,242,38,115,96,0,31,0,0,6,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,253,42,116,97,0,40,0,0,5,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,253,42,116,97,0,40,0,0,5,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,403,101,206,187,2,8,0,0,5,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,403,101,206,187,2,8,0,0,5,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,403,101,206,187,2,8,0,0,8,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,406,98,207,188,2,9,0,0,9,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,455,33,228,209,2,16,0,0,5,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,455,33,228,209,2,16,0,0,5,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,455,33,228,209,2,16,0,0,6,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,471,18,237,218,0,16,0,0,4,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,471,18,237,218,0,16,0,0,6,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,471,18,237,218,0,16,0,0,4,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,665,17,342,323,0,0,0,0,3,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,665,17,342,323,0,0,0,0,3,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,665,17,342,323,0,0,0,0,2,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,665,17,342,323,0,0,0,0,2,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,665,17,342,323,0,0,0,0,4,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,665,17,342,323,0,0,0,0,4,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,671,6,343,324,0,4,0,0,4,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,671,6,343,324,0,4,0,0,5,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,671,6,343,324,0,4,0,0,3,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,671,6,343,324,0,4,0,0,3,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,665,17,342,323,0,0,0,0,5,3,0,0.1,,100,,,,,5,,,
