MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,52,9,36,10,2,4,0,0,6,2,0,,0.1,,,,,,1,,,
SimpleGumtree,52,9,36,10,2,4,0,0,16,2,0,,0.3,,,,,,1,,,
SimpleGumtree,52,9,36,10,2,4,0,0,6,2,0,,0.5,,,,,,1,,,
SimpleGumtree,52,9,36,10,2,4,0,0,18,2,0,,0.7,,,,,,1,,,
SimpleGumtree,52,9,36,10,2,4,0,0,10,2,0,,0.899,,,,,,1,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.1,,,,,,2,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.3,,,,,,2,,,
SimpleGumtree,66,5,46,20,0,0,0,0,5,2,0,,0.5,,,,,,2,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.7,,,,,,2,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.899,,,,,,2,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.1,,,,,,3,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.3,,,,,,3,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.5,,,,,,3,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.7,,,,,,3,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.899,,,,,,3,,,
SimpleGumtree,66,5,46,20,0,0,0,0,5,2,0,,0.1,,,,,,4,,,
SimpleGumtree,66,5,46,20,0,0,0,0,5,2,0,,0.3,,,,,,4,,,
SimpleGumtree,66,5,46,20,0,0,0,0,5,2,0,,0.5,,,,,,4,,,
SimpleGumtree,66,5,46,20,0,0,0,0,5,2,0,,0.7,,,,,,4,,,
SimpleGumtree,66,5,46,20,0,0,0,0,5,2,0,,0.899,,,,,,4,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.1,,,,,,5,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.3,,,,,,5,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.5,,,,,,5,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.7,,,,,,5,,,
SimpleGumtree,66,5,46,20,0,0,0,0,6,2,0,,0.899,,,,,,5,,,
ClassicGumtree,56,13,38,12,2,4,0,0,5,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,188,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,212,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,159,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,201,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,163,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,168,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,153,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,155,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,156,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,146,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,70,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,78,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,7869,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,7077,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,6672,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,6378,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,6135,3,0,0.1,,1800,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,7003,3,0,0.1,,1900,,,,,1,,,
ClassicGumtree,52,9,36,10,2,4,0,0,8022,3,0,0.1,,2000,,,,,1,,,
ClassicGumtree,110,23,68,42,0,0,0,0,5,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,67,7,46,20,0,1,0,0,78,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,67,7,46,20,0,1,0,0,69,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,67,7,46,20,0,1,0,0,78,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,67,7,46,20,0,1,0,0,78,3,0,0.1,,500,,,,,2,,,
ClassicGumtree,67,7,46,20,0,1,0,0,71,3,0,0.1,,600,,,,,2,,,
ClassicGumtree,67,7,46,20,0,1,0,0,78,3,0,0.1,,700,,,,,2,,,
ClassicGumtree,67,7,46,20,0,1,0,0,69,3,0,0.1,,800,,,,,2,,,
ClassicGumtree,67,7,46,20,0,1,0,0,79,3,0,0.1,,900,,,,,2,,,
ClassicGumtree,67,7,46,20,0,1,0,0,79,3,0,0.1,,1000,,,,,2,,,
ClassicGumtree,67,7,46,20,0,1,0,0,70,3,0,0.1,,1100,,,,,2,,,
ClassicGumtree,67,7,46,20,0,1,0,0,79,3,0,0.1,,1200,,,,,2,,,
ClassicGumtree,67,7,46,20,0,1,0,0,79,3,0,0.1,,1300,,,,,2,,,
ClassicGumtree,63,5,44,18,0,1,0,0,6369,3,0,0.1,,1400,,,,,2,,,
ClassicGumtree,63,5,44,18,0,1,0,0,6230,3,0,0.1,,1500,,,,,2,,,
ClassicGumtree,63,5,44,18,0,1,0,0,6641,3,0,0.1,,1600,,,,,2,,,
ClassicGumtree,63,5,44,18,0,1,0,0,7552,3,0,0.1,,1700,,,,,2,,,
ClassicGumtree,63,5,44,18,0,1,0,0,7376,3,0,0.1,,1800,,,,,2,,,
ClassicGumtree,63,5,44,18,0,1,0,0,8355,3,0,0.1,,1900,,,,,2,,,
ClassicGumtree,63,5,44,18,0,1,0,0,6499,3,0,0.1,,2000,,,,,2,,,
ClassicGumtree,184,39,105,79,0,0,0,0,5,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,67,7,46,20,0,1,0,0,69,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,67,7,46,20,0,1,0,0,69,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,67,7,46,20,0,1,0,0,69,3,0,0.1,,400,,,,,3,,,
ClassicGumtree,67,7,46,20,0,1,0,0,69,3,0,0.1,,500,,,,,3,,,
ClassicGumtree,67,7,46,20,0,1,0,0,69,3,0,0.1,,600,,,,,3,,,
ClassicGumtree,67,7,46,20,0,1,0,0,70,3,0,0.1,,700,,,,,3,,,
ClassicGumtree,67,7,46,20,0,1,0,0,122,3,0,0.1,,800,,,,,3,,,
ClassicGumtree,67,7,46,20,0,1,0,0,69,3,0,0.1,,900,,,,,3,,,
ClassicGumtree,67,7,46,20,0,1,0,0,79,3,0,0.1,,1000,,,,,3,,,
ClassicGumtree,67,7,46,20,0,1,0,0,70,3,0,0.1,,1100,,,,,3,,,
ClassicGumtree,67,7,46,20,0,1,0,0,69,3,0,0.1,,1200,,,,,3,,,
ClassicGumtree,67,7,46,20,0,1,0,0,151,3,0,0.1,,1300,,,,,3,,,
ClassicGumtree,63,5,44,18,0,1,0,0,5842,3,0,0.1,,1400,,,,,3,,,
ClassicGumtree,63,5,44,18,0,1,0,0,5964,3,0,0.1,,1500,,,,,3,,,
ClassicGumtree,63,5,44,18,0,1,0,0,5450,3,0,0.1,,1600,,,,,3,,,
ClassicGumtree,63,5,44,18,0,1,0,0,8255,3,0,0.1,,1700,,,,,3,,,
ClassicGumtree,63,5,44,18,0,1,0,0,5837,3,0,0.1,,1800,,,,,3,,,
ClassicGumtree,63,5,44,18,0,1,0,0,7371,3,0,0.1,,1900,,,,,3,,,
ClassicGumtree,63,5,44,18,0,1,0,0,6140,3,0,0.1,,2000,,,,,3,,,
ClassicGumtree,322,51,174,148,0,0,0,0,5,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,121,15,71,45,4,1,0,0,79,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,121,15,71,45,4,1,0,0,80,3,0,0.1,,300,,,,,4,,,
ClassicGumtree,121,15,71,45,4,1,0,0,92,3,0,0.1,,400,,,,,4,,,
ClassicGumtree,121,15,71,45,4,1,0,0,95,3,0,0.1,,500,,,,,4,,,
ClassicGumtree,121,15,71,45,4,1,0,0,69,3,0,0.1,,600,,,,,4,,,
ClassicGumtree,121,15,71,45,4,1,0,0,94,3,0,0.1,,700,,,,,4,,,
ClassicGumtree,121,15,71,45,4,1,0,0,79,3,0,0.1,,800,,,,,4,,,
ClassicGumtree,121,15,71,45,4,1,0,0,79,3,0,0.1,,900,,,,,4,,,
ClassicGumtree,121,15,71,45,4,1,0,0,79,3,0,0.1,,1000,,,,,4,,,
ClassicGumtree,121,15,71,45,4,1,0,0,79,3,0,0.1,,1100,,,,,4,,,
ClassicGumtree,121,15,71,45,4,1,0,0,78,3,0,0.1,,1200,,,,,4,,,
