MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,116,6,116,0,0,0,0,0,3,2,0,,0.1,,,,,,1,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.1,,,,,,2,,,
SimpleGumtree,116,6,116,0,0,0,0,0,3,2,0,,0.1,,,,,,3,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.1,,,,,,4,,,
SimpleGumtree,116,6,116,0,0,0,0,0,3,2,0,,0.1,,,,,,5,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.3,,,,,,1,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.3,,,,,,2,,,
SimpleGumtree,116,6,116,0,0,0,0,0,3,2,0,,0.3,,,,,,3,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.3,,,,,,4,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.3,,,,,,5,,,
SimpleGumtree,116,6,116,0,0,0,0,0,3,2,0,,0.5,,,,,,1,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.5,,,,,,3,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.5,,,,,,4,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.5,,,,,,5,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.7,,,,,,1,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.7,,,,,,2,,,
SimpleGumtree,116,6,116,0,0,0,0,0,3,2,0,,0.7,,,,,,3,,,
SimpleGumtree,116,6,116,0,0,0,0,0,3,2,0,,0.7,,,,,,4,,,
SimpleGumtree,116,6,116,0,0,0,0,0,3,2,0,,0.7,,,,,,5,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.899,,,,,,1,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.899,,,,,,2,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.899,,,,,,3,,,
SimpleGumtree,116,6,116,0,0,0,0,0,2,2,0,,0.899,,,,,,4,,,
SimpleGumtree,116,6,116,0,0,0,0,0,3,2,0,,0.899,,,,,,5,,,
ClassicGumtree,126,16,121,5,0,0,0,0,2,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,178,34,147,31,0,0,0,0,2,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,262,50,189,73,0,0,0,0,3,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,318,58,217,101,0,0,0,0,2,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,412,62,264,148,0,0,0,0,2,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,48,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,36,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,174,16,145,29,0,0,0,0,65,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,174,16,145,29,0,0,0,0,72,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,268,20,192,76,0,0,0,0,61,3,0,0.1,,200,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,65,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,69,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,174,16,145,29,0,0,0,0,67,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,174,16,145,29,0,0,0,0,64,3,0,0.1,,300,,,,,4,,,
ClassicGumtree,268,20,192,76,0,0,0,0,44,3,0,0.1,,300,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,45,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,48,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,174,16,145,29,0,0,0,0,64,3,0,0.1,,400,,,,,3,,,
ClassicGumtree,174,16,145,29,0,0,0,0,69,3,0,0.1,,400,,,,,4,,,
ClassicGumtree,268,20,192,76,0,0,0,0,57,3,0,0.1,,400,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,56,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,85,3,0,0.1,,500,,,,,2,,,
ClassicGumtree,174,16,145,29,0,0,0,0,47,3,0,0.1,,500,,,,,3,,,
ClassicGumtree,174,16,145,29,0,0,0,0,87,3,0,0.1,,500,,,,,4,,,
ClassicGumtree,268,20,192,76,0,0,0,0,82,3,0,0.1,,500,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,62,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,104,3,0,0.1,,600,,,,,2,,,
ClassicGumtree,174,16,145,29,0,0,0,0,49,3,0,0.1,,600,,,,,3,,,
ClassicGumtree,174,16,145,29,0,0,0,0,30,3,0,0.1,,600,,,,,4,,,
ClassicGumtree,268,20,192,76,0,0,0,0,60,3,0,0.1,,600,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3173,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3148,3,0,0.1,,700,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2416,3,0,0.1,,700,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3622,3,0,0.1,,700,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3136,3,0,0.1,,700,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3989,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3587,3,0,0.1,,800,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,4000,3,0,0.1,,800,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3428,3,0,0.1,,800,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1875,3,0,0.1,,800,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1626,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3818,3,0,0.1,,900,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1388,3,0,0.1,,900,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2238,3,0,0.1,,900,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2808,3,0,0.1,,900,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2688,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2237,3,0,0.1,,1000,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,4524,3,0,0.1,,1000,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2592,3,0,0.1,,1000,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3972,3,0,0.1,,1000,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3856,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3095,3,0,0.1,,1100,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2468,3,0,0.1,,1100,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3075,3,0,0.1,,1100,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2469,3,0,0.1,,1100,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,4070,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,5010,3,0,0.1,,1200,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3748,3,0,0.1,,1200,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3044,3,0,0.1,,1200,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2272,3,0,0.1,,1200,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2271,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2279,3,0,0.1,,1300,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3575,3,0,0.1,,1300,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2277,3,0,0.1,,1300,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2522,3,0,0.1,,1300,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2545,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1849,3,0,0.1,,1400,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1826,3,0,0.1,,1400,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2553,3,0,0.1,,1400,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1848,3,0,0.1,,1400,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1847,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1848,3,0,0.1,,1500,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3525,3,0,0.1,,1500,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1548,3,0,0.1,,1500,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2423,3,0,0.1,,1500,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2215,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2069,3,0,0.1,,1600,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1849,3,0,0.1,,1600,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1848,3,0,0.1,,1600,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2051,3,0,0.1,,1600,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2439,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3563,3,0,0.1,,1700,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1555,3,0,0.1,,1700,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1888,3,0,0.1,,1700,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1897,3,0,0.1,,1700,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2902,3,0,0.1,,1800,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3287,3,0,0.1,,1800,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1886,3,0,0.1,,1800,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2412,3,0,0.1,,1800,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3119,3,0,0.1,,1800,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3029,3,0,0.1,,1900,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2614,3,0,0.1,,1900,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3230,3,0,0.1,,1900,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2004,3,0,0.1,,1900,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,3173,3,0,0.1,,1900,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,1866,3,0,0.1,,2000,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2649,3,0,0.1,,2000,,,,,2,,,
ClassicGumtree,116,6,116,0,0,0,0,0,4315,3,0,0.1,,2000,,,,,3,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2271,3,0,0.1,,2000,,,,,4,,,
ClassicGumtree,116,6,116,0,0,0,0,0,2832,3,0,0.1,,2000,,,,,5,,,
ClassicGumtree,126,16,121,5,0,0,0,0,2,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,178,34,147,31,0,0,0,0,2,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,262,50,189,73,0,0,0,0,2,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,318,58,217,101,0,0,0,0,3,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,412,62,264,148,0,0,0,0,2,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,60,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,34,3,0,0.2,,200,,,,,2,,,
ClassicGumtree,174,16,145,29,0,0,0,0,60,3,0,0.2,,200,,,,,3,,,
ClassicGumtree,174,16,145,29,0,0,0,0,34,3,0,0.2,,200,,,,,4,,,
ClassicGumtree,268,20,192,76,0,0,0,0,61,3,0,0.2,,200,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,34,3,0,0.2,,300,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,34,3,0,0.2,,300,,,,,2,,,
ClassicGumtree,174,16,145,29,0,0,0,0,44,3,0,0.2,,300,,,,,3,,,
ClassicGumtree,174,16,145,29,0,0,0,0,34,3,0,0.2,,300,,,,,4,,,
ClassicGumtree,268,20,192,76,0,0,0,0,60,3,0,0.2,,300,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,34,3,0,0.2,,400,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,34,3,0,0.2,,400,,,,,2,,,
ClassicGumtree,174,16,145,29,0,0,0,0,35,3,0,0.2,,400,,,,,3,,,
ClassicGumtree,174,16,145,29,0,0,0,0,35,3,0,0.2,,400,,,,,4,,,
ClassicGumtree,268,20,192,76,0,0,0,0,61,3,0,0.2,,400,,,,,5,,,
ClassicGumtree,116,6,116,0,0,0,0,0,34,3,0,0.2,,500,,,,,1,,,
ClassicGumtree,116,6,116,0,0,0,0,0,34,3,0,0.2,,500,,,,,2,,,
