MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,110,41,72,30,0,8,0,0,3,2,0,,0.1,,,,,,1,,,
SimpleGumtree,110,41,72,30,0,8,0,0,2,2,0,,0.3,,,,,,1,,,
SimpleGumtree,110,41,72,30,0,8,0,0,2,2,0,,0.5,,,,,,1,,,
SimpleGumtree,110,41,72,30,0,8,0,0,2,2,0,,0.7,,,,,,1,,,
SimpleGumtree,110,41,72,30,0,8,0,0,2,2,0,,0.899,,,,,,1,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.1,,,,,,2,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.3,,,,,,2,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.5,,,,,,2,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.7,,,,,,2,,,
SimpleGumtree,174,7,108,66,0,0,0,0,1,2,0,,0.899,,,,,,2,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.1,,,,,,3,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.5,,,,,,3,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.7,,,,,,3,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.899,,,,,,3,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.1,,,,,,4,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.3,,,,,,4,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.5,,,,,,4,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.7,,,,,,4,,,
SimpleGumtree,174,7,108,66,0,0,0,0,2,2,0,,0.899,,,,,,4,,,
SimpleGumtree,174,7,108,66,0,0,0,0,1,2,0,,0.1,,,,,,5,,,
SimpleGumtree,174,7,108,66,0,0,0,0,1,2,0,,0.3,,,,,,5,,,
SimpleGumtree,174,7,108,66,0,0,0,0,1,2,0,,0.5,,,,,,5,,,
SimpleGumtree,174,7,108,66,0,0,0,0,1,2,0,,0.7,,,,,,5,,,
SimpleGumtree,174,7,108,66,0,0,0,0,1,2,0,,0.899,,,,,,5,,,
ClassicGumtree,109,47,70,28,1,10,0,0,43,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,109,47,70,28,1,10,0,0,42,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,109,47,70,28,1,10,0,0,71,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,109,47,70,28,1,10,0,0,42,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,120,41,73,31,1,15,0,0,39,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,120,41,73,31,1,15,0,0,57,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,131,22,79,37,1,14,0,0,61,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,152,28,85,43,1,23,0,0,14,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,163,36,86,44,1,32,0,0,14,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,165,33,88,46,0,31,0,0,2,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,189,20,114,72,1,2,0,0,61,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,189,20,114,72,1,2,0,0,61,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,189,20,114,72,1,2,0,0,61,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,189,20,114,72,1,2,0,0,34,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,189,20,114,72,1,2,0,0,34,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,189,20,114,72,1,2,0,0,34,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,222,17,125,83,1,13,0,0,7,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,222,17,125,83,1,13,0,0,8,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,222,17,125,83,1,13,0,0,13,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,224,14,127,85,0,12,0,0,1,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,237,28,138,96,1,2,0,0,34,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,237,28,138,96,1,2,0,0,61,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,237,28,138,96,1,2,0,0,50,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,237,28,138,96,1,2,0,0,47,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,237,28,138,96,1,2,0,0,58,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,237,28,138,96,1,2,0,0,34,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,273,12,153,111,1,8,0,0,8,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,273,12,153,111,1,8,0,0,8,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,273,12,153,111,1,8,0,0,13,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,275,9,155,113,0,7,0,0,1,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,335,34,187,145,1,2,0,0,43,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,335,34,187,145,1,2,0,0,34,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,335,34,187,145,1,2,0,0,61,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,340,24,188,146,1,5,0,0,35,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,340,24,188,146,1,5,0,0,35,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,368,9,202,160,1,5,0,0,6,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,368,9,202,160,1,5,0,0,8,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,368,9,202,160,1,5,0,0,7,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,370,6,204,162,0,4,0,0,1,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,335,34,187,145,1,2,0,0,34,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,335,34,187,145,1,2,0,0,61,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,335,34,187,145,1,2,0,0,28,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,335,34,187,145,1,2,0,0,34,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,340,24,188,146,1,5,0,0,34,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,340,24,188,146,1,5,0,0,35,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,368,9,202,160,1,5,0,0,7,3,0,0.7,,100,,,,,5,,,
ClassicGumtree,368,9,202,160,1,5,0,0,13,3,0,0.799,,100,,,,,5,,,
ClassicGumtree,368,9,202,160,1,5,0,0,8,3,0,0.899,,100,,,,,5,,,
ClassicGumtree,370,6,204,162,0,4,0,0,1,3,0,0.999,,100,,,,,5,,,
ClassicGumtree,107,45,69,27,1,10,0,0,118,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,107,45,69,27,1,10,0,0,68,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,107,45,69,27,1,10,0,0,68,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,107,45,69,27,1,10,0,0,55,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,118,39,72,30,1,15,0,0,109,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,118,39,72,30,1,15,0,0,61,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,129,20,78,36,1,14,0,0,60,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,152,28,85,43,1,23,0,0,8,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,163,36,86,44,1,32,0,0,7,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,165,33,88,46,0,31,0,0,1,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,169,10,104,62,1,2,0,0,61,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,169,10,104,62,1,2,0,0,61,3,0,0.2,,200,,,,,2,,,
ClassicGumtree,169,10,104,62,1,2,0,0,107,3,0,0.3,,200,,,,,2,,,
ClassicGumtree,169,10,104,62,1,2,0,0,49,3,0,0.4,,200,,,,,2,,,
ClassicGumtree,169,10,104,62,1,2,0,0,60,3,0,0.5,,200,,,,,2,,,
ClassicGumtree,169,10,104,62,1,2,0,0,60,3,0,0.6,,200,,,,,2,,,
ClassicGumtree,222,17,125,83,1,13,0,0,7,3,0,0.7,,200,,,,,2,,,
ClassicGumtree,222,17,125,83,1,13,0,0,8,3,0,0.799,,200,,,,,2,,,
ClassicGumtree,222,17,125,83,1,13,0,0,8,3,0,0.899,,200,,,,,2,,,
ClassicGumtree,224,14,127,85,0,12,0,0,1,3,0,0.999,,200,,,,,2,,,
ClassicGumtree,217,18,128,86,1,2,0,0,54,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,217,18,128,86,1,2,0,0,60,3,0,0.2,,200,,,,,3,,,
ClassicGumtree,217,18,128,86,1,2,0,0,60,3,0,0.3,,200,,,,,3,,,
ClassicGumtree,217,18,128,86,1,2,0,0,61,3,0,0.4,,200,,,,,3,,,
ClassicGumtree,217,18,128,86,1,2,0,0,50,3,0,0.5,,200,,,,,3,,,
ClassicGumtree,217,18,128,86,1,2,0,0,81,3,0,0.6,,200,,,,,3,,,
ClassicGumtree,273,12,153,111,1,8,0,0,13,3,0,0.7,,200,,,,,3,,,
ClassicGumtree,273,12,153,111,1,8,0,0,8,3,0,0.799,,200,,,,,3,,,
ClassicGumtree,273,12,153,111,1,8,0,0,8,3,0,0.899,,200,,,,,3,,,
ClassicGumtree,275,9,155,113,0,7,0,0,2,3,0,0.999,,200,,,,,3,,,
ClassicGumtree,303,22,171,129,1,2,0,0,107,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,303,22,171,129,1,2,0,0,60,3,0,0.2,,200,,,,,4,,,
ClassicGumtree,303,22,171,129,1,2,0,0,60,3,0,0.3,,200,,,,,4,,,
ClassicGumtree,303,22,171,129,1,2,0,0,49,3,0,0.4,,200,,,,,4,,,
ClassicGumtree,303,22,171,129,1,2,0,0,60,3,0,0.5,,200,,,,,4,,,
ClassicGumtree,308,12,172,130,1,5,0,0,61,3,0,0.6,,200,,,,,4,,,
ClassicGumtree,368,9,202,160,1,5,0,0,13,3,0,0.7,,200,,,,,4,,,
ClassicGumtree,368,9,202,160,1,5,0,0,7,3,0,0.799,,200,,,,,4,,,
ClassicGumtree,368,9,202,160,1,5,0,0,8,3,0,0.899,,200,,,,,4,,,
ClassicGumtree,370,6,204,162,0,4,0,0,1,3,0,0.999,,200,,,,,4,,,
ClassicGumtree,303,22,171,129,1,2,0,0,49,3,0,0.1,,200,,,,,5,,,
ClassicGumtree,303,22,171,129,1,2,0,0,108,3,0,0.2,,200,,,,,5,,,
ClassicGumtree,303,22,171,129,1,2,0,0,61,3,0,0.3,,200,,,,,5,,,
ClassicGumtree,303,22,171,129,1,2,0,0,49,3,0,0.4,,200,,,,,5,,,
ClassicGumtree,303,22,171,129,1,2,0,0,60,3,0,0.5,,200,,,,,5,,,
ClassicGumtree,308,12,172,130,1,5,0,0,61,3,0,0.6,,200,,,,,5,,,
ClassicGumtree,368,9,202,160,1,5,0,0,7,3,0,0.7,,200,,,,,5,,,
ClassicGumtree,368,9,202,160,1,5,0,0,7,3,0,0.799,,200,,,,,5,,,
ClassicGumtree,368,9,202,160,1,5,0,0,7,3,0,0.899,,200,,,,,5,,,
ClassicGumtree,370,6,204,162,0,4,0,0,1,3,0,0.999,,200,,,,,5,,,
ClassicGumtree,107,45,69,27,1,10,0,0,68,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,107,45,69,27,1,10,0,0,56,3,0,0.2,,300,,,,,1,,,
ClassicGumtree,107,45,69,27,1,10,0,0,68,3,0,0.3,,300,,,,,1,,,
ClassicGumtree,107,45,69,27,1,10,0,0,67,3,0,0.4,,300,,,,,1,,,
ClassicGumtree,118,39,72,30,1,15,0,0,61,3,0,0.5,,300,,,,,1,,,
ClassicGumtree,118,39,72,30,1,15,0,0,52,3,0,0.6,,300,,,,,1,,,
ClassicGumtree,129,20,78,36,1,14,0,0,87,3,0,0.7,,300,,,,,1,,,
ClassicGumtree,152,28,85,43,1,23,0,0,7,3,0,0.799,,300,,,,,1,,,
ClassicGumtree,163,36,86,44,1,32,0,0,7,3,0,0.899,,300,,,,,1,,,
ClassicGumtree,165,33,88,46,0,31,0,0,1,3,0,0.999,,300,,,,,1,,,
ClassicGumtree,169,10,104,62,1,2,0,0,52,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,169,10,104,62,1,2,0,0,61,3,0,0.2,,300,,,,,2,,,
ClassicGumtree,169,10,104,62,1,2,0,0,52,3,0,0.3,,300,,,,,2,,,
ClassicGumtree,169,10,104,62,1,2,0,0,73,3,0,0.4,,300,,,,,2,,,
ClassicGumtree,169,10,104,62,1,2,0,0,60,3,0,0.5,,300,,,,,2,,,
ClassicGumtree,169,10,104,62,1,2,0,0,60,3,0,0.6,,300,,,,,2,,,
ClassicGumtree,222,17,125,83,1,13,0,0,8,3,0,0.7,,300,,,,,2,,,
ClassicGumtree,222,17,125,83,1,13,0,0,8,3,0,0.799,,300,,,,,2,,,
ClassicGumtree,222,17,125,83,1,13,0,0,7,3,0,0.899,,300,,,,,2,,,
ClassicGumtree,224,14,127,85,0,12,0,0,1,3,0,0.999,,300,,,,,2,,,
ClassicGumtree,217,18,128,86,1,2,0,0,60,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,217,18,128,86,1,2,0,0,60,3,0,0.2,,300,,,,,3,,,
ClassicGumtree,217,18,128,86,1,2,0,0,52,3,0,0.3,,300,,,,,3,,,
ClassicGumtree,217,18,128,86,1,2,0,0,52,3,0,0.4,,300,,,,,3,,,
ClassicGumtree,217,18,128,86,1,2,0,0,53,3,0,0.5,,300,,,,,3,,,
ClassicGumtree,217,18,128,86,1,2,0,0,60,3,0,0.6,,300,,,,,3,,,
ClassicGumtree,273,12,153,111,1,8,0,0,8,3,0,0.7,,300,,,,,3,,,
ClassicGumtree,273,12,153,111,1,8,0,0,7,3,0,0.799,,300,,,,,3,,,
ClassicGumtree,273,12,153,111,1,8,0,0,8,3,0,0.899,,300,,,,,3,,,
ClassicGumtree,275,9,155,113,0,7,0,0,1,3,0,0.999,,300,,,,,3,,,
ClassicGumtree,303,22,171,129,1,2,0,0,61,3,0,0.1,,300,,,,,4,,,
ClassicGumtree,303,22,171,129,1,2,0,0,61,3,0,0.2,,300,,,,,4,,,
ClassicGumtree,303,22,171,129,1,2,0,0,61,3,0,0.3,,300,,,,,4,,,
ClassicGumtree,303,22,171,129,1,2,0,0,60,3,0,0.4,,300,,,,,4,,,
ClassicGumtree,303,22,171,129,1,2,0,0,52,3,0,0.5,,300,,,,,4,,,
ClassicGumtree,308,12,172,130,1,5,0,0,61,3,0,0.6,,300,,,,,4,,,
ClassicGumtree,368,9,202,160,1,5,0,0,8,3,0,0.7,,300,,,,,4,,,
ClassicGumtree,368,9,202,160,1,5,0,0,8,3,0,0.799,,300,,,,,4,,,
ClassicGumtree,368,9,202,160,1,5,0,0,7,3,0,0.899,,300,,,,,4,,,
ClassicGumtree,370,6,204,162,0,4,0,0,1,3,0,0.999,,300,,,,,4,,,
ClassicGumtree,303,22,171,129,1,2,0,0,52,3,0,0.1,,300,,,,,5,,,
ClassicGumtree,303,22,171,129,1,2,0,0,61,3,0,0.2,,300,,,,,5,,,
ClassicGumtree,303,22,171,129,1,2,0,0,52,3,0,0.3,,300,,,,,5,,,
ClassicGumtree,303,22,171,129,1,2,0,0,61,3,0,0.4,,300,,,,,5,,,
ClassicGumtree,303,22,171,129,1,2,0,0,53,3,0,0.5,,300,,,,,5,,,
ClassicGumtree,308,12,172,130,1,5,0,0,60,3,0,0.6,,300,,,,,5,,,
ClassicGumtree,368,9,202,160,1,5,0,0,8,3,0,0.7,,300,,,,,5,,,
ClassicGumtree,368,9,202,160,1,5,0,0,7,3,0,0.799,,300,,,,,5,,,
ClassicGumtree,368,9,202,160,1,5,0,0,8,3,0,0.899,,300,,,,,5,,,
ClassicGumtree,370,6,204,162,0,4,0,0,1,3,0,0.999,,300,,,,,5,,,
ClassicGumtree,107,45,69,27,1,10,0,0,296,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,107,45,69,27,1,10,0,0,278,3,0,0.2,,400,,,,,1,,,
ClassicGumtree,107,45,69,27,1,10,0,0,297,3,0,0.3,,400,,,,,1,,,
ClassicGumtree,107,45,69,27,1,10,0,0,295,3,0,0.4,,400,,,,,1,,,
ClassicGumtree,117,44,71,29,1,16,0,0,269,3,0,0.5,,400,,,,,1,,,
ClassicGumtree,117,44,71,29,1,16,0,0,269,3,0,0.6,,400,,,,,1,,,
ClassicGumtree,119,48,71,29,1,18,0,0,287,3,0,0.7,,400,,,,,1,,,
ClassicGumtree,140,58,76,34,1,29,0,0,236,3,0,0.799,,400,,,,,1,,,
ClassicGumtree,140,58,76,34,1,29,0,0,113,3,0,0.899,,400,,,,,1,,,
ClassicGumtree,140,58,76,34,1,29,0,0,118,3,0,0.999,,400,,,,,1,,,
ClassicGumtree,124,51,71,29,9,15,0,0,275,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,124,51,71,29,9,15,0,0,280,3,0,0.2,,400,,,,,2,,,
ClassicGumtree,124,51,71,29,9,15,0,0,285,3,0,0.3,,400,,,,,2,,,
ClassicGumtree,124,51,71,29,9,15,0,0,286,3,0,0.4,,400,,,,,2,,,
ClassicGumtree,124,51,71,29,9,15,0,0,285,3,0,0.5,,400,,,,,2,,,
ClassicGumtree,124,51,71,29,9,15,0,0,285,3,0,0.6,,400,,,,,2,,,
ClassicGumtree,151,61,80,38,9,24,0,0,118,3,0,0.7,,400,,,,,2,,,
ClassicGumtree,151,61,80,38,9,24,0,0,117,3,0,0.799,,400,,,,,2,,,
ClassicGumtree,151,61,80,38,9,24,0,0,117,3,0,0.899,,400,,,,,2,,,
ClassicGumtree,151,61,80,38,9,24,0,0,112,3,0,0.999,,400,,,,,2,,,
ClassicGumtree,124,51,71,29,9,15,0,0,285,3,0,0.1,,400,,,,,3,,,
ClassicGumtree,124,51,71,29,9,15,0,0,285,3,0,0.2,,400,,,,,3,,,
ClassicGumtree,124,51,71,29,9,15,0,0,284,3,0,0.3,,400,,,,,3,,,
ClassicGumtree,124,51,71,29,9,15,0,0,289,3,0,0.4,,400,,,,,3,,,
ClassicGumtree,124,51,71,29,9,15,0,0,284,3,0,0.5,,400,,,,,3,,,
ClassicGumtree,124,51,71,29,9,15,0,0,284,3,0,0.6,,400,,,,,3,,,
ClassicGumtree,157,63,82,40,11,24,0,0,117,3,0,0.7,,400,,,,,3,,,
ClassicGumtree,157,63,82,40,11,24,0,0,118,3,0,0.799,,400,,,,,3,,,
ClassicGumtree,157,63,82,40,11,24,0,0,117,3,0,0.899,,400,,,,,3,,,
ClassicGumtree,157,63,82,40,11,24,0,0,111,3,0,0.999,,400,,,,,3,,,
ClassicGumtree,124,51,71,29,9,15,0,0,277,3,0,0.1,,400,,,,,4,,,
ClassicGumtree,124,51,71,29,9,15,0,0,276,3,0,0.2,,400,,,,,4,,,
ClassicGumtree,124,51,71,29,9,15,0,0,275,3,0,0.3,,400,,,,,4,,,
ClassicGumtree,124,51,71,29,9,15,0,0,275,3,0,0.4,,400,,,,,4,,,
ClassicGumtree,124,51,71,29,9,15,0,0,276,3,0,0.5,,400,,,,,4,,,
ClassicGumtree,124,51,71,29,9,15,0,0,166,3,0,0.6,,400,,,,,4,,,
ClassicGumtree,167,63,87,45,11,24,0,0,117,3,0,0.7,,400,,,,,4,,,
ClassicGumtree,167,63,87,45,11,24,0,0,117,3,0,0.799,,400,,,,,4,,,
ClassicGumtree,167,63,87,45,11,24,0,0,117,3,0,0.899,,400,,,,,4,,,
ClassicGumtree,167,63,87,45,11,24,0,0,111,3,0,0.999,,400,,,,,4,,,
ClassicGumtree,124,51,71,29,9,15,0,0,275,3,0,0.1,,400,,,,,5,,,
ClassicGumtree,124,51,71,29,9,15,0,0,277,3,0,0.2,,400,,,,,5,,,
ClassicGumtree,124,51,71,29,9,15,0,0,275,3,0,0.3,,400,,,,,5,,,
ClassicGumtree,124,51,71,29,9,15,0,0,275,3,0,0.4,,400,,,,,5,,,
ClassicGumtree,124,51,71,29,9,15,0,0,275,3,0,0.5,,400,,,,,5,,,
ClassicGumtree,124,51,71,29,9,15,0,0,165,3,0,0.6,,400,,,,,5,,,
ClassicGumtree,167,63,87,45,11,24,0,0,116,3,0,0.7,,400,,,,,5,,,
ClassicGumtree,167,63,87,45,11,24,0,0,117,3,0,0.799,,400,,,,,5,,,
ClassicGumtree,167,63,87,45,11,24,0,0,117,3,0,0.899,,400,,,,,5,,,
ClassicGumtree,167,63,87,45,11,24,0,0,111,3,0,0.999,,400,,,,,5,,,
ClassicGumtree,107,45,69,27,1,10,0,0,285,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,107,45,69,27,1,10,0,0,283,3,0,0.2,,500,,,,,1,,,
ClassicGumtree,107,45,69,27,1,10,0,0,283,3,0,0.3,,500,,,,,1,,,
ClassicGumtree,107,45,69,27,1,10,0,0,283,3,0,0.4,,500,,,,,1,,,
ClassicGumtree,117,44,71,29,1,16,0,0,277,3,0,0.5,,500,,,,,1,,,
ClassicGumtree,117,44,71,29,1,16,0,0,277,3,0,0.6,,500,,,,,1,,,
ClassicGumtree,119,48,71,29,1,18,0,0,276,3,0,0.7,,500,,,,,1,,,
