MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,4,2,0,3,0,1,0,0,4,2,0,,0.1,,,,,,1,,,
SimpleGumtree,9,3,3,6,0,0,0,0,4,2,0,,0.1,,,,,,2,,,
SimpleGumtree,9,3,3,6,0,0,0,0,4,2,0,,0.1,,,,,,3,,,
SimpleGumtree,9,3,3,6,0,0,0,0,4,2,0,,0.1,,,,,,4,,,
SimpleGumtree,9,3,3,6,0,0,0,0,4,2,0,,0.1,,,,,,5,,,
SimpleGumtree,4,2,0,3,0,1,0,0,472,2,0,,0.3,,,,,,1,,,
SimpleGumtree,9,3,3,6,0,0,0,0,472,2,0,,0.3,,,,,,2,,,
SimpleGumtree,9,3,3,6,0,0,0,0,472,2,0,,0.3,,,,,,3,,,
SimpleGumtree,9,3,3,6,0,0,0,0,471,2,0,,0.3,,,,,,4,,,
SimpleGumtree,9,3,3,6,0,0,0,0,471,2,0,,0.3,,,,,,5,,,
SimpleGumtree,4,2,0,3,0,1,0,0,4,2,0,,0.5,,,,,,1,,,
SimpleGumtree,9,3,3,6,0,0,0,0,3,2,0,,0.5,,,,,,2,,,
SimpleGumtree,9,3,3,6,0,0,0,0,3,2,0,,0.5,,,,,,3,,,
SimpleGumtree,9,3,3,6,0,0,0,0,3,2,0,,0.5,,,,,,4,,,
SimpleGumtree,9,3,3,6,0,0,0,0,3,2,0,,0.5,,,,,,5,,,
SimpleGumtree,4,2,0,3,0,1,0,0,4,2,0,,0.7,,,,,,1,,,
SimpleGumtree,9,3,3,6,0,0,0,0,4,2,0,,0.7,,,,,,2,,,
SimpleGumtree,9,3,3,6,0,0,0,0,4,2,0,,0.7,,,,,,3,,,
SimpleGumtree,9,3,3,6,0,0,0,0,4,2,0,,0.7,,,,,,4,,,
SimpleGumtree,9,3,3,6,0,0,0,0,3,2,0,,0.7,,,,,,5,,,
SimpleGumtree,4,2,0,3,0,1,0,0,32,2,0,,0.899,,,,,,1,,,
SimpleGumtree,9,3,3,6,0,0,0,0,4,2,0,,0.899,,,,,,2,,,
SimpleGumtree,9,3,3,6,0,0,0,0,4,2,0,,0.899,,,,,,3,,,
SimpleGumtree,9,3,3,6,0,0,0,0,20,2,0,,0.899,,,,,,4,,,
SimpleGumtree,9,3,3,6,0,0,0,0,3,2,0,,0.899,,,,,,5,,,
ClassicGumtree,6,4,1,4,0,1,0,0,137,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,6,4,1,4,0,1,0,0,200,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,6,4,1,4,0,1,0,0,1960,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,5215,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,6911,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,8091,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,7423,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,5545,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,6834,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,6788,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,6742,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,6816,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,5409,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,6674,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,5730,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,5058,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,6611,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,4605,3,0,0.1,,1800,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,4891,3,0,0.1,,1900,,,,,1,,,
ClassicGumtree,4,2,0,3,0,1,0,0,4737,3,0,0.1,,2000,,,,,1,,,
ClassicGumtree,33,15,15,18,0,0,0,0,75,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,33,15,15,18,0,0,0,0,104,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,27,13,12,15,0,0,0,0,705,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,17,7,7,10,0,0,0,0,2141,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,5956,3,0,0.1,,500,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,7121,3,0,0.1,,600,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,3722,3,0,0.1,,700,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,9540,3,0,0.1,,800,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,10715,3,0,0.1,,900,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,10289,3,0,0.1,,1000,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,10945,3,0,0.1,,1100,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,9693,3,0,0.1,,1200,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,9913,3,0,0.1,,1300,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,9501,3,0,0.1,,1400,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,9270,3,0,0.1,,1500,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,10231,3,0,0.1,,1600,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,9777,3,0,0.1,,1700,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,4494,3,0,0.1,,1800,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,5709,3,0,0.1,,1900,,,,,2,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6609,3,0,0.1,,2000,,,,,2,,,
ClassicGumtree,67,23,32,35,0,0,0,0,97,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,67,23,32,35,0,0,0,0,200,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,45,17,21,24,0,0,0,0,983,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,27,9,12,15,0,0,0,0,4335,3,0,0.1,,400,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,4965,3,0,0.1,,500,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,5381,3,0,0.1,,600,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,4002,3,0,0.1,,700,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,7341,3,0,0.1,,800,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,5421,3,0,0.1,,900,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,5502,3,0,0.1,,1000,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6889,3,0,0.1,,1100,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,7434,3,0,0.1,,1200,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,7139,3,0,0.1,,1300,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,5252,3,0,0.1,,1400,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6887,3,0,0.1,,1500,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6223,3,0,0.1,,1600,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,9214,3,0,0.1,,1700,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,7848,3,0,0.1,,1800,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,8853,3,0,0.1,,1900,,,,,3,,,
ClassicGumtree,9,3,3,6,0,0,0,0,7320,3,0,0.1,,2000,,,,,3,,,
ClassicGumtree,119,29,58,61,0,0,0,0,156,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,119,29,58,61,0,0,0,0,199,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,97,23,47,50,0,0,0,0,588,3,0,0.1,,300,,,,,4,,,
ClassicGumtree,45,11,21,24,0,0,0,0,6224,3,0,0.1,,400,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6613,3,0,0.1,,500,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,7846,3,0,0.1,,600,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,9230,3,0,0.1,,700,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,8993,3,0,0.1,,800,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,8940,3,0,0.1,,900,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,4527,3,0,0.1,,1000,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,5988,3,0,0.1,,1100,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6333,3,0,0.1,,1200,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,5016,3,0,0.1,,1300,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,4408,3,0,0.1,,1400,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,5202,3,0,0.1,,1500,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,5305,3,0,0.1,,1600,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6901,3,0,0.1,,1700,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6935,3,0,0.1,,1800,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6898,3,0,0.1,,1900,,,,,4,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6901,3,0,0.1,,2000,,,,,4,,,
ClassicGumtree,153,33,75,78,0,0,0,0,77,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,153,33,75,78,0,0,0,0,154,3,0,0.1,,200,,,,,5,,,
ClassicGumtree,97,23,47,50,0,0,0,0,991,3,0,0.1,,300,,,,,5,,,
ClassicGumtree,45,11,21,24,0,0,0,0,2852,3,0,0.1,,400,,,,,5,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6042,3,0,0.1,,500,,,,,5,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6890,3,0,0.1,,600,,,,,5,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6435,3,0,0.1,,700,,,,,5,,,
ClassicGumtree,9,3,3,6,0,0,0,0,5548,3,0,0.1,,800,,,,,5,,,
ClassicGumtree,9,3,3,6,0,0,0,0,4569,3,0,0.1,,900,,,,,5,,,
ClassicGumtree,9,3,3,6,0,0,0,0,7756,3,0,0.1,,1000,,,,,5,,,
ClassicGumtree,9,3,3,6,0,0,0,0,7807,3,0,0.1,,1100,,,,,5,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6380,3,0,0.1,,1200,,,,,5,,,
ClassicGumtree,9,3,3,6,0,0,0,0,7888,3,0,0.1,,1300,,,,,5,,,
ClassicGumtree,9,3,3,6,0,0,0,0,5834,3,0,0.1,,1400,,,,,5,,,
ClassicGumtree,9,3,3,6,0,0,0,0,7318,3,0,0.1,,1500,,,,,5,,,
ClassicGumtree,9,3,3,6,0,0,0,0,6901,3,0,0.1,,1600,,,,,5,,,
