MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,19,6,11,4,3,1,0,0,36,2,0,,0.1,,,,,,1,,,
SimpleGumtree,57,6,32,25,0,0,0,0,35,2,0,,0.1,,,,,,4,,,
SimpleGumtree,263,2,135,128,0,0,0,0,35,2,0,,0.1,,,,,,5,,,
SimpleGumtree,57,6,32,25,0,0,0,0,35,2,0,,0.3,,,,,,2,,,
SimpleGumtree,263,2,135,128,0,0,0,0,34,2,0,,0.3,,,,,,5,,,
SimpleGumtree,19,6,11,4,3,1,0,0,33,2,0,,0.5,,,,,,1,,,
SimpleGumtree,57,6,32,25,0,0,0,0,32,2,0,,0.5,,,,,,2,,,
SimpleGumtree,57,6,32,25,0,0,0,0,32,2,0,,0.5,,,,,,3,,,
SimpleGumtree,57,6,32,25,0,0,0,0,32,2,0,,0.5,,,,,,4,,,
SimpleGumtree,263,2,135,128,0,0,0,0,32,2,0,,0.5,,,,,,5,,,
SimpleGumtree,19,6,11,4,3,1,0,0,33,2,0,,0.7,,,,,,1,,,
SimpleGumtree,57,6,32,25,0,0,0,0,32,2,0,,0.7,,,,,,2,,,
SimpleGumtree,57,6,32,25,0,0,0,0,33,2,0,,0.7,,,,,,3,,,
SimpleGumtree,57,6,32,25,0,0,0,0,31,2,0,,0.7,,,,,,4,,,
SimpleGumtree,263,2,135,128,0,0,0,0,31,2,0,,0.7,,,,,,5,,,
SimpleGumtree,19,6,11,4,3,1,0,0,29,2,0,,0.899,,,,,,1,,,
SimpleGumtree,57,6,32,25,0,0,0,0,28,2,0,,0.899,,,,,,2,,,
SimpleGumtree,57,6,32,25,0,0,0,0,27,2,0,,0.899,,,,,,3,,,
SimpleGumtree,57,6,32,25,0,0,0,0,27,2,0,,0.899,,,,,,4,,,
SimpleGumtree,263,2,135,128,0,0,0,0,28,2,0,,0.899,,,,,,5,,,
ClassicGumtree,21,10,11,4,4,2,0,0,27,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,21,10,11,4,4,2,0,0,71,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,21,10,11,4,4,2,0,0,71,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,21,10,11,4,4,2,0,0,71,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,373,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,374,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,881,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,880,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,880,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,880,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,877,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,878,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,878,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,878,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,885,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,884,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,885,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,884,3,0,0.1,,1800,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,884,3,0,0.1,,1900,,,,,1,,,
ClassicGumtree,19,8,10,3,4,2,0,0,884,3,0,0.1,,2000,,,,,1,,,
ClassicGumtree,449,158,225,218,4,2,0,0,22,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,449,158,225,218,4,2,0,0,66,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,449,158,225,218,4,2,0,0,65,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,449,158,225,218,4,2,0,0,65,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,439,152,220,213,4,2,0,0,374,3,0,0.1,,500,,,,,2,,,
ClassicGumtree,439,152,220,213,4,2,0,0,373,3,0,0.1,,600,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,882,3,0,0.1,,700,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,881,3,0,0.1,,800,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,874,3,0,0.1,,900,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,874,3,0,0.1,,1000,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,874,3,0,0.1,,1100,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,872,3,0,0.1,,1200,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,880,3,0,0.1,,1300,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,880,3,0,0.1,,1400,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,880,3,0,0.1,,1500,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,879,3,0,0.1,,1600,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,880,3,0,0.1,,1700,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,878,3,0,0.1,,1800,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,879,3,0,0.1,,1900,,,,,2,,,
ClassicGumtree,435,150,218,211,4,2,0,0,879,3,0,0.1,,2000,,,,,2,,,
ClassicGumtree,1111,253,559,552,0,0,0,0,19,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,1011,252,506,499,4,2,0,0,62,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,1011,252,506,499,4,2,0,0,62,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,1011,252,506,499,4,2,0,0,63,3,0,0.1,,400,,,,,3,,,
ClassicGumtree,1001,246,501,494,4,2,0,0,370,3,0,0.1,,500,,,,,3,,,
ClassicGumtree,1001,246,501,494,4,2,0,0,371,3,0,0.1,,600,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,874,3,0,0.1,,700,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,874,3,0,0.1,,800,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,874,3,0,0.1,,900,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,874,3,0,0.1,,1000,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,872,3,0,0.1,,1100,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,878,3,0,0.1,,1200,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,877,3,0,0.1,,1300,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,878,3,0,0.1,,1400,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,878,3,0,0.1,,1500,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,878,3,0,0.1,,1600,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,879,3,0,0.1,,1700,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,879,3,0,0.1,,1800,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,879,3,0,0.1,,1900,,,,,3,,,
ClassicGumtree,979,242,490,483,4,2,0,0,879,3,0,0.1,,2000,,,,,3,,,
ClassicGumtree,1457,287,732,725,0,0,0,0,19,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,1347,284,674,667,4,2,0,0,70,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,1347,284,674,667,4,2,0,0,63,3,0,0.1,,300,,,,,4,,,
ClassicGumtree,1347,284,674,667,4,2,0,0,62,3,0,0.1,,400,,,,,4,,,
ClassicGumtree,1323,276,662,655,4,2,0,0,365,3,0,0.1,,500,,,,,4,,,
ClassicGumtree,1323,276,662,655,4,2,0,0,365,3,0,0.1,,600,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,872,3,0,0.1,,700,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,872,3,0,0.1,,800,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,873,3,0,0.1,,900,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,873,3,0,0.1,,1000,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,879,3,0,0.1,,1100,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,880,3,0,0.1,,1200,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,879,3,0,0.1,,1300,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,879,3,0,0.1,,1400,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,879,3,0,0.1,,1500,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,879,3,0,0.1,,1600,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,879,3,0,0.1,,1700,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,878,3,0,0.1,,1800,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,879,3,0,0.1,,1900,,,,,4,,,
ClassicGumtree,1301,272,651,644,4,2,0,0,878,3,0,0.1,,2000,,,,,4,,,
ClassicGumtree,2229,310,1118,1111,0,0,0,0,19,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,2229,310,1118,1111,0,0,0,0,20,3,0,0.1,,200,,,,,5,,,
ClassicGumtree,2229,310,1118,1111,0,0,0,0,19,3,0,0.1,,300,,,,,5,,,
