MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,27,5,22,2,2,1,0,0,1,2,0,,0.1,,,,,,1,,,
SimpleGumtree,32,4,26,6,0,0,0,0,1,2,0,,0.1,,,,,,2,,,
SimpleGumtree,32,4,26,6,0,0,0,0,1,2,0,,0.1,,,,,,3,,,
SimpleGumtree,32,4,26,6,0,0,0,0,1,2,0,,0.1,,,,,,4,,,
SimpleGumtree,32,4,26,6,0,0,0,0,0,2,0,,0.1,,,,,,5,,,
SimpleGumtree,27,5,22,2,2,1,0,0,0,2,0,,0.3,,,,,,1,,,
SimpleGumtree,32,4,26,6,0,0,0,0,0,2,0,,0.3,,,,,,2,,,
SimpleGumtree,32,4,26,6,0,0,0,0,1,2,0,,0.3,,,,,,3,,,
SimpleGumtree,32,4,26,6,0,0,0,0,1,2,0,,0.3,,,,,,4,,,
SimpleGumtree,32,4,26,6,0,0,0,0,1,2,0,,0.3,,,,,,5,,,
SimpleGumtree,27,5,22,2,2,1,0,0,1,2,0,,0.5,,,,,,1,,,
SimpleGumtree,32,4,26,6,0,0,0,0,1,2,0,,0.5,,,,,,2,,,
SimpleGumtree,32,4,26,6,0,0,0,0,1,2,0,,0.5,,,,,,3,,,
SimpleGumtree,32,4,26,6,0,0,0,0,1,2,0,,0.5,,,,,,4,,,
SimpleGumtree,32,4,26,6,0,0,0,0,1,2,0,,0.5,,,,,,5,,,
SimpleGumtree,27,5,22,2,2,1,0,0,1,2,0,,0.7,,,,,,1,,,
SimpleGumtree,32,4,26,6,0,0,0,0,1,2,0,,0.7,,,,,,2,,,
SimpleGumtree,32,4,26,6,0,0,0,0,0,2,0,,0.7,,,,,,3,,,
SimpleGumtree,32,4,26,6,0,0,0,0,0,2,0,,0.7,,,,,,4,,,
SimpleGumtree,32,4,26,6,0,0,0,0,0,2,0,,0.7,,,,,,5,,,
SimpleGumtree,27,5,22,2,2,1,0,0,0,2,0,,0.899,,,,,,1,,,
SimpleGumtree,32,4,26,6,0,0,0,0,0,2,0,,0.899,,,,,,2,,,
SimpleGumtree,32,4,26,6,0,0,0,0,0,2,0,,0.899,,,,,,3,,,
SimpleGumtree,32,4,26,6,0,0,0,0,0,2,0,,0.899,,,,,,4,,,
SimpleGumtree,32,4,26,6,0,0,0,0,1,2,0,,0.899,,,,,,5,,,
ClassicGumtree,24,7,20,0,2,2,0,0,16,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,38,11,28,8,1,1,0,0,16,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,122,21,70,50,1,1,0,0,16,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,150,23,84,64,1,1,0,0,16,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,186,25,102,82,1,1,0,0,16,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,24,7,20,0,2,2,0,0,16,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,38,11,28,8,1,1,0,0,16,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,122,21,70,50,1,1,0,0,15,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,150,23,84,64,1,1,0,0,15,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,186,25,102,82,1,1,0,0,15,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,24,7,20,0,2,2,0,0,16,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,38,11,28,8,1,1,0,0,16,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,122,21,70,50,1,1,0,0,16,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,150,23,84,64,1,1,0,0,16,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,186,25,102,82,1,1,0,0,16,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,24,7,20,0,2,2,0,0,16,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,38,11,28,8,1,1,0,0,16,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,122,21,70,50,1,1,0,0,16,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,150,23,84,64,1,1,0,0,14,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,312,24,165,145,0,2,0,0,1,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,24,7,20,0,2,2,0,0,16,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,38,11,28,8,1,1,0,0,16,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,122,21,70,50,1,1,0,0,15,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,236,24,126,106,0,4,0,0,0,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,316,6,166,146,0,4,0,0,0,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,21,4,20,0,0,1,0,0,15,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,38,11,28,8,1,1,0,0,13,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,122,21,70,50,1,1,0,0,9,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,236,24,126,106,0,4,0,0,0,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,316,6,166,146,0,4,0,0,1,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,21,4,20,0,0,1,0,0,14,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,38,11,28,8,1,1,0,0,10,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,184,24,99,79,0,6,0,0,1,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,241,9,127,107,0,7,0,0,0,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,316,6,166,146,0,4,0,0,0,3,0,0.7,,100,,,,,5,,,
ClassicGumtree,21,4,20,0,0,1,0,0,10,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,84,16,48,28,0,8,0,0,1,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,190,12,100,80,0,10,0,0,1,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,241,9,127,107,0,7,0,0,0,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,316,6,166,146,0,4,0,0,1,3,0,0.799,,100,,,,,5,,,
ClassicGumtree,51,15,29,9,0,13,0,0,0,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,95,19,49,29,0,17,0,0,0,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,190,12,100,80,0,10,0,0,1,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,241,9,127,107,0,7,0,0,1,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,316,6,166,146,0,4,0,0,0,3,0,0.899,,100,,,,,5,,,
ClassicGumtree,65,27,30,10,0,25,0,0,1,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,95,19,49,29,0,17,0,0,1,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,190,12,100,80,0,10,0,0,0,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,241,9,127,107,0,7,0,0,1,3,0,0.999,,100,,,,,4,,,
