MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,5,4,3,1,0,1,0,0,5,2,0,,0.1,,,,,,1,,,
SimpleGumtree,5,4,3,1,0,1,0,0,5,2,0,,0.3,,,,,,1,,,
SimpleGumtree,5,4,3,1,0,1,0,0,5,2,0,,0.5,,,,,,1,,,
SimpleGumtree,5,4,3,1,0,1,0,0,5,2,0,,0.7,,,,,,1,,,
SimpleGumtree,5,4,3,1,0,1,0,0,5,2,0,,0.899,,,,,,1,,,
SimpleGumtree,24,4,13,11,0,0,0,0,4,2,0,,0.1,,,,,,2,,,
SimpleGumtree,24,4,13,11,0,0,0,0,4,2,0,,0.3,,,,,,2,,,
SimpleGumtree,24,4,13,11,0,0,0,0,5,2,0,,0.5,,,,,,2,,,
SimpleGumtree,24,4,13,11,0,0,0,0,5,2,0,,0.7,,,,,,2,,,
SimpleGumtree,24,4,13,11,0,0,0,0,5,2,0,,0.899,,,,,,2,,,
SimpleGumtree,24,4,13,11,0,0,0,0,5,2,0,,0.1,,,,,,3,,,
SimpleGumtree,24,4,13,11,0,0,0,0,4,2,0,,0.3,,,,,,3,,,
SimpleGumtree,24,4,13,11,0,0,0,0,5,2,0,,0.5,,,,,,3,,,
SimpleGumtree,24,4,13,11,0,0,0,0,5,2,0,,0.7,,,,,,3,,,
SimpleGumtree,24,4,13,11,0,0,0,0,5,2,0,,0.899,,,,,,3,,,
SimpleGumtree,24,4,13,11,0,0,0,0,4,2,0,,0.1,,,,,,4,,,
SimpleGumtree,24,4,13,11,0,0,0,0,34,2,0,,0.3,,,,,,4,,,
SimpleGumtree,24,4,13,11,0,0,0,0,29,2,0,,0.5,,,,,,4,,,
SimpleGumtree,24,4,13,11,0,0,0,0,26,2,0,,0.7,,,,,,4,,,
SimpleGumtree,24,4,13,11,0,0,0,0,23,2,0,,0.899,,,,,,4,,,
SimpleGumtree,24,4,13,11,0,0,0,0,20,2,0,,0.1,,,,,,5,,,
SimpleGumtree,24,4,13,11,0,0,0,0,18,2,0,,0.3,,,,,,5,,,
SimpleGumtree,24,4,13,11,0,0,0,0,15,2,0,,0.5,,,,,,5,,,
SimpleGumtree,24,4,13,11,0,0,0,0,5,2,0,,0.7,,,,,,5,,,
SimpleGumtree,24,4,13,11,0,0,0,0,9,2,0,,0.899,,,,,,5,,,
ClassicGumtree,4,4,2,0,0,2,0,0,20,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,19,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,33,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,33,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,28,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,20,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,23,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,19,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,31,14,11,9,0,11,0,0,10,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,91,61,17,15,0,59,0,0,5,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,44,24,22,20,0,2,0,0,19,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,44,24,22,20,0,2,0,0,19,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,44,24,22,20,0,2,0,0,31,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,44,24,22,20,0,2,0,0,395,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,44,24,22,20,0,2,0,0,31,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,44,24,22,20,0,2,0,0,31,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,85,28,41,39,0,5,0,0,11,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,124,34,58,56,0,10,0,0,4,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,124,34,58,56,0,10,0,0,4,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,155,41,59,57,0,39,0,0,17,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,212,50,106,104,0,2,0,0,377,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,212,50,106,104,0,2,0,0,31,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,212,50,106,104,0,2,0,0,17,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,212,50,106,104,0,2,0,0,17,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,279,52,139,137,0,3,0,0,10,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,327,55,162,160,0,5,0,0,4,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,327,55,162,160,0,5,0,0,4,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,327,55,162,160,0,5,0,0,366,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,345,23,163,161,0,21,0,0,20,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,345,23,163,161,0,21,0,0,5,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,302,58,151,149,0,2,0,0,16,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,302,58,151,149,0,2,0,0,16,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,302,58,151,149,0,2,0,0,365,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,378,59,189,187,0,2,0,0,11,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,378,59,189,187,0,2,0,0,358,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,437,61,218,216,0,3,0,0,4,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,437,61,218,216,0,3,0,0,346,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,437,61,218,216,0,3,0,0,4,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,451,17,219,217,0,15,0,0,4,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,451,17,219,217,0,15,0,0,5,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,346,60,173,171,0,2,0,0,354,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,346,60,173,171,0,2,0,0,352,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,346,60,173,171,0,2,0,0,352,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,498,62,249,247,0,2,0,0,340,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,498,62,249,247,0,2,0,0,4,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,498,62,249,247,0,2,0,0,4,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,498,62,249,247,0,2,0,0,5,3,0,0.7,,100,,,,,5,,,
ClassicGumtree,498,62,249,247,0,2,0,0,5,3,0,0.799,,100,,,,,5,,,
ClassicGumtree,511,15,250,248,0,13,0,0,4,3,0,0.899,,100,,,,,5,,,
ClassicGumtree,511,15,250,248,0,13,0,0,5,3,0,0.999,,100,,,,,5,,,
ClassicGumtree,4,4,2,0,0,2,0,0,19,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,19,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,23,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,23,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,23,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,19,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,19,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,4,4,2,0,0,2,0,0,23,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,31,14,11,9,0,11,0,0,10,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,91,61,17,15,0,59,0,0,4,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,44,24,22,20,0,2,0,0,19,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,44,24,22,20,0,2,0,0,19,3,0,0.2,,200,,,,,2,,,
ClassicGumtree,44,24,22,20,0,2,0,0,19,3,0,0.3,,200,,,,,2,,,
ClassicGumtree,44,24,22,20,0,2,0,0,19,3,0,0.4,,200,,,,,2,,,
ClassicGumtree,44,24,22,20,0,2,0,0,19,3,0,0.5,,200,,,,,2,,,
ClassicGumtree,44,24,22,20,0,2,0,0,19,3,0,0.6,,200,,,,,2,,,
ClassicGumtree,85,28,41,39,0,5,0,0,12,3,0,0.7,,200,,,,,2,,,
ClassicGumtree,124,34,58,56,0,10,0,0,5,3,0,0.799,,200,,,,,2,,,
ClassicGumtree,124,34,58,56,0,10,0,0,5,3,0,0.899,,200,,,,,2,,,
ClassicGumtree,155,41,59,57,0,39,0,0,4,3,0,0.999,,200,,,,,2,,,
ClassicGumtree,212,50,106,104,0,2,0,0,22,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,212,50,106,104,0,2,0,0,22,3,0,0.2,,200,,,,,3,,,
