MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,3,3,0,0,3,0,0,0,4,2,0,,0.1,,,,,,1,,,
SimpleGumtree,3,3,0,0,3,0,0,0,4,2,0,,0.3,,,,,,1,,,
SimpleGumtree,3,3,0,0,3,0,0,0,4,2,0,,0.5,,,,,,1,,,
SimpleGumtree,3,3,0,0,3,0,0,0,3,2,0,,0.7,,,,,,1,,,
SimpleGumtree,3,3,0,0,3,0,0,0,3,2,0,,0.899,,,,,,1,,,
SimpleGumtree,3,3,0,0,3,0,0,0,2,2,0,,0.1,,,,,,2,,,
SimpleGumtree,3,3,0,0,3,0,0,0,3,2,0,,0.3,,,,,,2,,,
SimpleGumtree,3,3,0,0,3,0,0,0,3,2,0,,0.5,,,,,,2,,,
SimpleGumtree,3,3,0,0,3,0,0,0,3,2,0,,0.7,,,,,,2,,,
SimpleGumtree,3,3,0,0,3,0,0,0,3,2,0,,0.899,,,,,,2,,,
SimpleGumtree,3,3,0,0,3,0,0,0,3,2,0,,0.1,,,,,,3,,,
SimpleGumtree,3,3,0,0,3,0,0,0,2,2,0,,0.3,,,,,,3,,,
SimpleGumtree,3,3,0,0,3,0,0,0,2,2,0,,0.5,,,,,,3,,,
SimpleGumtree,3,3,0,0,3,0,0,0,2,2,0,,0.7,,,,,,3,,,
SimpleGumtree,3,3,0,0,3,0,0,0,2,2,0,,0.899,,,,,,3,,,
SimpleGumtree,3,3,0,0,3,0,0,0,2,2,0,,0.1,,,,,,4,,,
SimpleGumtree,3,3,0,0,3,0,0,0,2,2,0,,0.3,,,,,,4,,,
SimpleGumtree,3,3,0,0,3,0,0,0,2,2,0,,0.5,,,,,,4,,,
SimpleGumtree,3,3,0,0,3,0,0,0,3,2,0,,0.7,,,,,,4,,,
SimpleGumtree,3,3,0,0,3,0,0,0,3,2,0,,0.899,,,,,,4,,,
SimpleGumtree,3,3,0,0,3,0,0,0,2,2,0,,0.1,,,,,,5,,,
SimpleGumtree,3,3,0,0,3,0,0,0,2,2,0,,0.3,,,,,,5,,,
SimpleGumtree,3,3,0,0,3,0,0,0,2,2,0,,0.5,,,,,,5,,,
SimpleGumtree,3,3,0,0,3,0,0,0,2,2,0,,0.7,,,,,,5,,,
SimpleGumtree,3,3,0,0,3,0,0,0,2,2,0,,0.899,,,,,,5,,,
ClassicGumtree,9,9,3,3,3,0,0,0,37,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,9,9,3,3,3,0,0,0,37,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,9,9,3,3,3,0,0,0,37,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,9,9,3,3,3,0,0,0,67,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,9,9,3,3,3,0,0,0,44,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,9,9,3,3,3,0,0,0,36,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,9,9,3,3,3,0,0,0,48,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,18,12,7,7,2,2,0,0,65,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,18,12,7,7,2,2,0,0,36,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,113,59,28,28,0,57,0,0,3,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,120,46,59,59,2,0,0,0,35,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,120,46,59,59,2,0,0,0,34,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,120,46,59,59,2,0,0,0,34,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,120,46,59,59,2,0,0,0,34,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,120,46,59,59,2,0,0,0,34,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,120,46,59,59,2,0,0,0,34,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,120,46,59,59,2,0,0,0,34,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,124,36,60,60,2,2,0,0,34,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,228,26,104,104,0,20,0,0,1,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,241,29,107,107,0,27,0,0,2,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,180,58,89,89,2,0,0,0,34,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,180,58,89,89,2,0,0,0,43,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,180,58,89,89,2,0,0,0,43,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,180,58,89,89,2,0,0,0,33,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,180,58,89,89,2,0,0,0,34,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,180,58,89,89,2,0,0,0,34,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,180,58,89,89,2,0,0,0,34,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,282,48,136,136,1,9,0,0,20,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,338,18,161,161,0,16,0,0,2,3,0,0.899,,100,,,,,3,,,
