MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,15,2,14,0,0,1,0,0,16,2,0,,0.1,,,,,,1,,,
SimpleGumtree,15,2,14,0,0,1,0,0,17,2,0,,0.3,,,,,,1,,,
SimpleGumtree,15,2,14,0,0,1,0,0,11,2,0,,0.5,,,,,,1,,,
SimpleGumtree,15,2,14,0,0,1,0,0,10,2,0,,0.7,,,,,,1,,,
SimpleGumtree,15,2,14,0,0,1,0,0,15,2,0,,0.899,,,,,,1,,,
SimpleGumtree,15,2,14,0,0,1,0,0,10,2,0,,0.1,,,,,,2,,,
SimpleGumtree,15,2,14,0,0,1,0,0,15,2,0,,0.3,,,,,,2,,,
SimpleGumtree,15,2,14,0,0,1,0,0,10,2,0,,0.5,,,,,,2,,,
SimpleGumtree,15,2,14,0,0,1,0,0,15,2,0,,0.7,,,,,,2,,,
SimpleGumtree,15,2,14,0,0,1,0,0,16,2,0,,0.899,,,,,,2,,,
SimpleGumtree,15,2,14,0,0,1,0,0,11,2,0,,0.1,,,,,,3,,,
SimpleGumtree,15,2,14,0,0,1,0,0,11,2,0,,0.3,,,,,,3,,,
SimpleGumtree,15,2,14,0,0,1,0,0,11,2,0,,0.5,,,,,,3,,,
SimpleGumtree,15,2,14,0,0,1,0,0,10,2,0,,0.7,,,,,,3,,,
SimpleGumtree,15,2,14,0,0,1,0,0,16,2,0,,0.899,,,,,,3,,,
SimpleGumtree,32,2,23,9,0,0,0,0,16,2,0,,0.1,,,,,,4,,,
SimpleGumtree,32,2,23,9,0,0,0,0,16,2,0,,0.3,,,,,,4,,,
SimpleGumtree,32,2,23,9,0,0,0,0,16,2,0,,0.5,,,,,,4,,,
SimpleGumtree,32,2,23,9,0,0,0,0,15,2,0,,0.7,,,,,,4,,,
SimpleGumtree,32,2,23,9,0,0,0,0,15,2,0,,0.899,,,,,,4,,,
SimpleGumtree,122,2,68,54,0,0,0,0,9,2,0,,0.1,,,,,,5,,,
SimpleGumtree,122,2,68,54,0,0,0,0,9,2,0,,0.3,,,,,,5,,,
SimpleGumtree,122,2,68,54,0,0,0,0,9,2,0,,0.5,,,,,,5,,,
SimpleGumtree,122,2,68,54,0,0,0,0,9,2,0,,0.7,,,,,,5,,,
SimpleGumtree,122,2,68,54,0,0,0,0,9,2,0,,0.899,,,,,,5,,,
ClassicGumtree,17,4,15,1,0,1,0,0,26,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,16,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,16,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,16,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,26,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,16,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,16,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,16,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,29,11,18,4,0,7,0,0,13,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,74,34,28,14,0,32,0,0,16,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,75,28,44,30,0,1,0,0,27,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,75,28,44,30,0,1,0,0,17,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,75,28,44,30,0,1,0,0,17,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,75,28,44,30,0,1,0,0,17,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,75,28,44,30,0,1,0,0,16,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,75,28,44,30,0,1,0,0,27,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,75,28,44,30,0,1,0,0,17,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,75,28,44,30,0,1,0,0,17,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,98,34,50,36,0,12,0,0,14,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,120,22,57,43,0,20,0,0,16,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,99,32,56,42,0,1,0,0,16,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,99,32,56,42,0,1,0,0,16,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,99,32,56,42,0,1,0,0,16,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,99,32,56,42,0,1,0,0,17,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,99,32,56,42,0,1,0,0,16,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,99,32,56,42,0,1,0,0,26,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,120,38,64,50,0,6,0,0,13,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,131,37,67,53,0,11,0,0,14,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,151,19,74,60,0,17,0,0,16,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,131,36,72,58,0,1,0,0,17,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,131,36,72,58,0,1,0,0,16,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,131,36,72,58,0,1,0,0,16,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,195,39,103,89,0,3,0,0,9,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,195,39,103,89,0,3,0,0,9,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,205,35,106,92,0,7,0,0,10,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,205,35,106,92,0,7,0,0,15,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,205,35,106,92,0,7,0,0,14,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,210,34,108,94,0,8,0,0,10,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,224,14,113,99,0,12,0,0,11,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,286,42,150,136,0,0,0,0,12,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,286,42,150,136,0,0,0,0,8,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,294,32,153,139,0,2,0,0,9,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,294,32,153,139,0,2,0,0,9,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,294,32,153,139,0,2,0,0,8,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,294,32,153,139,0,2,0,0,13,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,294,32,153,139,0,2,0,0,12,3,0,0.7,,100,,,,,5,,,
ClassicGumtree,299,31,155,141,0,3,0,0,9,3,0,0.799,,100,,,,,5,,,
ClassicGumtree,307,17,158,144,0,5,0,0,10,3,0,0.899,,100,,,,,5,,,
ClassicGumtree,312,8,160,146,0,6,0,0,10,3,0,0.999,,100,,,,,5,,,
ClassicGumtree,17,4,15,1,0,1,0,0,116,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,111,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,62,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,66,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,67,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,66,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,66,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,107,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,59,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,74,34,28,14,0,32,0,0,17,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,59,22,36,22,0,1,0,0,124,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,55,3,0,0.2,,200,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,67,3,0,0.3,,200,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,67,3,0,0.4,,200,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,66,3,0,0.5,,200,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,76,3,0,0.6,,200,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,75,3,0,0.7,,200,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,75,3,0,0.799,,200,,,,,2,,,
ClassicGumtree,98,34,50,36,0,12,0,0,9,3,0,0.899,,200,,,,,2,,,
ClassicGumtree,120,22,57,43,0,20,0,0,16,3,0,0.999,,200,,,,,2,,,
ClassicGumtree,83,26,48,34,0,1,0,0,62,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,75,3,0,0.2,,200,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,124,3,0,0.3,,200,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,74,3,0,0.4,,200,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,74,3,0,0.5,,200,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,74,3,0,0.6,,200,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,65,3,0,0.7,,200,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,58,3,0,0.799,,200,,,,,3,,,
ClassicGumtree,131,37,67,53,0,11,0,0,13,3,0,0.899,,200,,,,,3,,,
ClassicGumtree,151,19,74,60,0,17,0,0,14,3,0,0.999,,200,,,,,3,,,
ClassicGumtree,99,28,56,42,0,1,0,0,116,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,99,28,56,42,0,1,0,0,54,3,0,0.2,,200,,,,,4,,,
ClassicGumtree,99,28,56,42,0,1,0,0,65,3,0,0.3,,200,,,,,4,,,
ClassicGumtree,99,28,56,42,0,1,0,0,57,3,0,0.4,,200,,,,,4,,,
ClassicGumtree,99,28,56,42,0,1,0,0,57,3,0,0.5,,200,,,,,4,,,
ClassicGumtree,205,35,106,92,0,7,0,0,8,3,0,0.6,,200,,,,,4,,,
ClassicGumtree,205,35,106,92,0,7,0,0,8,3,0,0.7,,200,,,,,4,,,
ClassicGumtree,205,35,106,92,0,7,0,0,8,3,0,0.799,,200,,,,,4,,,
ClassicGumtree,210,34,108,94,0,8,0,0,9,3,0,0.899,,200,,,,,4,,,
ClassicGumtree,224,14,113,99,0,12,0,0,9,3,0,0.999,,200,,,,,4,,,
ClassicGumtree,119,30,66,52,0,1,0,0,57,3,0,0.1,,200,,,,,5,,,
ClassicGumtree,119,30,66,52,0,1,0,0,58,3,0,0.2,,200,,,,,5,,,
ClassicGumtree,294,32,153,139,0,2,0,0,7,3,0,0.3,,200,,,,,5,,,
ClassicGumtree,294,32,153,139,0,2,0,0,7,3,0,0.4,,200,,,,,5,,,
ClassicGumtree,294,32,153,139,0,2,0,0,7,3,0,0.5,,200,,,,,5,,,
ClassicGumtree,294,32,153,139,0,2,0,0,7,3,0,0.6,,200,,,,,5,,,
ClassicGumtree,294,32,153,139,0,2,0,0,6,3,0,0.7,,200,,,,,5,,,
ClassicGumtree,299,31,155,141,0,3,0,0,8,3,0,0.799,,200,,,,,5,,,
ClassicGumtree,307,17,158,144,0,5,0,0,8,3,0,0.899,,200,,,,,5,,,
ClassicGumtree,312,8,160,146,0,6,0,0,7,3,0,0.999,,200,,,,,5,,,
ClassicGumtree,17,4,15,1,0,1,0,0,65,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,66,3,0,0.2,,300,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,54,3,0,0.3,,300,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,62,3,0,0.4,,300,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,107,3,0,0.5,,300,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,66,3,0,0.6,,300,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,66,3,0,0.7,,300,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,66,3,0,0.799,,300,,,,,1,,,
ClassicGumtree,17,4,15,1,0,1,0,0,57,3,0,0.899,,300,,,,,1,,,
ClassicGumtree,74,34,28,14,0,32,0,0,14,3,0,0.999,,300,,,,,1,,,
ClassicGumtree,59,22,36,22,0,1,0,0,53,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,84,3,0,0.2,,300,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,66,3,0,0.3,,300,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,65,3,0,0.4,,300,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,54,3,0,0.5,,300,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,65,3,0,0.6,,300,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,65,3,0,0.7,,300,,,,,2,,,
ClassicGumtree,59,22,36,22,0,1,0,0,66,3,0,0.799,,300,,,,,2,,,
ClassicGumtree,98,34,50,36,0,12,0,0,8,3,0,0.899,,300,,,,,2,,,
ClassicGumtree,120,22,57,43,0,20,0,0,9,3,0,0.999,,300,,,,,2,,,
ClassicGumtree,83,26,48,34,0,1,0,0,54,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,66,3,0,0.2,,300,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,65,3,0,0.3,,300,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,53,3,0,0.4,,300,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,66,3,0,0.5,,300,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,65,3,0,0.6,,300,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,66,3,0,0.7,,300,,,,,3,,,
ClassicGumtree,83,26,48,34,0,1,0,0,58,3,0,0.799,,300,,,,,3,,,
ClassicGumtree,131,37,67,53,0,11,0,0,8,3,0,0.899,,300,,,,,3,,,
ClassicGumtree,151,19,74,60,0,17,0,0,9,3,0,0.999,,300,,,,,3,,,
